Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1417256_at	Mmp13	matrix metallopeptidase 13	26	662	-25.0	0.0084
1448831_at	Angpt2	angiopoietin 2	143	1784	-12.5	0.0063
1452614_at	Gm566	gene model 566, (NCBI)	28	251	-8.9	0.0035
1417155_at	Mycn	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	26	212	-8.2	0.0067
1425681_a_at	Prnd	prion protein dublet	9	70	-8.1	0.0132
1457032_at	Ak5	adenylate kinase 5	39	303	-7.9	0.0122
1420992_at	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	49	360	-7.4	0.0391
1423597_at	Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	10	68	-6.6	0.0033
1416342_at	Tnc	tenascin C	672	4225	-6.3	0.0011
1429918_at	Arhgap20	Rho GTPase activating protein 20	52	309	-6.0	0.0170
1418945_at	Mmp3	matrix metallopeptidase 3	423	2501	-5.9	0.0094
1427735_a_at	Acta1	actin, alpha 1, skeletal muscle	66	360	-5.5	0.0342
1434411_at	Col12a1	procollagen, type XII, alpha 1	13	69	-5.4	0.0018
1454558_at	5430416B10Rik	RIKEN cDNA 5430416B10 gene	5	26	-5.3	0.0135
1424649_a_at	Tspan8	tetraspanin 8	13	69	-5.2	0.0073
1449280_at	Esm1 /// LOC632677	endothelial cell-specific molecule 1 /// similar to Endothelial cell-specific molecule 1 precursor (ESM-1 secretory protein) (ESM-1)	2789	14181	-5.1	0.0093
1459978_x_at	Ccnjl	cyclin J-like	4	22	-5.0	0.0194
1422053_at	Inhba	inhibin beta-A	581	2865	-4.9	0.0015
1420512_at	Dkk2	dickkopf homolog 2 (Xenopus laevis)	33	162	-4.9	0.0340
1423104_at	Irs1	insulin receptor substrate 1	8	41	-4.9	0.0118
1422168_a_at	Bdnf	brain derived neurotrophic factor	101	493	-4.9	0.0008
1454674_at	Fez1	fasciculation and elongation protein zeta 1 (zygin I)	155	735	-4.8	0.0008
1427482_a_at	Car8 /// LOC676792	carbonic anhydrase 8 /// similar to Carbonic anhydrase-related protein (CARP) (CA-VIII)	64	300	-4.7	0.0009
1451236_at	Rerg	RAS-like, estrogen-regulated, growth-inhibitor	11	47	-4.3	0.0271
1450241_a_at	Evi2a	ecotropic viral integration site 2a	12	50	-4.3	0.0358
1428663_at	5133401H06Rik	RIKEN cDNA 5133401H06 gene	380	1533	-4.0	0.0063
1428114_at	Slc14a1	solute carrier family 14 (urea transporter), member 1	416	1680	-4.0	0.0109
1451332_at	Zfp521	zinc finger protein 521	812	3258	-4.0	0.0047
1416714_at	Irf8	interferon regulatory factor 8	6	23	-4.0	0.0019
1429163_at	Dchs1	dachsous 1 (Drosophila)	7	26	-3.8	0.0404
1431176_at	Chmp4c	chromatin modifying protein 4C	85	320	-3.8	0.0318
1450923_at	Tgfb2	transforming growth factor, beta 2	1062	3997	-3.8	0.0089
1418049_at	Ltbp3	latent transforming growth factor beta binding protein 3	59	220	-3.7	0.0153
1450971_at	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	549	2023	-3.7	0.0034
1436910_at	Rasal2	RAS protein activator like 2	105	386	-3.7	0.0170
1417235_at	Ehd3	EH-domain containing 3	263	952	-3.6	0.0056
1437417_s_at	Gpc6	glypican 6	261	923	-3.5	0.0201
1449531_at	Leprel2	leprecan-like 2	33	115	-3.5	0.0065
1455803_at	Slco4a1	solute carrier organic anion transporter family, member 4a1	181	629	-3.5	0.0156
1437442_at			41	144	-3.5	0.0082
1456284_at	Tmem171	transmembrane protein 171	58	201	-3.5	0.0065
1448870_at	Ltbp1	latent transforming growth factor beta binding protein 1	866	2982	-3.4	0.0063
1441461_at	Frmd4a	FERM domain containing 4A	5	16	-3.4	0.0069
1435553_at	Pdzd2	PDZ domain containing 2	141	475	-3.4	0.0256
1456524_at	Nrg1	neuregulin 1	237	795	-3.4	0.0138
1448729_a_at	12:00:00 AM	septin 4	177	591	-3.3	0.0089
1418930_at	Cxcl10	chemokine (C-X-C motif) ligand 10	166	550	-3.3	0.0295
1422256_at	Sstr2	somatostatin receptor 2	158	520	-3.3	0.0203
1426037_a_at	Rgs16	regulator of G-protein signaling 16	572	1871	-3.3	0.0061
1449022_at	Nes	nestin	646	2100	-3.2	0.0035
1416958_at	Nr1d2	nuclear receptor subfamily 1, group D, member 2	758	2452	-3.2	0.0045
1448298_at	Tnk2	tyrosine kinase, non-receptor, 2	82	262	-3.2	0.0190
1419324_at	Lhx9	LIM homeobox protein 9	41	131	-3.2	0.0389
1449164_at	Cd68	CD68 antigen	332	1057	-3.2	0.0054
1448656_at	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	119	379	-3.2	0.0118
1450651_at	Myo10	myosin X	38	120	-3.2	0.0103
1436719_at	Slc35f1	solute carrier family 35, member F1	453	1435	-3.2	0.0074
1443230_at	5330421F07Rik	RIKEN cDNA 5330421F07 gene	50	159	-3.2	0.0144
1421551_s_at	Ifi202b	interferon activated gene 202B	1101	3454	-3.1	0.0201
1449254_at	Spp1	secreted phosphoprotein 1	196	608	-3.1	0.0361
1422912_at	Bmp4	bone morphogenetic protein 4	1315	4079	-3.1	0.0023
1439925_at	Tm4sf1	transmembrane 4 superfamily member 1	1166	3603	-3.1	0.0042
1419728_at	Cxcl5	chemokine (C-X-C motif) ligand 5	526	1605	-3.1	0.0118
1415983_at	Lcp1	lymphocyte cytosolic protein 1	890	2665	-3.0	0.0019
1429905_at	3110009O07Rik	RIKEN cDNA 3110009O07 gene	9	27	-3.0	0.0158
1417574_at	Cxcl12	chemokine (C-X-C motif) ligand 12	3107	9155	-2.9	0.0024
1438674_a_at	Sfrs8	splicing factor, arginine/serine-rich 8	57	168	-2.9	0.0393
1452469_a_at	Smtn	smoothelin	62	180	-2.9	0.0348
1449249_at	Pcdh7	protocadherin 7	181	526	-2.9	0.0099
1420450_at	Mmp10	matrix metallopeptidase 10	21	60	-2.9	0.0136
1450414_at	Pdgfb	platelet derived growth factor, B polypeptide	468	1354	-2.9	0.0197
1418775_at	AI837181	expressed sequence AI837181	285	818	-2.9	0.0171
1441793_at	Rnf39	ring finger protein 39	288	827	-2.9	0.0038
1451827_a_at	Nox4	NADPH oxidase 4	1928	5482	-2.8	0.0037
1428867_at	4933417E01Rik	RIKEN cDNA 4933417E01 gene	192	544	-2.8	0.0037
1423303_at	Paxip1	PAX interacting (with transcription-activation domain) protein 1	100	281	-2.8	0.0364
1417262_at	Ptgs2	prostaglandin-endoperoxide synthase 2	5757	16173	-2.8	0.0200
