Probe Set ID	Gene Symbol	BI
1554663_a_at	NUMA1	4.97
239591_at		3.52
211674_x_at	CTAG1A /// CTAG1B	3.15
241224_x_at	DSCR8	3.04
210546_x_at	CTAG1A /// CTAG1B	2.98
228780_at	POU3F3	2.97
210503_at	MAGEA11	2.93
228697_at	HINT3	2.86
229973_at	C1orf173	2.83
220179_at	DPEP3	2.73
220084_at	C14orf105	2.65
221690_s_at	NLRP2	2.65
1564359_a_at	LOC339260	2.65
206307_s_at	FOXD1	2.64
219937_at	TRHDE	2.59
242276_at		2.58
203980_at	FABP4	2.57
233092_s_at	LOC100271840	2.55
207325_x_at	MAGEA1	2.52
1556711_at	C13orf30	2.51
217339_x_at	CTAG1A /// CTAG1B	2.49
1556003_a_at		2.49
214183_s_at	TKTL1	2.46
227711_at	GTSF1	2.43
229479_at		2.42
206772_at	PTH2R	2.41
207802_at	CRISP3	2.41
239150_at	SNTN	2.4
209613_s_at	ADH1B	2.4
1562371_s_at	VWA3B	2.38
223977_s_at	C18orf2	2.37
209560_s_at	DLK1	2.36
207175_at	ADIPOQ	2.36
229271_x_at	COL11A1	2.34
215108_x_at	TOX3	2.34
206439_at	EPYC	2.32
209612_s_at	ADH1B	2.31
237281_at	AKAP14	2.31
1569399_at	MUC15	2.3
207739_s_at	GAGE1 /// GAGE12F /// GAGE12G /// GAGE12I /// GAGE12J /// GAGE2A /// GAGE2B /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE3 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8	2.26
206373_at	ZIC1	2.26
214774_x_at	TOX3	2.26
223618_at	FMN2	2.22
229331_at	SPATA18	2.21
1555804_a_at	YSK4	2.21
216623_x_at	TOX3	2.21
243803_at	LOC643037	2.2
201222_s_at	RAD23B	2.2
229352_at	SPESP1	2.19
1561938_at		2.18
205625_s_at	CALB1	2.18
210437_at	MAGEA9 /// MAGEA9B	2.18
237328_at	C14orf105	2.18
242135_at	LOC100289097 /// LOC642236	2.18
208235_x_at	GAGE12F /// GAGE12G /// GAGE12I /// GAGE5 /// GAGE7	2.16
208155_x_at	GAGE1 /// GAGE12F /// GAGE12G /// GAGE12I /// GAGE12J /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7	2.16
1557215_at		2.16
206640_x_at	GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE2A /// GAGE2C /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7	2.16
243087_at	WDR63	2.14
229542_at	C20orf85	2.14
205856_at	SLC14A1	2.14
204712_at	WIF1	2.13
207086_x_at	GAGE1 /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE12J /// GAGE2A /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8	2.13
214023_x_at	TUBB2B	2.12
223642_at	ZIC2	2.12
232523_at	MEGF10	2.11
214254_at	MAGEA4	2.11
215704_at	FLG	2.1
223962_at	TTC29	2.1
206228_at	PAX2	2.1
227952_at		2.09
203820_s_at	IGF2BP3	2.09
228038_at	SOX2	2.09
215733_x_at	CTAG2	2.09
218468_s_at	GREM1	2.09
243802_at	DNAH12	2.07
241764_at		2.06
239916_at	WDR16	2.06
206018_at	FOXG1	2.06
235978_at	FABP4	2.06
206504_at	CYP24A1	2.05
1560263_at		2.04
1555778_a_at	POSTN	2.04
240161_s_at	CDC20B	2.04
241726_at	HLCS	2.03
1557155_a_at		2.03
1556158_at	FAM154B	2.03
233011_at	ANXA1	2.02
207663_x_at	GAGE3	2.02
240857_at	DNAH9	2.02
218469_at	GREM1	2.02
1569878_at	CCNYL2	2.01
203819_s_at	IGF2BP3	2.01
205646_s_at	PAX6	2.01
205694_at	TYRP1	2.01
219564_at	KCNJ16	2
214079_at	DHRS2	2
222943_at	GBA3	2
206280_at	CDH18	2
209243_s_at	PEG3 /// ZIM2	1.99
238878_at	ARX	1.99
216370_s_at	TKTL1	1.99
223869_at	SOST	1.99
243161_x_at	ZFP42	1.99
237810_at	CLDN6	1.99
220269_at	ZBBX	1.99
238720_at	OMG	1.99
232056_at	SCEL	1.98
228598_at	DPP10	1.98
1561367_a_at		1.98
228285_at	TDRD9	1.97
218625_at	NRN1	1.97
220636_at	DNAI2	1.97
230865_at	LIX1	1.97
216207_x_at	IGKV1D-13	1.97
229669_at	LOC440416	1.97
233326_at	CCDC39	1.96
232535_at		1.96
204915_s_at	SOX11	1.96
204913_s_at	SOX11	1.95
204548_at	STAR	1.95
229554_at	LUM	1.95
235557_at	GPAT2	1.95
205278_at	GAD1	1.95
206811_at	ADCY8	1.94
240065_at	FAM81B	1.94
206010_at	HABP2	1.94
228546_at	DPP6	1.94
229294_at	JPH3	1.94
211642_at	IGHG1 /// ZCWPW2	1.94
203824_at	TSPAN8	1.93
213432_at	MUC5B	1.93
214651_s_at	HOXA9	1.93
237206_at	MYOCD	1.93
220004_at	DDX43	1.93
230193_at	WDR66	1.93
1568603_at	CADPS	1.93
1552439_s_at	MEGF11	1.93
229012_at	C9orf24	1.93
231181_at		1.93
224355_s_at	MS4A8B	1.93
236710_at	C1orf87	1.92
219873_at	COLEC11	1.92
1552368_at	CTCFL	1.92
216576_x_at	IGK@ /// IGKC /// LOC652493 /// LOC652694	1.92
219249_s_at	FKBP10	1.91
237020_at	TMEM146	1.91
219759_at	ERAP2	1.91
233064_at	ZFR2	1.91
240288_at	KCNRG	1.91
235650_at	CDHR3	1.91
1559459_at	LOC613266	1.91
1552349_a_at	PRSS33	1.91
1554960_at	C1orf110	1.91
227566_at	NTM	1.91
205799_s_at	SLC3A1	1.9
220389_at	CCDC81	1.9
205728_at	ODZ1	1.9
238877_at	EYA4	1.9
