Curated Gene Symbol	Gene Name	SHXXT Fold Change	SHXXT p	Radix et Rhizoma Rhei Fold Change	Radix et Rhizoma Rhei p	Rhizoma Coptis Fold Change	Rhizoma Coptis p	Radix Scutellariae Fold Change	Radix Scutellariae p	Category
BAX	BAX	1.65±0.29	0.0048	1.47±0.30	0.0288	1.84±0.33	0.0005	1.35±0.29	0.0917	Target Genes Up-Regulated by p53
BBC3	BBC3	6.25±0.16	0	4.38±0.82	0	3.47±0.18	0	1.80±0.27	0.0016	Target Genes Up-Regulated by p54
GADD45A	GADD45A	3.59±1.79	0	2.50±1.56	0.0052	1.87±1.10	0.0508	?1.27±0.96	0.4137	Target Genes Up-Regulated by p55
MDM2	MDM2	1.99±0.92	0.0088	1.79±1.12	0.0404	1.73±0.99	0.0458	1.45±0.82	0.1636	Target Genes Up-Regulated by p56
NDN	NDN	1.96±0.53	0.0195	1.87±0.67	0.0371	?1.04±0.10	0.8829	1.14±0.63	0.8705	Target Genes Up-Regulated by p57
NHLH2	NHLH2	1.96±0.79	0.0049	1.61±0.55	0.0364	1.37±0.52	0.1744	2.02±0.79	0.0032	Target Genes Up-Regulated by p58
NINJ1	NINJ1	1.63±0.16	0.0131	1.55±0.17	0.0277	1.07±0.18	0.7403	?2.87±1.27	0	Target Genes Up-Regulated by p59
SCRIB	SCRIB	?1.77±0.23	0.0024	?1.06±0.16	0.7534	1.57±0.32	0.0171	?1.64±0.79	0.0027	Target Genes Up-Regulated by p60
ATM	ATM	2.12±1.30	0.0042	1.19±0.87	0.451	1.97±1.28	0.0107	1.85±1.12	0.0156	Genes Involved in DNA Damage Signaling
BAX	BAX	1.65±0.29	0.0048	1.47±0.30	0.0288	1.84±0.33	0.0005	1.35±0.29	0.0917	Genes Involved in DNA Damage Signaling
BBC3	BBC3	6.25±0.16	0	4.38±0.82	0	3.47±0.18	0	1.80±0.27	0.0016	Genes Involved in DNA Damage Signaling
BNIP3	BNIP3	2.15±0.67	0.006	1.33±0.25	0.2889	1.38±0.82	0.4039	1.41±0.29	0.2076	Genes Involved in DNA Damage Signaling
ERCC1	ERCC1	1.85±0.63	0.0316	1.96±1.32	0.0469	1.36±0.34	0.2566	1.29±0.42	0.3703	Genes Involved in DNA Damage Signaling
GADD45A	GADD45A	3.59±1.79	0	2.50±1.56	0.0052	1.87±1.10	0.0508	?1.27±0.96	0.4137	Genes Involved in DNA Damage Signaling
GADD45G	GADD45G	5.44±3.11	0	2.54±1.32	0	2.45±1.27	0	2.06±1.16	0.0011	Genes Involved in DNA Damage Signaling
MDM2	MDM2	1.99±0.92	0.0088	1.79±1.12	0.0404	1.73±0.99	0.0458	1.45±0.82	0.1636	Genes Involved in DNA Damage Signaling
PURA	PURA	?1.94±0.47	0.0005	?1.06±0.31	0.7699	?1.70±0.52	0.0044	?1.56±0.49	0.0167	Genes Involved in DNA Damage Signaling
RAD51	RAD51	?1.71±0.35	0.0067	1.30±0.28	0.1718	?1.43±0.28	0.0743	1.69±0.37	0.0069	Genes Involved in DNA Damage Signaling
XPC	XPC	2.12±1.06	0.0042	1.53±0.75	0.0871	2.58±1.39	0.0004	1.93±0.89	0.0095	Genes Involved in DNA Damage Signaling
ATM	ATM	2.12±1.30	0.0042	1.19±0.87	0.451	1.97±1.28	0.0107	1.85±1.12	0.0156	Genes Involved in p53 Signaling
BAX	BAX	1.65±0.29	0.0048	1.47±0.30	0.0288	1.84±0.33	0.0005	1.35±0.29	0.0917	Genes Involved in p53 Signaling
BBC3	BBC3	6.25±0.16	0	4.38±0.82	0	3.47±0.18	0	1.80±0.27	0.0016	Genes Involved in p53 Signaling
BRAP	BRAP	1.81±0.30	0.0025	1.91±0.35	0.001	?1.12±0.36	0.5169	?2.26±0.53	0	Genes Involved in p53 Signaling
CSNK1A1	CSNK1A1	1.77±0.68	0.0356	?1.01±0.44	0.973	1.04±0.47	0.8599	?1.56±0.97	0.0727	Genes Involved in p53 Signaling
EI24	EI24	1.60±0.17	0.0209	1.12±0.16	0.5765	1.57±0.63	0.0473	?1.28±0.47	0.1555	Genes Involved in p53 Signaling
FAF1	FAF1	1.64±0.43	0.0093	1.24±0.33	0.2497	1.19±0.36	0.3636	?2.96±1.16	0	Genes Involved in p53 Signaling
GADD45A	GADD45A	3.59±1.79	0	2.50±1.56	0.0052	1.87±1.10	0.0508	?1.27±0.96	0.4137	Genes Involved in p53 Signaling
MDM2	MDM2	1.99±0.92	0.0088	1.79±1.12	0.0404	1.73±0.99	0.0458	1.45±0.82	0.1636	Genes Involved in p53 Signaling
PMP22	PMP22	?2.29±0.28	0	?4.61±1.31	0	?3.76±0.88	0	?17.50±6.45	0	Genes Involved in p53 Signaling
PRKCA	PRKCA	1.60±0.24	0.0115	1.57±0.28	0.016	?2.44±0.78	0	?3.81±0.58	0	Genes Involved in p53 Signaling
RELA	RELA	2.22±1.99	0.0332	?1.00±0.67	0.6251	1.07±0.75	0.55	1.67±1.11	0.0831	Genes Involved in p53 Signaling
SFN	SFN	1.78±0.30	0.002	3.51±0.78	0	1.13±0.23	0.5252	1.30±0.14	0.1526	Genes Involved in p53 Signaling
TRAF4	TRAF4	1.88±0.60	0.0004	1.83±0.69	0.0009	1.60±0.54	0.0086	1.14±0.48	0.4991	Genes Involved in p53 Signaling
ZMAT3	WIG1	?1.93±0.28	0.0342	1.06±0.32	0.8805	1.31±1.09	0.8246	?1.05±0.26	0.8616	Genes Involved in p53 Signaling
