Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
BM483206	Unidentified transcripts on BTA1 position 100468092-100466963	5.197866683	332.4157206	63.95233677	3.431161767	2.376451023
XM_604169	Bos taurus similar to Homo sapiens malic enzyme 3, NADP(+)-dependent, mitochondrial (ME3), nuclear gene encoding mitochondrial protein, transcript variant 1	5.049407316	4529.751925	897.0858641	3.163445818	2.376451023
XM_584710	PREDICTED: Bos taurus similar to Vasohibin-like protein (LOC539085)	5.042986471	33.15110529	6.573704981	3.111668391	2.376451023
XM_869163	Bos taurus similar to Homo sapiens leucine rich repeat (in FLII) interacting protein 1 (LRRFIP1)	5.903449775	57.23154299	9.694593022	2.317324457	2.376451023
BP107096	Bos taurus similar to Homo sapiens GATA binding protein 2 (GATA2)	4.527817483	540.9474745	119.4720142	2.241511134	2.376451023
EE896971	Bos taurus similar to Homo sapiens EPH receptor A4 (EPHA4)	4.622055904	26.85755547	5.810737911	2.123658069	2.376451023
XM_582286	Bos taurus similar to Homo sapiens squamous cell carcinoma antigen recognised by T cells 3 (SART3)	4.510919941	486.7376021	107.9020706	2.08527576	2.376451023
XM_870478	Bos taurus similar to Homo sapiens transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila) (TLE2)	4.513141709	3025.639268	670.4064403	2.04710214	2.376451023
EE913420	Unidentified transcripts on BTA3 position 60873483-60874091	5.017167276	869.6398793	173.3328453	1.838688523	2.376451023
AW483622	Bos taurus similar to Homo sapiens GRB2-associated binding protein 2 (GAB2), transcript variant 2	4.899595653	8481.919229	1731.146778	1.746679555	2.376451023
NM_001002882	Bos taurus sialyltransferase ST3Gal-III (SIAT6)	4.605688828	20106.9102	4365.668404	1.67391856	2.376451023
NM_001034261	Bos taurus similar to Homo sapiens ubiquitin domain containing 1 (UBTD1)	4.421816086	2595.340737	586.9400007	1.632111402	2.376451023
NM_001038137	Bos taurus similar to Homo sapiens motile sperm domain containing 1 (MOSPD1)	4.558788411	543.0075358	119.112248	1.60120838	2.376451023
NM_174476	Bos taurus transient receptor potential channel 1 (TRPC1)	4.498354992	5.150890144	1.14506084	1.593195105	2.376451023
XM_875543	Bos taurus similar to Homo sapiens dynactin 1 (p150, glued homolog, Drosophila) (DCTN1), transcript variant 1	4.941156122	14277.01151	2889.407086	1.57083525	2.376451023
XM_588170	Bos taurus similar to Homo sapiens alanyl-tRNA synthetase (AARS)	4.93663816	15925.79059	3226.039679	1.541875813	2.376451023
