Rank Order	Symbol	GenBank ID	LocusLink	Affymetrix HG-U133Plus2.0 Probeset ID	log2 Fold Change from LUC R1881 vs. EtOH	Average Expression from all Experimental Conditions	t Statistic	p-value	adjusted p-value	B: Log odds of Differential Expression
1	LOC23117	AC_002045	23117	214870_x_at	-1.078	10.229	-14.564	1.18E-07	2.36E-06	10.03
2	C11orf58	BE748802	10944	235526_at	-1.015	6.086	-14.295	1.39E-07	2.36E-06	9.861
3	FLJ41484	AI479082	650669	238127_at	-1.755	6.997	-13.777	1.93E-07	2.36E-06	9.529
4	DGAT2	AW469523	84649	226064_s_at	-2.416	7.558	-13.558	2.22E-07	2.36E-06	9.384
5	ALDH3B2	NM_000695	222	204942_s_at	-1.049	8.324	-13.368	2.51E-07	2.36E-06	9.256
6	TTYH2	BC004233	94015	223741_s_at	-1.465	5.366	-12.979	3.25E-07	2.55E-06	8.989
7	DGAT2	AB048286	84649	224327_s_at	-1.68	7.102	-12.585	4.26E-07	2.86E-06	8.71
8	LAMP2	AI150000	3920	226671_at	-1.108	6.753	-11.925	6.80E-07	4.00E-06	8.223
9	COL6A2	AY029208	1292	209156_s_at	-1.655	6.277	-11.455	9.63E-07	5.03E-06	7.859
10	C20orf199	AI625235	441951	229899_s_at	-1.424	6.493	-11.226	1.15E-06	5.39E-06	7.677
11	RCL1	BC001025	10171	222666_s_at	-1.111	7.588	-10.541	1.97E-06	8.40E-06	7.11
12	PLEKHH1	AB033026	57475	225726_s_at	-1.277	7.725	-10.284	2.43E-06	9.51E-06	6.888
13	RPL13	AI369389	6137	229590_at	-1.003	8.327	-9.616	4.29E-06	1.55E-05	6.287
14	SNHG4	AJ224167	724102	1564907_s_at	-1.907	6.162	-9.323	5.56E-06	1.87E-05	6.011
15	RPL37A	AU155515	6168	213459_at	-1.537	6.442	-8.907	8.14E-06	2.55E-05	5.607
16	IER5	NM_016545	51278	218611_at	-1.784	6.625	-8.834	8.72E-06	2.56E-05	5.534
17	PLEKHH1	AB033026	57475	225727_at	-1.51	7.234	-8.676	1.01E-05	2.75E-05	5.376
18	RPS6	AW205632	6194	238156_at	-1.108	7.002	-8.634	1.05E-05	2.75E-05	5.333
19	ANKRD50	BF196876	57182	225731_at	-1.023	5.805	-7.938	2.10E-05	5.19E-05	4.6
20	KCNS3	NM_002252	3790	205968_at	-1.354	5.633	-7.838	2.32E-05	5.46E-05	4.491
21	FSTL1	BC000055	11167	208782_at	-1.426	7.049	-7.786	2.45E-05	5.49E-05	4.433
22	RPL17	AA522618	6139	214291_at	-1.258	4.874	-7.39	3.73E-05	7.93E-05	3.985
23	GEMIN4	AF258545	50628	217099_s_at	-1.205	6.571	-7.333	3.97E-05	7.93E-05	3.921
24	TNRC6A	NM_020847	27327	1553346_a_at	-1.285	7.057	-7.314	4.05E-05	7.93E-05	3.898
25	RORC	AI218580	6097	228806_at	-1.142	5.237	-6.999	5.74E-05	1.08E-04	3.527
26	PTP4A3	NM_007079	11156	206574_s_at	-1.445	4.357	-6.958	6.01E-05	1.09E-04	3.477
27	THG1L	NM_017872	54974	219122_s_at	-1.715	4.381	-6.81	7.10E-05	1.24E-04	3.298
28	IL17RD	AW007080	54756	227997_at	-2.018	4.833	-6.433	0.00011034	0.000185211	2.828
29	SCAMP1	AL049223	9522	212425_at	-1.646	4.545	-6.372	0.00011874	0.000190424	2.75
30	NR2C2	AI571166	7182	226848_at	-1.595	6.236	-6.352	0.00012155	0.000190424	2.725
31	DIAPH2	NM_006729	1730	205726_at	-1.145	6.139	-6.189	0.00014801	0.000224406	2.514
32	NA	AI857788	NA	227126_at	-1.133	6.36	-6.047	0.00017644	0.000259147	2.327
33	LHPP	NM_022126	64077	218523_at	-1.076	5.769	-6.018	0.00018293	0.000260534	2.288
34	GSTA4	N79662	2941	235405_at	-1.18	6.258	-5.961	0.00019628	0.000271332	2.213
35	HNRPA1	AW450929	3178	221919_at	-1.021	5.977	-5.867	0.00022107	0.000296861	2.086
36	NACA	AI992187	4666	222018_at	-1.139	5.877	-5.768	0.00025048	0.000327018	1.953
37	ZNF133	AL049646	7692	216960_s_at	-1.375	5.266	-5.718	0.00026721	0.000339268	1.884
38	NA	AA031404	286334	226592_at	-1.844	5.339	-5.697	0.0002743	0.000339268	1.856
39	ALKBH2	AI865555	121642	225625_at	-1.028	6.169	-5.37	0.00042081	0.000507127	1.401
40	ZNF276	AI983201	92822	213778_x_at	-1.102	5.166	-5.265	0.00048436	0.000569128	1.251
41	EGFL7	NM_016215	51162	218825_at	-1.623	5.542	-5.166	0.00055425	0.000635365	1.108
42	PRR3	NM_025263	80742	204795_at	-1.217	5.947	-5.121	0.00058947	0.000659648	1.042
43	FAM89A	AI130705	375061	226448_at	-1.168	4.442	-4.576	0.00126926	0.001387326	0.229
44	C11orf61	NM_024631	79684	221208_s_at	-1.006	5.744	-4.519	0.00137863	0.001472625	0.142
45	SNHG10	AW972850	283596	244786_at	-1.457	4.8	-4.173	0.00230011	0.002402338	-0.398
46	MXRA8	AW888223	54587	213422_s_at	-1.252	5.369	-4.067	0.00269704	0.002755673	-0.565
47	MAGED4	NM_030801	81557	221261_x_at	-1.033	4.658	-3.693	0.00480415	0.00480415	-1.169
