Gene	Methylation probe ID	Expression probe ID	Pearson’s correlation (r)	p value
NAT2	NAT2_P11_F	206797_at	-0.894	<0.001
NOD2	CARD15_P302_Ra	220066_at	-0.922	<0.001
PPARG	PPARG_P693_F	208510_s_at	-0.938	<0.001
IRF7	IRF7_E236_R	208436_s_at	-0.793	0.006
	IRF7_P277_R	208436_s_at	-0.866	0.001
CHI3L2	CHI3L2_E10_F	213060_s_at	-0.783	0.007
MAPK10	MAPK10_E26_F	204813_at	-0.778	0.008
OSM	OSM_P34_F	230170_at	-0.743	0.014
EYA4	EYA4_P794_F	207327_at	-0.707	0.022
		238877_at	-0.737	0.015
TAL1	TAL1_E122_F	1561651_s_at	-0.732	0.016
IRAK3	IRAK3_P185_F	213817_at	-0.725	0.018
HDAC1	HDAC1_P414_R	201209_at	-0.694	0.026
PI3	PI3_P1394_R	203691_at	-0.674	0.033
		41469_at	-0.695	0.026
RBP1	RBP1_P426_R	203423_at	-0.687	0.028
CRIP1	CRIP1_P874_R	205081_at	-0.686	0.029
BCR	BCR_P346_F	202315_s_at	-0.682	0.03
		217223_s_at	-0.639	0.047
TJP2	TJP2_P518_F	202085_at	-0.673	0.033
