AccessionNo.	Gene(EC-No.)	Change	Category
BC010973	CYP8B1(EC1.14.-.-)	Down	Cholesterol metabolism
NM_007824	CYP7A1(EC1.14.13.17)	Down	Cholesterol metabolism
NM_007825	CYP7B1(EC1.14.13.-)	Down	Cholesterol metabolism
AK014742	Lanosterol synthase(EC5.4.99.7)	Up	Cholesterol metabolism
NM_009286	Sulfotransferase,hydroxysteroidpreferring2(EC2.8.2.2)	Up	Cholesterol metabolism
BC026757	Hydroxysteroiddehydrogenase2(EC1.1.1.145)	Down	Cholesterol metabolism
NM_134066	Aldo-ketoreductase1C18(EC1.1.1.149)	Up	Cholesterol metabolism
NM_054094	Butyryl-CoAsynthase1(EC6.2.1.2)	Down	Fatty acid metabolism
NM_008280	Lipase,hepatic(EC3.1.1.3)	Down	Fatty acid metabolism
NM_009128	Stearyl-CoAdesaturase2(EC1.14.19.1)	Up	Fatty acid metabolism
NM_024406	Fattyacidbindingprotein4( )	Up	Fatty acid metabolism
BC002008	Fattyacidbindingprotein5,epidermal( )	Up	Fatty acid metabolism
BB430611	Fattyaciddesaturase2( )	Up	Fatty acid metabolism
AA561726	3-Phosphoglyceratedehydrogenase(EC1.1.1.95)	Up	Serine and phosphocholine biosynthesis
BC004827	Phosphoserineaminotransferase1(EC2.6.1.52)	Up	Serine and phosphocholine biosynthesis
NM_133900	Phosphoserinephosphatase(EC3.1.3.3)	Up	Serine and phosphocholine biosynthesis
NM_013490	Cholinekinase(EC2.7.1.32)	Up	Serine and phosphocholine biosynthesis
