Column ID	Predicted by PITA	TargetScan	PicTar	miRanda	miRBase Targets	Total #	r	P-value
ABHD2	YES					1	-0.37	0.029
AKAP7	YES	YES	YES	YES		4	-0.51	0.002
ALDH3A2	YES	YES				2	-0.56	<0.001
ALKBH5	YES					1	-0.48	0.004
ALS2CR8	YES	YES				2	-0.43	0.009
ANKRD40	YES	YES				2	-0.48	0.004
ANXA11	YES	YES		YES		3	-0.47	0.004
APLP2	YES	YES				2	-0.37	0.03
ATP6V1C1	YES					1	-0.48	0.004
ATP6V1E1	YES					1	-0.36	0.032
BRE	YES					1	-0.42	0.012
C10orf104	YES	YES		YES		3	-0.48	0.004
C10orf54	YES					1	-0.44	0.009
C22orf28	YES					1	-0.4	0.017
CAB39L	YES					1	-0.55	<0.001
CASP1	YES	YES		YES	YES	4	-0.43	0.011
CD4	YES	YES	YES			3	-0.48	0.004
CDX2	YES	YES				2	-0.37	0.031
CFL2	YES	YES		YES		3	-0.46	0.005
CHID1	YES					1	-0.47	0.005
CKLF	YES					1	-0.53	0.001
CLTA				YES		1	-0.66	<0.001
CNOT7	YES					1	-0.33	0.05
COMMD6	YES	YES				2	-0.39	0.022
COQ2	YES	YES			YES	3	-0.34	0.045
COX5A	YES				YES	2	-0.41	0.014
COX7A2L	YES					1	-0.37	0.028
CRADD	YES	YES		YES		3	-0.5	0.002
CREB3L2	YES	YES				2	-0.43	0.01
DACH1	YES			YES		2	-0.56	<0.001
DDAH1	YES					1	-0.39	0.02
DEFA4	YES					1	-0.35	0.042
DEXI	YES			YES		2	-0.43	0.011
DGAT2	YES					1	-0.34	0.047
DOPEY2	YES					1	-0.48	0.004
E2F2	YES	YES				2	-0.34	0.045
E2F5	YES	YES	YES	YES	YES	5	-0.36	0.035
EIF2C1	YES					1	-0.38	0.026
EIF4E2				YES		1	-0.53	0.001
ELL	YES					1	-0.36	0.032
EPN2	YES	YES		YES		3	-0.41	0.014
EREG	YES	YES		YES		3	-0.5	0.002
FCGRT	YES	YES				2	-0.37	0.03
FLJ33790	YES					1	-0.43	0.01
FOXP2				YES		1	-0.38	0.026
GNS	YES	YES				2	-0.42	0.013
GPAA1	YES				YES	2	-0.34	0.046
GRK6	YES	YES				2	-0.47	0.005
HCCS	YES					1	-0.65	<0.001
HERC6	YES	YES				2	-0.4	0.017
HLF	YES	YES	YES	YES		4	-0.35	0.039
HNMT	YES					1	-0.36	0.035
HOXA11	YES	YES	YES	YES		4	-0.55	<0.001
HOXA3	YES	YES		YES		3	-0.62	<0.001
HOXA7	YES					1	-0.5	0.002
HOXA9				YES		1	-0.61	<0.001
HOXB3	YES					1	-0.38	0.024
HOXB8	YES	YES				2	-0.37	0.027
HTR1F	YES	YES				2	-0.42	0.011
IRF5	YES	YES				2	-0.39	0.021
KCNAB2	YES					1	-0.42	0.012
KIAA0241	YES	YES		YES	YES	4	-0.55	<0.001
KIAA0664	YES	YES		YES		3	-0.42	0.012
KIAA1919	YES	YES				2	-0.4	0.019
KLF11	YES					1	-0.34	0.048
KLHL5	YES	YES	YES	YES	YES	5	-0.46	0.006
LARP6	YES					1	-0.39	0.021
LRP6	YES	YES				2	-0.4	0.017
MINK1	YES	YES	YES	YES		4	-0.39	0.019
MLLT6	YES					1	-0.37	0.027
MMP16	YES			YES		2	-0.34	0.046
MRPL13	YES	YES			YES	3	-0.56	<0.001
MRPS14	YES	YES				2	-0.43	0.011
MRPS18B		YES			YES	2	-0.55	<0.001
MRPS33	YES					1	-0.47	0.005
MSI1	YES	YES				2	-0.53	<0.001
MTMR12	YES	YES	YES	YES		4	-0.36	0.032
MTPN	YES	YES	YES	YES		4	-0.35	0.04
MYO6	YES					1	-0.48	0.004
NCAPH2	YES					1	-0.39	0.019
NCF1					YES	1	-0.38	0.023
NDN				YES		1	-0.41	0.015
NDRG2	YES	YES		YES		3	-0.39	0.022
NDUFS3	YES					1	-0.46	0.005
NEFH	YES	YES		YES		3	-0.38	0.025
NF2	YES					1	-0.47	0.005
NIPA1	YES	YES		YES		3	-0.53	0.001
