miRNA ID	Fold change	p-value	Raw log2 values (mean K562 vs blood)
hsa-miR-495	1.00E+24	9.00E-205	85.83 vs 5.64
hsa-miR-493	1.00E+31	4.00E-205	104.17 vs 1.00
hsa-miR-365	6.00E+12	0.0001	92.17 vs 49.86
hsa-miR-128	4.00E+15	0.0003	99.18 vs 47.43
hsa-miR-543	1.00E+08	0.0004	27.14 vs 0.1
hsa-miR-382	4.00E+09	0.0032	39.34 vs 7.29
hsa-miR-409-3p	2.00E+34	0.0004	130.16 vs 16.14
hsa-miR-154	2.00E+09	0.0007	30.63 vs 0.1
hsa-miR-654-3p	1.00E+34	0.0001	120.35 vs 7.06
hsa-miR-193b	6.00E+22	0.0003	75.81 vs 0.1
hsa-miR-409-5p	5.00E+08	4.00E-205	28.83 vs 0.1
hsa-miR-379	7.00E+25	0.002	85.99 vs 0.1
hsa-miR-432	2.00E+11	0.003	49.95 vs 12.23
hsa-miR-21	1.00E+06	0.0007	43.76 vs 23.43
hsa-miR-18a	791	0.0007	9.73 vs 0.1
hsa-miR-181b	1.00E+14	0.005	97.43 vs 50.69
hsa-miR-329	4.00E+10	0.003	53.21 vs 0.1
hsa-miR-105	6864	0.003	12.85 vs 0.1
hsa-miR-410	4.00E+20	0.003	76.29 vs 7.78
hsa-miR-96	9.00E+16	0.004	56.35 vs 0.1
hsa-miR-758	1.00E+16	0.003	53.49 vs 0.1
hsa-miR-411	5.00E+08	0.007	28.85 vs 0.1
hsa-miR-431	1.00E+18	0.004	66.07 vs 5.99
hsa-miR-299-3p	5.00E+14	0.003	48.98 vs 0.1
hsa-miR-337-5p	5.00E+13	0.004	45.45 vs 0.1
hsa-miR-92a-1	7.00E+18	0.001	62.59 vs 0.1
hsa-miR-151-3p	8.00E+15	0.002	95.62 vs 42.78
hsa-miR-431	1.00E+16	0.001	53.52 vs 0.1
hsa-miR-323-3p	8.00E+11	0.008	39.69 vs 0.1
hsa-miR-154	3.00E+34	0.002	114.72 vs 0.1
hsa-miR-320a	7.00E+28	0.006	192.48 vs 96.57
hsa-miR-9	1.00E+15	0.007	50.01 vs 0.1
hsa-miR-338-5p	7132	0.009	18.90 vs 6.1
hsa-miR-335	12549	0.009	13.71 vs 0.1
hsa-miR-486-3p	6.00E+06	0.002	22.58 vs 0.1
