Curated Gene Symbol	Gene name	Gene symbol	Fold change	P
FCER2	Fc fragment of IgEa	FCER2	8.837	0.008
LGALS2	Galectin-2	LGALS2	7.87	0.005
	IFN-related developmental regulator 1	IFAD1	4.812	0.013
CLCF1	Cardiotrophin-like cytokine factor 1	CLCF1	2.48	0.014
CCL4	Chemokine ligand 4	CCL4	5.77	0.035
CCL5	Chemokine ligand 5	CCL5	7.33	0.004
CD7	CD7 antigenb	CD7	3.51	0.042
CD74	CD74 molecule	CD74	2.25	0.011
CD8B	CD8 antigenc	CD8B1	5.74	0.031
CTSS	Cathepsin S	CTSS	5.01	0.046
	IL-18 receptor accessory protein T cell activation	IL18 RAP	6.66	0.041
IL1B	IL-1	IL1B	9.8	0.015
ITK	IL-2–inducible T cell kinase	ITK	4.5	0.047
LIF	Leukemia inhibitory factor	LIF	2.237	0.008
LST1	Leukocyte-specific transcript 1	LST1	9.25	0.018
CD40LG	TNF superfamily 5	TNFSF5	2.24	0.015
SKAP1	Src family–associated phosphoprotein 1	SCAP1	3.37	0.016
XCL1	Chemokined ligand 1	XCL1	2.95	0.019
TRG@	T cell receptor 	TRG@	3.01	0.031
ZAP70	 chaine–associated protein kinase	ZAP70	3.03	0.011
CFD	D component of complement	DF	3.77	0.042
CLEC4A	C-type lectin superfamily member 6	CLEC4A	3.6	0.043
GNLY	Granulysin	GNLY	4.9	0.038
MAL	T cell differentiation protein	MAL	6.79	0.007
FTH1	Ferritin, heavy polypeptide	FTH1	2.2	0.009
DPP4	Dipeptidylpeptidase 4	CD26	2.15	0.044
HLA-DPA1	MHC class II, DP1	HLA-DPA1	4.58	0.004
HLA-DPB1	MHC class I, DP1	HLA-DPB1	2.72	0.022
ICOSLG	Inducible T cell costimulator ligand	ICOSLG	2.44	0.01
IL10RA	IL-10 receptor 	IL10RA	3.526	0.01
IL23A	IL-23  subunits 19	IL23A	2.74	0.003
IL4R	IL-4 receptor	IL4R	2.58	0.032
KLRB1	Killer cell lectinlike receptor subfamily B, member 1	KLRB1	4.72	0.037
NCR3	Natural cytotoxicity–triggering receptor 3	NCR3	3.135	0.002
