Gene	Fold change	Location	Function
APC	1.51	5q21-q22	cell adhesion, inhibits proliferation
BRMS1	1.43	11q13-q13.2	inhibits metastasis and tumor growth
CD44	1.05	11p13	cell adhesion and stroma attachment
CDH1	5.24	16q22.1	inhibits tumor metastasis
CDKN2A	1.11	9p21	negative regulation of cell cycle
Col4a2	1.33	13q34	the component of extracellular matrix
CST7	1.04	20p11.21	inhibits cysteine proteinase
CTNNA1	1.25	5q31	participates in cell adhesion
CTSK	1.09	1q21	protein hydrolysate
CTSL1	1.24	9q21-q22	protein hydrolysate
CXCR4	1.27	2q21	signal transduction, promotes invasion
DENR	1.37	12q24.31	promotes proliferation
EWSR1	1.29	22q12.	transcription factor, promotes oncogenesis
FAT	1.1	4q35	participates in cell adhesion
FN1	1.07	2q34	participates in cell adhesion
FXYD5	1.1	19q12-q13.1	negative regulation of cell adhesion
HPSE	1.41	4q21.3	hydrolyses protein
IL1B	1.68	2q14	inhibits or promotes proliferation
ITGA7	1.25	12q13	participates in cell adhesion
CD82	1.15	11p11.2	metastasis suppressor
KRAS	1.02	12p12.1	cell signal transduction, proliferation
RPSA	1.18	3p22.2	participates in cell adhesion
MDM2	1.64	12q14.3-q15	negative regulation of cell proliferation
MMP10	1.27	11q22.3	protein hydrolysate, promotes metastasis
MMP11	1.26	22q11.23	decomposes, protein hydrolysate and promotes metastasis
MMP13	1.18	11q22.3	decomposes, protein hydrolysate and promotes metastasis
MMP2	1.12	16q13-q21	decomposes, protein hydrolysate and promotes metastasis
MMP7	1.43	11q21-q22	decomposes, protein hydrolysate and promotes metastasis
MMP9	1.32	20q11.2-q13.1	decomposes, protein hydrolysate and promotes metastasis
MTA1	1.36	14q32.3	promotes metastasis
MYC	1.24	8q24.12-24.13	promotes proliferation
MYCL1	1.23	1p34.2	transcription factor, promotes proliferation
NME2	1.22	16q13	induces apoptosis
NME4	1.82	16p13.3	inhibits proliferation
NR4A3	1.25	9q22	transcription factor, promotes proliferation
PTEN	1.34	10q23.3	inhibits proliferation and metastasis
RB1	1.36	13q14.2	negative regulation of cell reproduction
SRC	1.32	20q12-q13	promotes proliferation
SSTR2	1.03	17q24	inhibits proliferation
TCF20	1.26	22q13.3	transcription factor
TIMP2	3.08	17q25	inhibits metastasis
TIMP3	10.08	22q12.3	induces apoptosis, inhibits metastasis
TIMP4	2.6	3p25	inhibits metastasis
TNFSF10	1.22	3q26	induces apoptosis, inhibits proliferation
TP53	1.47	17p13.1	induces apoptosis and cell differentiation, inhibits proliferation
TRPM1	1.21	15q13-q14	calcium channels
VEGFA	1.22	6p12	promotes proliferation, metastasis; inhibits apoptosis
B2M	1.23	15q21-q22.2	immune response, MHC I receptor
RPL13A	1.03	19q13.3	protein metabolism, promotes proliferation
GAPDH	1.12	12p13	glycometabolism
ACTB	1.08	7p15-p12	ORM cytoskeleton
