Curated Gene Symbol	Accession No.	Gene name	Gene description	NIN–mean	SEM	Parental mean	SEM
CCL2	M24545.1	CCL2	Cytokine A2	45.7	16.79	28.98	18.58
DCN	BC005322.1	DCN	Decorin	11.85	2.81	7.83	3.37
B2M	BC032589.1	B2M	?2-Microglobulin	10.9	0.8	5.05	0.55
PTN	BC005916.1	PTN	Pleiotrophin	8.47	2.32	3.76	1.05
	NM_002825.3		Homo sapiens pleiotrophin (PTN)	8.04	2.17	4.22	1.44
ITM2A	BC040437.1	ITM2A	Integral membrane protein 2	7.9	3.01	3.53	1.61
MGP	BC005272.1	MGP	Matrix Gla protein	6.83	1.29	4.27	0.83
TNFRSF1A	BC010140.1	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1a	6.08	1.84	2.16	0.37
	NM_006528.1		Homo sapiens tissue factor pathway inhibitor 2 (TFPI2)	6.04	1.48	5	0.66
CNTNAP2	AF319045.1	CNTNAP2	Contactin-associated protein-like 2	5.44	1.27	-1.9	0.21
SPARC	BC004974.1	SPARC	Secreted protein acidic cysteine-rich (osteonectin)	5.01	0.85	2.47	0.46
RELB	M83221.1	RELB	Reticuloendotheliosis viral (v-rel) oncogene-related B	4.91	1.03	2.53	0.45
VIM	AF328728.1	VIM	Vimentin, an intermediate filament protein of the cytoskeleton	4.9	0.15	4.24	0.35
ELAVL1	BC003376.1	ELAVL1	Embryonic lethal abnormal vision-like 1 (Hu antigen R)	4.72	1.42	2.45	0.58
TFPI2	AK092499.1	TFPI2	Tissue factor pathway inhibitor 2	4.61	1.07	5.01	1.23
NFKBIA	BC002601.1	NFKBIA	Nuclear factor of ? light polypeptide gene enhancer in B-cells inhibitor ?	4.49	0.61	2.25	0.29
PPIC	S71018.1	PPIC	Peptidylprolyl isomerase C (cyclophilin C)	4.11	0.81	2.35	0.34
S100A11	D38583.1	S100A11	S100 calcium-binding protein A11 (calgizzarin)	4.05	0.55	2.79	0.43
CNOT8	NM_022135.2	POP2	Popeye protein 2	4.03	0.68	-1.88	0.31
	BC004489.1	I_963732	Protein with strong similarity to heavy chain MHC class I molecule (human HLA-B)	3.57	0.3	-1.98	0.07
TSPAN8	BC005246.1	TM4SF3	Transmembrane 4 superfamily member 3 (tumor-associated antigen CO-029)	3.54	0.57	-1.33	0.17
	AK026775.1	I_942440	Protein of unknown function	3.33	0.1	2.03	0.06
PLAT	BC007231.1	PLAT	Tissue-type plasminogen activator	3.26	0.86	2.77	0.98
	AB040057.2	MST4	Mst3 and SOK1-related kinase	3.2	0.78	2.63	0.77
	NM_002116.3	I_1221886	Retired, was major histocompatibility complex class I-A	3.18	0.42	-1.75	0.12
	M10943.1	I_963838	Retired, was member of the metallothionein family	3.18	0.08	2.35	0.1
FSTL1	BC000055.1	FSTL1	Follistatin-like 1 (follistatin-related protein)	3.14	0.35	2.27	0.36
	NM_014033.1		Homo sapiens DKFZP586A0522 protein (DKFZP586A0522)	3.06	0.38	-1.72	0.21
CDH2	BC036470.1	CDH2	Cadherin 2 type 1 (N-cadherin)	2.97	0.35	-1.8	0.12
ATP1A1	D00099.1	ATP1A1	?1 subunit of the Na+–K+-transporting ATPase	2.76	0.07	-1.56	0.13
NPC2	BC002532.1	NPC2	Neimann–Pick disease type C2 (epididymal secretory protein 1)	2.74	0.2	2.58	0.18
BZW2	BC003056.1	BZW2	Protein containing a eukaryotic translation initation factor eIF4-?, eIF5 or eIF2-? domain	2.7	0.17	-1.57	0.08
ISOC1	NM_016048.1	CGI-111	Member of the isochorismatase family	2.69	0.54	-1.95	0.42
