miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-100	CTDSPL	C3orf8|HYA22|PSR1|RBSP3|SCP3	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	3	10217
hsa-miR-100	ADCY1	AC1	adenylate cyclase 1 (brain)	7	107
hsa-miR-100	FGFR3	ACH|CD333|CEK2|HSFGFR3EX|JTK4	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	4	2261
hsa-miR-100	C1orf34	DEME-6|KIAA0452	chromosome 1 open reading frame 34	1	22996
hsa-miR-100	ZZEF1	FLJ10821|FLJ45574|KIAA0399|MGC166929|ZZZ4	zinc finger, ZZ-type with EF-hand domain 1	17	23140
hsa-miR-100	FRAP1	FLJ44809|FRAP|FRAP2|MTOR|RAFT1|RAPT1	FK506 binding protein 12-rapamycin associated protein 1	1	2475
hsa-miR-100	EIF2C2	AGO2|MGC3183|Q10	eukaryotic translation initiation factor 2C, 2	8	27161
hsa-miR-100	TRIB2	C5FW|GS3955|TRB2	tribbles homolog 2 (Drosophila)	2	28951
hsa-miR-100	RAVER2	DKFZp762D1011|FLJ10770|KIAA1579	ribonucleoprotein, PTB-binding 2	1	55225
hsa-miR-100	C4orf16	2C18|GBAR|PRO0971	chromosome 4 open reading frame 16	4	55435
hsa-miR-100	FZD5	C2orf31|DKFZP434E2135|HFZ5|MGC129692	frizzled homolog 5 (Drosophila)	2	7855
hsa-miR-100	FZD8	FZ-8|hFZ8	frizzled homolog 8 (Drosophila)	10	8325
hsa-miR-100	THAP2	DKFZP564I0422	THAP domain containing, apoptosis associated protein 2	12	83591
hsa-miR-100	KBTBD8	KIAA1842|TA-KRP	kelch repeat and BTB (POZ) domain containing 8	3	84541
hsa-miR-100	SMARCA5	ISWI|SNF2H|WCRF135|hISWI|hSNF2H	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	4	8467
hsa-miR-100	HS3ST3B1	30ST3B1|3OST3B1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	17	9953
hsa-miR-100	HS3ST2	30ST2|3OST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	16	9956
hsa-miR-10b	CUGBP2	BRUNOL3|ETR-3|NAPOR	CUG triplet repeat, RNA binding protein 2	10	10659
hsa-miR-10b	IL1RAPL1	IL1R8|IL1RAPL|MRX21|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	X	11141
hsa-miR-10b	DOCK11	ACG|FLJ32122|FLJ43653|ZIZ2|bB128O4.1	dedicator of cytokinesis 11	X	139818
hsa-miR-10b	MDGA2	MAMDC1|c14_5286	MAM domain containing glycosylphosphatidylinositol anchor 2	14	161357
hsa-miR-10b	ELAVL2	HEL-N1|HELN1|HUB	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	9	1993
hsa-miR-10b	MAPRE1	EB1|MGC117374|MGC129946	microtubule-associated protein, RP/EB family, member 1	20	22919
hsa-miR-10b	MAPKBP1	MGC138851|MGC138852	mitogen-activated protein kinase binding protein 1	15	23005
hsa-miR-10b	FLT1	FLT|VEGFR1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	13	2321
hsa-miR-10b	TRIM2	KIAA0517|RNF86	tripartite motif-containing 2	4	23321
hsa-miR-10b	CADM1	BL2|DKFZp686F1789|IGSF4|IGSF4A|MGC149785|MGC51880|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	cell adhesion molecule 1	11	23705
hsa-miR-10b	GABRB2	MGC119386|MGC119388|MGC119389	gamma-aminobutyric acid (GABA) A receptor, beta 2	5	2561
hsa-miR-10b	GATA6		GATA binding protein 6	18	2627
hsa-miR-10b	DAZAP1	MGC19907	DAZ associated protein 1	19	26528
hsa-miR-10b	GOLGA3	GCP170|MEA-2	golgi autoantigen, golgin subfamily a, 3	12	2802
hsa-miR-10b	PRRT3	FLJ33674|MGC105134|MGC33990	proline-rich transmembrane protein 3	3	285368
hsa-miR-10b	GTF2H1	BTF2|TFB1|TFIIH	general transcription factor IIH, polypeptide 1, 62kDa	11	2965
hsa-miR-10b	H3F3B	H3.3B|H3F3A	H3 histone, family 3B (H3.3B)	17	3021
hsa-miR-10b	HIVEP2	HIV-EP2|MBP-2|MIBP1|SHN2|ZAS2	human immunodeficiency virus type I enhancer binding protein 2	6	3097
hsa-miR-10b	HNRNPK	CSBP|FLJ41122|HNRPK|TUNP	heterogeneous nuclear ribonucleoprotein K	9	3190
hsa-miR-10b	HOXA3	HOX1|HOX1E|MGC10155	homeobox A3	7	3200
hsa-miR-10b	HOXB3	HOX2|HOX2G|Hox-2.7	homeobox B3	17	3213
hsa-miR-10b	HOXD10	HOX4|HOX4D|HOX4E|Hox-4.4	homeobox D10	2	3236
hsa-miR-10b	ID4	IDB4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	6	3400
hsa-miR-10b	LTBP1	MGC163161	latent transforming growth factor beta binding protein 1	2	4052
hsa-miR-10b	LOC440093		histone H3-like	12	440093
hsa-miR-10b	NONO	NMT55|NRB54|P54|P54NRB	non-POU domain containing, octamer-binding	X	4841
hsa-miR-10b	RNF165		ring finger protein 165	18	494470
hsa-miR-10b	ANKFY1	ANKHZN|DKFZp686M19106|KIAA1255|ZFYVE14	ankyrin repeat and FYVE domain containing 1	17	51479
hsa-miR-10b	SIX4	AREC3|MGC119450|MGC119452|MGC119453	SIX homeobox 4	14	51804
hsa-miR-10b	SLC38A2	ATA2|KIAA1382|PRO1068|SAT2|SNAT2	solute carrier family 38, member 2	12	54407
hsa-miR-10b	XRN1	DKFZp434P0721|DKFZp686B22225|DKFZp686F19113|FLJ41903|SEP1	5-3 exoribonuclease 1	3	54464
hsa-miR-10b	PPARA	MGC2237|MGC2452|NR1C1|PPAR|hPPAR	peroxisome proliferator-activated receptor alpha	22	5465
hsa-miR-10b	FNBP1L	C1orf39|TOCA1	formin binding protein 1-like	1	54874
hsa-miR-10b	FIGN		fidgetin	2	55137
hsa-miR-10b	P15RS	FLJ10656|MGC19513	cyclin-dependent kinase 2B-inhibitor-related protein	18	55197
hsa-miR-10b	SVOP	DKFZp761H039	SV2 related protein homolog (rat)	12	55530
hsa-miR-10b	RP5-1022P6.2	FLJ11085|KIAA1434|MGC26147|PREI4	hypothetical protein KIAA1434	20	56261
hsa-miR-10b	KCTD16	DKFZp781A1155|KIAA1317|MGC138167	potassium channel tetramerisation domain containing 16	5	57528
hsa-miR-10b	RAP2A	K-REV|KREV|RAP2|RbBP-30	RAP2A, member of RAS oncogene family	13	5911
hsa-miR-10b	SMAP1	FLJ13159|FLJ42245|SMAP-1	stromal membrane-associated GTPase-activating protein 1	6	60682
hsa-miR-10b	SDC1	CD138|SDC|SYND1|syndecan	syndecan 1	2	6382
hsa-miR-10b	PAPD5	FLJ40270|TRF4-2	PAP associated domain containing 5	16	64282
hsa-miR-10b	SFRS10	DKFZp686F18120|Htra2-beta|SRFS10|TRA2-BETA|TRA2B|TRAN2B	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	3	6434
hsa-miR-10b	CSMD1	KIAA1890	CUB and Sushi multiple domains 1	8	64478
hsa-miR-10b	EBF2	COE2|EBF-2|FLJ11500|O/E-3|OE-3	early B-cell factor 2	8	64641
hsa-miR-10b	TMEM183B	C1orf37-DUP	transmembrane protein 183B	3	653659
hsa-miR-10b	SON	BASS1|C21orf50|DBP-5|FLJ21099|FLJ33914|KIAA1019|NREBP|SON3	SON DNA binding protein	21	6651
hsa-miR-10b	MAP3K7	TAK1|TGF1a	mitogen-activated protein kinase kinase kinase 7	6	6885
hsa-miR-10b	TBX5	HOS	T-box 5	12	6910
hsa-miR-10b	TFAP2C	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	20	7022
hsa-miR-10b	TIAM1	FLJ36302	T-cell lymphoma invasion and metastasis 1	21	7074
hsa-miR-10b	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	9	7111
hsa-miR-10b	NR2C2	TAK1|TR2R1|TR4|hTAK1	nuclear receptor subfamily 2, group C, member 2	3	7182
hsa-miR-10b	ARSJ	FLJ23548	arylsulfatase family, member J	4	79642
hsa-miR-10b	WDR26	CDW2|FLJ21016|MIP2	WD repeat domain 26	1	80232
hsa-miR-10b	KLF11	FKLF|FKLF1|MODY7|TIEG2|Tieg3	Kruppel-like factor 11	2	8462
hsa-miR-10b	SHANK3	KIAA1650|PROSAP2|PSAP2|SPANK-2	SH3 and multiple ankyrin repeat domains 3	22	85358
hsa-miR-10b	HS6ST2	MGC130022|MGC130023	heparan sulfate 6-O-sulfotransferase 2	X	90161
hsa-miR-10b	BAZ1B	WBSCR10|WBSCR9|WSTF	bromodomain adjacent to zinc finger domain, 1B	7	9031
hsa-miR-10b	PSCD1	B2-1|CYTOHESIN-1|D17S811E|FLJ34050|FLJ41900|SEC7	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	17	9267
hsa-miR-10b	TMEM183A	C1orf37	transmembrane protein 183A	1	92703
hsa-miR-10b	ONECUT2	MGC120377|MGC120378|OC-2|OC2	one cut homeobox 2	18	9480
hsa-miR-10b	FXR2	FMR1L2	fragile X mental retardation, autosomal homolog 2	17	9513
hsa-miR-10b	NCOR2	CTG26|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC-1|TRAC1	nuclear receptor co-repressor 2	12	9612
hsa-miR-10b|hsa-miR-18a|hsa-miR-195	ZNF367	CDC14B|FLJ33970|ZFF29	zinc finger protein 367	9	195828
hsa-miR-10b|hsa-miR-193b	CNOT6	CCR4|KIAA1194	CCR4-NOT transcription complex, subunit 6	5	57472
hsa-miR-10b|hsa-miR-195	SOBP	FLJ10159|JXC1	sine oculis binding protein homolog (Drosophila)	6	55084
hsa-miR-10b|hsa-miR-195	ODZ2	DKFZp686A1568|TEN-M2|TNM2	odz, odd Oz/ten-m homolog 2 (Drosophila)	5	57451
hsa-miR-10b|hsa-miR-195	BDNF	MGC34632	brain-derived neurotrophic factor	11	627
hsa-miR-10b|hsa-miR-195	ARHGAP12	DKFZp779N2050|FLJ10971|FLJ20737|FLJ21785|FLJ45709	Rho GTPase activating protein 12	10	94134
