Gene Symbol	Gene Name	Relative mRNA expression 0.05 microM AFB1 PHH 7	Relative mRNA expression 0.05 microM AFB1 PHH 8	Relative mRNA expression 0.05 microM AFB1 PHH 9	Relative mRNA expression 0.05 microM AFB1 PHH 10	Relative mRNA expression 0.25 microM AFB1 PHH 7	Relative mRNA expression 0.25 microM AFB1 PHH 8	Relative mRNA expression 0.25 microM AFB1 PHH 9	Relative mRNA expression 0.25 microM AFB1 PHH 10
BCAS3	breast carcinoma amplified sequence 3	0.37	0.48	0.63	0.49	0.15	0.21	0.28	0.22
ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1	0.97	0.98	1.08	0.86	1.07	0.91	1.41	0.95
FHIT	fragile histidine triad gene	0.19	0.39	0.35	0.36	0.05	0.14	0.11	0.14
GNMT	glycine N-methyltransferase	0.48	0.53	0.84	0.8	0.29	0.51	0.69	0.4
MAT1A	methionine adenosyltransferase I, alpha	1.06	0.91	0.98	0.81	1.55	0.89	0.95	0.62
NIBP	NIK and IKK{beta} binding protein	0.41	0.45	0.55	0.33	0.2	0.21	0.25	0.26
PIM2	pim-2 oncogene	1.68	1.11	1.14	0.76	4.23	1.71	2.14	1.23
PLK3	polo-like kinase 3 (Drosophila)	1.88	1.21	0.71	0.81	6.17	1.69	1.42	1.58
SMYD3	SET and MYND domain containing 3	0.34	0.42	0.61	0.42	0.12	0.23	0.23	0.2
TYMS	thymidylate synthetase	2.91	2.79	1.83	1.36	6.16	4.63	8.88	2.99
