Gene	Changes vs. day 0, fold
   Caveolin 1	-15.7
   COL6A1	-4
   COL6A3	-3.2
   COL18A1	-3.4
   Fibronectin receptor alpha subunit; CD49E antigen	-9.2
   Insulin-like growth factor binding protein 2	-12.4
   Insulin-like growth factor binding protein 6	-7.2
   Laminin gamma1 subunit precursor	-4.4
   Metalloproteinase/disintegrin/cysteine-rich protein	-4.7
   Ras-like protein TC10	-4
   Tissue inhibitor of metalloproteinase 4	-4.2
   Tumor necrosis factor receptor I	-14.9
   Tumor necrosis factor superfamily member 7	-42.8
   Zyxin 2	-8.3
