Curated Gene Symbol	Gene name	Symbol	UniGene	Chromosome location	Exp_75	Exp_76	Exp_92	Average ratio	Function
CIDEB	Cell death-inducing DFFA-like effector b	CIDEB	Hs.647549	14q11.2	0.206	0.358	0.187	0.25	Cell death and apoptosis
BAG2	BCL2-associated athanogene 2	BAG2	Hs.55220	6p12.3–p11.2	0.282	0.186	0.381	0.283	Cell death and apoptosis
PDCD5	Programmed cell death 5	PDCD5	Hs.443831	19q12–q13.1	0.116	0.289	0.449	0.285	Cell death and apoptosis
ATRAID	Chromosome 2 open reading frame 28	C2orf28	Hs.9527	2p23.3	0.28	0.423	0.274	0.325	Cell death and apoptosis
BAG5	BCL2-associated athanogene 5	BAG5	Hs.5443	14q32.32	0.248	0.252	0.458	0.352	Cell death and apoptosis
GULP1	GULP, engulfment adaptor PTB domain-containing 1	GULP1	Hs.470887	2q32.3–q33	2.608	2.149	2.018	2.258	Cell death and apoptosis
NOD1	Nucleotide-binding oligomerization domain containing 1	NOD1	Hs.405153	7p15–p14	3.536	2.345	2.975	2.952	Cell death and apoptosis
SCARB1	Scavenger receptor class B, member 1	SCARB1	Hs.520348	12q24.32	5.244	6.468	3.804	5.172	Cell death and apoptosis
NFKB1	Nuclear factor of ? light polypeptide gene enhancer in B cells 1	NFKB1	Hs.654408	4q24	8.153	5.791	3.424	5.789	Cell death and apoptosis
PARP4	Poly(ADP-ribose) polymerase family, member 4	PARP4	Hs.591227	13q11	7.024	6.948	4.991	6.321	Cell death and apoptosis
CARD14	Caspase recruitment domain family, member 14	CARD14	Hs.655729	17q25.1	6.739	6.621	5.955	6.438	Cell death and apoptosis
SON	SON DNA binding protein	SON	Hs.517262	21q22.1–q22.2	12.878	7.772	2.457	7.702	Cell death and apoptosis
AHR	Aryl hydrocarbon receptor	AHR	Hs.171189	7p15	11.381	13.804	3.161	9.449	Cell death and apoptosis
MSH6	MutS homolog 6 (Escherichia coli)	MSH6	Hs.445052	2p16	11.965	16.78	3.123	10.623	Cell death and apoptosis
PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	PDCD4	Hs.232543	10q24	12.314	18.54	2.662	11.172	Cell death and apoptosis
HTT	Huntingtin (Huntington disease)	HD	Hs.518450	4p16.3	12.295	18.559	4.781	11.879	Cell death and apoptosis
FANCC	Fanconi anemia, complementation group C	FANCC	Hs.494529	9q22.3	15.32	17.143	3.58	12.014	Cell death and apoptosis
ATM	Ataxia telangiectasia mutated	ATM	Hs.367437	11q22–q23	13.935	20.375	2.782	12.364	Cell death and apoptosis
SNCA	Synuclein, ? (non-A4 component of amyloid precursor)	SNCA	Hs.271771	4q21	19.79	16.952	4.773	13.838	Cell death and apoptosis
EP300	E1A binding protein p300	EP300	Hs.517517	22q13.2	13.677	25.993	2.043	13.904	Cell death and apoptosis
