probeset	interaction.pvalue	FDR	OR.T/FAC	OR.LCI.T/FAC	OR.UCI.T/FAC	OR.p.valT/FAC	OR.FAC	OR.LCI.FAC	OR.UCI.FAC	OR.p.valFAC	accNum	entrezID	geneSymbol	geneName	ChrLoc
203006_at	0.00193299	NA	60.40433417	1.212764222	3008.567963	0.039710919	6.80187E-08	2.72989E-13	0.016947709	0.009236181	NM_005539	3632	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	10:134201342
208199_s_at	0.003373364	NA	9.08244E-07	4.32963E-11	0.019052624	0.006142526	627.7803564	0.058392885	6749249.998	0.17375661	NM_003409	7541	ZFP161	zinc finger protein 161 homolog (mouse)	18:-5279378
220039_s_at	0.005107851	NA	2.647896227	0.150677832	46.53208998	0.505506239	7087412.922	336.5659406	1.49247E+11	0.001898711	NM_017774	54901	CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	6:20642666
222087_at	0.005454303	NA	0.002351731	6.67186E-06	0.828950459	0.043104967	208.3120472	0.858947305	50519.87331	0.056685536	AW451806				:
203181_x_at	0.006377446	NA	8.98658E-08	5.1398E-12	0.001571239	0.001132855	4.206388832	0.001276052	13865.97619	0.728142444	AW149364	6733	SRPK2	SFRS protein kinase 2	7:-104544059
207614_s_at	0.006903365	NA	0.178322748	0.000372412	85.38650747	0.583975088	51955469.4	154.9344093	1.74227E+13	0.006202313	NM_003592	8454	CUL1	cullin 1	7:148026865
209389_x_at	0.00724062	NA	20.43875392	2.113342646	197.6691581	0.009152018	0.112068547	0.005321484	2.360123416	0.159222175	M15887	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2:119841075; 2:119840973; 2:119841720
204548_at	0.007264448	NA	0.002477693	3.82707E-06	1.604089742	0.069230692	28214.41632	1.358187044	586114623.8	0.04334616	NM_000349	6770	STAR	steroidogenic acute regulatory protein	8:-38119374
202439_s_at	0.008163275	NA	0.011200925	0.00017091	0.734074181	0.035302848	1028.671824	0.65293478	1620630.043	0.064817348	NM_000202	3423	IDS	iduronate 2-sulfatase (Hunter syndrome)	X:-148368206; X:-148376568
210966_x_at	0.009602064	NA	0.010724182	4.00089E-05	2.874559766	0.111868523	3796.006967	1.422481348	10129952.78	0.0406041	BC001460	23367	LARP1	La ribonucleoprotein domain family, member 1	5:154115081; 5:154072654
219438_at	0.009727457	NA	8.1028E-07	1.03697E-10	0.006331442	0.002162838	1.472055165	0.002847456	761.0114266	0.903457025	NM_024522	79570	NKAIN1	Na+/K+ transporting ATPase interacting 1	1:-31425179
211965_at	0.009973749	NA	6.396516208	0.089797257	455.6421979	0.393865014	6.29931E-06	4.19571E-10	0.09457583	0.014660445	BE620915	677	ZFP36L1	zinc finger protein 36, C3H type-like 1	14:-68324127
206454_s_at	0.010200695	NA	4.17545E-06	2.97636E-10	0.058576173	0.011009079	454.7846873	0.013829573	14955567.51	0.248801194	AA058836	6010	RHO	rhodopsin (opsin 2, rod pigment) (retinitis pigmentosa 4, autosomal dominant)	3:130730171
214744_s_at	0.010637971	NA	61.12047588	0.7806723	4785.250574	0.064500411	1.26129E-06	3.28147E-12	0.484795751	0.038419109	AK021960	9349	RPL23	ribosomal protein L23	17:-34259847
218956_s_at	0.011296077	NA	0.0785933	0.001348517	4.580517231	0.22009088	1206.970399	2.325026088	626563.9563	0.026114576	NM_015545	26024	PTCD1	pentatricopeptide repeat domain 1	7:-98854689
206741_at	0.011452454	NA	0.6671511	0.003546356	125.5064609	0.879601213	9394094.681	83.1724687	1.06104E+12	0.006835455	NM_015931	51066	C3orf32	chromosome 3 open reading frame 32	3:-8636320
202428_x_at	0.012327264	NA	15.06143454	1.561613015	145.264421	0.019003703	0.166412048	0.011135882	2.486823227	0.193694468	NM_020548	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2:119841075; 2:119840973; 2:119841720
205673_s_at	0.012756755	NA	0.293271413	0.002786271	30.86853886	0.605622264	10811.73076	11.55901764	10112755.74	0.007785663	NM_024087	140462	ASB9	ankyrin repeat and SOCS box-containing 9	X:-15172031
219051_x_at	0.013159789	NA	0.346007571	0.044257246	2.705121781	0.311766288	8.24823E-07	3.6492E-11	0.018643369	0.006171775	NM_024042	79006	METRN	meteorin, glial cell differentiation regulator	16:705173
201561_s_at	0.013950656	NA	10.24375898	0.366603246	286.2347761	0.170876928	0.002478564	7.94771E-06	0.772962554	0.040570172	NM_014944	22883	CLSTN1	calsyntenin 1	1:-9711666
219071_x_at	0.014268063	NA	0.110055978	0.000255709	47.3675383	0.475730651	496138.1812	11.77045578	20912792115	0.015786972	NM_016458	51236	C8orf30A	chromosome 8 open reading frame 30A	8:145264659; 8:145408687
216191_s_at	0.014472929	NA	0.227667024	0.003113382	16.64822018	0.499183031	23864.46291	6.478366476	87909906.34	0.016129394	X72501	6964	TRD@	T cell receptor delta locus	:
213097_s_at	0.015142828	NA	0.006154598	1.82908E-06	20.70939426	0.219228613	98206.73554	2.356424299	4092880433	0.034181034	AI338837	27000	ZRF1	zuotin related factor 1	7:-102740157
