Accession	Affy Probeset	Gene Name	Gene Description	Score(d)	Fold Change	Score(d)	Fold Change	Av. Score
AF081260	1418070_at	Cdyl	chromodomain protein, Y chromosome-like	272.232	0.0548	247.865	0.0832	260.049
NM_010882	1415923_at	Ndn	necdin	258.571	0.0081	254.087	0.0102	256.329
AW743020	1435382_at	Ndn	necdin	230.525	0.0135	273.974	0.0122	252.249
NM_009866	1450757_at	Cdh11	cadherin 11	232.836	0.0055	252.719	0.0048	242.778
BB074430	1437853_x_at	Ndn	necdin	216.328	0.144	267.114	0.1065	241.721
AV228782	1434261_at	Sipa1l2	signal-induced proliferation-associated 1 like 2	243.072	0.0715	238.883	0.1002	240.978
BB259670	1437284_at	Fzd1	frizzled homolog 1 (Drosophila)	216.598	0.0997	261.622	0.0879	239.11
AW743020	1435383_x_at	Ndn	necdin	240.515	0.012	229.383	0.0141	234.949
BB125261	1448293_at	Ebf1	early B-cell factor 1	246.495	0.0688	219.975	0.0796	233.235
NM_007993	1460208_at	Fbn1	fibrillin 1	238.299	0.018	226.476	0.02	232.388
AV124445	1455792_x_at	Ndn	necdin	230.296	0.0151	232.708	0.0189	231.502
NM_011581	1422571_at	Thbs2	thrombospondin 2	233.293	0.0148	226.721	0.0124	230.007
