Accession Number	Gene Name	LPS (?g/ml)	Pearson Correlation Coefficient (r) Control (PBS)	1% H2O2	2% H2O2	3% H2O2	Function
NM_001797	cadherin 11, type 2, OB-cadherin (osteoblast) (CDH11)	5	0.7715	0.9635	0.9903	0.9993	Adhesion
NM_001512	glutathione S-transferase A4 (GSTA4)	1	0.614	0.8818	0.936	0.9669	Anti-Oxidant
NM_020998	macrophage-stimulating protein (MST1)	1	0.6693	0.9135	0.9589	0.9827	Anti-Oxidant
NM_005400	protein kinase C, epsilon (PRKCE)	5	0.6189	0.8847	0.9382	0.9684	Anti-Oxidant
NM_004624	vasoactive intestinal peptide receptor 1 (VIPR1)	5	0.7329	0.9462	0.9804	0.9953	Anti-Oxidant
NM_001915	cytochrome b-561 (CYB561)	5	0.7711	0.9633	0.9902	0.9992	Anti-Oxidant
NM_020993	B-cell CLL/lymphoma 7A (BCL7A)	1	0.8045	0.9765	0.9963	0.9999	Antibacterial Factors
NM_001735	sapiens complement component 5 (C5)	1	0.559	0.8478	0.91	0.9473	Antibacterial Factors
NM_000565	interleukin 6 receptor (IL6R)	1	0.685	0.922	0.9648	0.9865	Antibacterial Factors
NM_000435	notch homolog 3 (Drosophila) (NOTCH3),	1	0.7489	0.9536	0.9848	0.9973	Apoptosis
NM_001618	poly (ADP-ribose) polymerase family, member 1 (PARP1),	1	0.6838	0.9214	0.9643	0.9862	Apoptosis
NM_021136	reticulon 1 (RTN1)	1	0.6122	0.8807	0.9352	0.9663	Apoptosis
NM_000041	apolipoprotein E (APOE)	5	0.7164	0.9381	0.9754	0.9927	Apoptosis
NM_001964	early growth response 1 (EGR1)	5	0.7975	0.9739	0.9952	1	Apoptosis
NM_000027	aspartylglucosaminidase (AGA)	1	0.5997	0.8732	0.9295	0.9621	Brain Function
NM_000441	solute carrier family 26, member 4 (SLC26A4)	5	0.7566	0.9571	0.9868	0.9981	Brain Function
NM_004283	RAB3D, member RAS oncogene family (RAB3D)	5	0.8235	0.983	0.9986	0.9988	Brain Function
NM_003045	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 (SLC7A1)	5	0.6901	0.9247	0.9666	0.9876	Brain Function
NM_016730	folate receptor 1 (adult) (FOLR1)	1	0.6441	0.8994	0.9489	0.976	Cancer Marker
NM_005635	synovial sarcoma, X breakpoint 1 (SSX1)	1	0.7612	0.9591	0.9879	0.9985	Cancer Marker
NM_005982	SIX homeobox 1 (SIX1)	5	0.6397	0.8969	0.9471	0.9748	Cell Cycle Regulation
NM_005994	T-box 2 (TBX2)	5	0.6035	0.8755	0.9312	0.9634	Cell Cycle Regulation
NM_001621	aryl hydrocarbon receptor (AHR)	1	0.6673	0.9124	0.9582	0.9822	Cytoskeletal Constitution and Rearrangement
NM_000269	non-metastatic cells 1, protein (NM23A) expressed in (NME1)	1	0.5921	0.8685	0.926	0.9595	Cytoskeletal Constitution and Rearrangement
NM_003289	tropomyosin 2 (beta) (TPM2)	1	0.703	0.9314	0.971	0.9903	Cytoskeletal Constitution and Rearrangement
NM_015873	villin-like (VILL)	1	0.531	0.8296	0.8956	0.9361	Cytoskeletal Constitution and Rearrangement
NM_003023	SH3-domain binding protein 2 (SH3BP2)	5	0.7448	0.9517	0.9837	0.9969	Cytoskeletal Constitution and Rearrangement
NM_007038	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2) (ADAMTS5)	1	0.607	0.8776	0.9328	0.9646	Extra Cellular Matrix-Degrading Proteases
NM_018127	elaC homolog 2 (E. coli) (ELAC2)	1	0.6819	0.9203	0.9636	0.9858	Growth Factor and Related Protein Factors
NM_003506	frizzled homolog 6 (Drosophila) (FZD6),	1	0.7105	0.9352	0.9735	0.9917	Growth Factor and Related Protein Factors
NM_018344	solute carrier family 29 (nucleoside transporters), member 3 (SLC29A3)	1	0.6177	0.884	0.9376	0.968	Growth Factor and Related Protein Factors
NM_021724	nuclear receptor subfamily 1, group D, member 1 (NR1D1)	1	0.6802	0.9194	0.963	0.9854	Growth Factor and Related Protein Factors
NM_001012	ribosomal protein S8 (RPS8)	1	0.6111	0.8801	0.9347	0.9659	Growth Factor and Related Protein Factors
