Functional classification	Gene name	Gene symbol	Fold change APB	Fold change PPB
Muscle function and development	Titin	TTN	1.16	-4.77
Striated muscle development	Myosin binding protein C, slow type	MYBPC1	-1.02	-1.46
Diabetes and obesity	Fat mass and obesity associated	FTO	-1.07	-1.39
Electron transport	Monoamine oxidase B	MAOB	-2.61	1.05
Glycolysis	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	1.06	2.01
Leucine catabolism	Methylcrotonyl-Coenzyme A carboxylase 2 (beta)	MCCC2	1.91	1.11
Transcription regulation	Zinc finger, MYND-type containing 8	ZMYND8	-1.07	-1.69
Transcription regulation	SNF8, ESCRT-II complex subunit	SNF8	-1.34	-1.02
Cell surface receptor-linked Signal transduction	Leukemia inhibitory factor receptor alpha	LIFR	1.05	-2.20
Intracellular signaling cascade	Janus kinase 1 (a protein tyrosine kinase)	JAK1	-1.12	-2.17
Signal transduction	A kinase (PRKA) anchor protein 8	AKAP8	-1.04	-1.35
Signal transduction	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1	-1.05	-1.52
Signal transduction	Fasciculation and elongation protein zeta 2 (zygin II)	FEZ2	-1.52	-1.68
Apoptosis	Thioredoxin-like 1	TXNL1	1.04	1.29
Calcium transport	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	1.01	-1.55
Cell adhesion	Collagen, type I alpha 2	COL1A2	-1.26	-2.68
Lipid transport	Glycolipid transfer protein domain containing 1	GLTP	-1.01	2.30
Mitotic chromosome condensation	Cytoplasmic linker associated protein 2	CLASP2	-1.14	-2.23
Peptidase	Signal peptide peptidase 3	UNQ1887	-1.59	1.05
Protein complex assembly	Solute carrier family 9 (Na/H exchanger) member 3 regulator 1	SLC9A3R1	-1	1.21
Unknown	Growth hormone regulated TBC protein 1	GRTP1	1.04	1.37
Visual perception	Crystallin, zeta	CRYZ	-1.06	-1.38
