Category	Gene ID	Score(d)	Fold change	Category 2
Sample 1	hsa-miR-199b-5p	14.66841	2.847	Up-regulation
Sample 1	hsa-miR-20a	5.476649	2.4356	Up-regulation
Sample 1	hsa-miR-106a	5.384724	2.3923	Up-regulation
Sample 1	hsa-miR-17	4.538275	2.2785	Up-regulation
Sample 1	hsa-miR-20b	4.327011	2.0471	Up-regulation
Sample 1	hsa-miR-138	3.611771	2.0381	Up-regulation
Sample 1	hsa-miR-107	3.034787	2.1158	Up-regulation
Sample 2	mmu-miR-106a	13.18835	3.059	Up-regulation
Sample 2	hsa-miR-15a	10.08318	2.1888	Up-regulation
Sample 2	hsa-miR-138	8.46992	2.2027	Up-regulation
Sample 2	hsa-miR-20b	8.325785	2.5555	Up-regulation
Sample 2	hsa-miR-20a	7.298364	3.3895	Up-regulation
Sample 2	hsa-miR-93	6.865872	4.4324	Up-regulation
Sample 2	hsa-miR-199b-5p	6.628222	2.1133	Up-regulation
Sample 2	hsa-miR-92a	6.26314	2.0921	Up-regulation
Sample 2	hsa-miR-106a	5.813082	3.1155	Up-regulation
Sample 2	mmu-miR-546	5.263613	2.9443	Up-regulation
Sample 2	PREDICTED_MIR166	5.249149	2.1178	Up-regulation
Sample 2	hsa-miR-17	4.811736	2.7226	Up-regulation
Sample 2	rno-miR-20b-5p	4.798053	11.0616	Up-regulation
Sample 2	hsa-miR-30a	4.477245	2.1772	Up-regulation
Sample 2	hsa-miR-130a	4.241389	2.0474	Up-regulation
Sample 3	hsa-miR-106a	2.531949	2.3253	Up-regulation
Sample 3	hsa-miR-138	1.949702	4.2391	Up-regulation
Sample 3	hsa-miR-17	2.320967	2.2805	Up-regulation
Sample 3	hsa-miR-199b-5p	6.011284	2.0171	Up-regulation
Sample 3	hsa-miR-20a	2.472256	2.3764	Up-regulation
Sample 3	hsa-miR-20b	3.20187	2.2787	Up-regulation
Sample 3	mmu-miR-106a	2.703705	2.4412	Up-regulation
Sample 1	hsa-miR-125b	-10.9604	0.3921	Down-regulation
Sample 1	hsa-miR-125a-5p	-10.6097	0.4016	Down-regulation
Sample 1	hsa-miR-193a-3p	-10.0659	0.4319	Down-regulation
Sample 1	hsa-miR-424	-7.68563	0.4195	Down-regulation
Sample 1	hsa-miR-31	-7.52939	0.3545	Down-regulation
Sample 1	hsa-miR-631	-6.60078	0.4573	Down-regulation
Sample 1	mmu-miR-322	-6.27354	0.3898	Down-regulation
Sample 1	hsa-miR-584	-5.23686	0.3579	Down-regulation
Sample 1	PREDICTED_MIR229	-4.75901	0.3492	Down-regulation
Sample 2	PREDICTED_MIR191	-18.433	0.441	Down-regulation
Sample 2	hsa-miR-940	-18.2741	0.4123	Down-regulation
Sample 2	PREDICTED_MIR105	-18.0155	0.2928	Down-regulation
Sample 2	hsa-miR-125b	-16.649	0.2918	Down-regulation
Sample 2	hsa-miR-125a-5p	-13.9244	0.1916	Down-regulation
Sample 2	hsa-miR-612	-9.909	0.4216	Down-regulation
Sample 2	hsa-miR-874	-9.86456	0.3183	Down-regulation
Sample 2	hsa-miR-100	-9.53034	0.3942	Down-regulation
Sample 2	mmu-miR-685	-8.81351	0.4723	Down-regulation
Sample 2	hsa-miR-133a	-8.22326	0.3772	Down-regulation
Sample 2	PREDICTED_MIR229	-7.62151	0.4294	Down-regulation
Sample 2	hsa-miR-423-5p	-6.75693	0.3169	Down-regulation
Sample 2	rno-miR-290	-6.44703	0.2888	Down-regulation
Sample 2	hsa-miR-146a	-5.9349	0.2507	Down-regulation
Sample 2	hsa-miR-365	-5.65964	0.4833	Down-regulation
Sample 2	hsa-miR-584	-5.43339	0.2138	Down-regulation
Sample 2	hsa-miR-744	-5.05181	0.4728	Down-regulation
Sample 2	hsa-miR-31	-4.76801	0.46	Down-regulation
Sample 2	hsa-miR-371-5p	-4.46579	0.2921	Down-regulation
Sample 2	PREDICTED_MIR88	-4.12439	0.4731	Down-regulation
Sample 2	mmu-miR-290-5p	-3.67487	0.2849	Down-regulation
Sample 2	hsa-miR-193a-3p	-2.72621	0.4636	Down-regulation
Sample 3	hsa-miR-125a-5p	-3.29602	0.4135	Down-regulation
Sample 3	hsa-miR-125b	-3.31976	0.4906	Down-regulation
Sample 3	hsa-miR-193a-3p	-2.00258	0.4208	Down-regulation
Sample 3	hsa-miR-199b-5p	-3.27012	0.4929	Down-regulation
Sample 3	hsa-miR-31	-2.83913	0.4742	Down-regulation
Sample 3	PREDICTED_MIR229	-3.96217	0.4242	Down-regulation
