Gene Symbol	Rank	Gene Name	P-Value	Q-Value
NADSYN1	1	3338968_NADSYN1	5.34531E-07	0.002
TP53I3	2	2544201_TP53I3	5.34531E-07	0.002
SFPQ	3	2406064_SFPQ	5.34531E-07	0.002
MCM7	4	3063685_MCM7	1.06906E-06	0.002
SEH1L	5	3779756_SEH1L	1.06906E-06	0.002
PAPLN	6	3543539_PAPLN	1.06906E-06	0.002
TM7SF3	7	3448481_TM7SF3	1.06906E-06	0.002
DCP1B	8	3440192_DCP1B	1.06906E-06	0.002
UNG	9	3430926_UNG	1.06906E-06	0.002
CDC45L	10	3936913_CDC45L	1.06906E-06	0.002
GLS2	11	3457891_GLS2	1.60359E-06	0.002727273
UHRF1	12	3817698_UHRF1	2.67265E-06	0.002903226
SYNCRIP	13	2963407_SYNCRIP	2.67265E-06	0.002903226
HIST1H2BM	14	2900059_HIST1H2BM	2.67265E-06	0.002903226
C11orf24	15	3379452_C11orf24	2.67265E-06	0.002903226
HNRNPAB	16	2843619_HNRNPAB	2.67265E-06	0.002903226
HIST2H2AB	17	2434129_HIST2H2AB	2.67265E-06	0.002903226
GNL3	18	2624074_GNL3	3.20718E-06	0.002903226
DNASE1	19	3646000_DNASE1	3.20718E-06	0.002903226
MAP3K12	20	3456212_MAP3K12	3.74172E-06	0.002903226
CDKN1A	21	2905169_CDKN1A	4.27625E-06	0.002903226
GDF15	22	3824993_GDF15	4.27625E-06	0.002903226
FBXO22	23	3602526_FBXO22	4.27625E-06	0.002903226
PDCD1LG2	24	3161113_PDCD1LG2	4.27625E-06	0.002903226
SFRS10	25	2709062_SFRS10	4.27625E-06	0.002903226
HNRPDL	26	2775562_HNRPDL	4.27625E-06	0.002903226
NASP	27	2334404_NASP	4.81078E-06	0.002903226
ASAH3L	28	3164312_ASAH3L	4.81078E-06	0.002903226
TRIP13	29	2798915_TRIP13	4.81078E-06	0.002903226
MCM3	30	2957126_MCM3	4.81078E-06	0.002903226
