Category	Gene
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	MpV17deltaTRansgene, murine homolog, glomerulosclerosis
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	Insulin-like growth factor binding protein 1
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	NADH dehydrogenase (ubiquinone) Fe-S protein 1 (75kD)
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	Tat interactive protein (60kD)
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	FK506-binding protein 8 (38kD)
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	Synuclein, alpha (non A4 component of amyloid precursor)
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	RAB4, member RAS oncogene family
S2-013.MUC1F/S2-013.MUC1F(deltaTR) > 2.0	Copine I
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	MdeltaTRix metalloproteinase 7 (mdeltaTRilysin, uterine)
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Myelin basic protein
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Leukemia inhibitory factor (cholinergic differentiation factor)
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	deltaTRansmembrane 4 superfamily member 4
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Sodium channel, nonvoltage-gated 1 alpha
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Indoleamine-pyrrole 2,3 dioxygenase
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Protease, cysteine, 1 (legumain)
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	ESTs, Weakly similar to TUMOR-ASSOCIATED ANTIGEN L6
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Solute carrier family 14 (ureadeltaTRansporter), member 1 (Kidd blood group)
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Integrin, beta 5
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Lysophospholipase-like
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	ESTs, Weakly similar to ORF YGR101w [S. cerevisiae]
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Prostaglandin D2 synthase (21kD, brain)
S2-013.MUC1F(deltaTR)/S2-013.MUC1F > 2.0	Fatty-acid-Coenzyme A ligase, long-chain 3
