MicroRNA name	Median values Oncotcytoma	Median values Chromophobe	Median values  Conventional	Median values Papillary	(Conventional + papillary) versus (oncocytoma + chromophobe)   P value	(Conventional + papillary) versus (oncocytoma + chromophobe)   Fold	(Conventional + papillary) versus (oncocytoma + chromophobe)   AUC	Chromophobe versus oncotcytoma  P value	Chromophobe versus oncotcytoma  Fold	Chromophobe versus oncotcytoma  AUC	Papillary versus conventional  P value	Papillary versus conventional  Fold	Papillary versus conventional  AUC
hsa-mir-141	50	5800	50	72	1.30E-03	14.38	0.67	8.00E-06	116.81	0.88	2.50E-01	1.45	0.64
hsa-mir-200c	50	6500	50	130	2.70E-03	11.84	0.68	3.50E-05	129.68	0.88	1.30E-01	2.61	0.66
hsa-mir-373	72	730	84	79	2.70E-03	2.64	0.67	1.00E-06	10.23	0.92	5.60E-01	1.06	0.54
hsa-mir-637	350	2700	200	350	1.00E-03	2.25	0.71	2.70E-06	7.56	0.92	1.70E-01	1.76	0.65
hsa-mir-371	420	1600	220	300	5.20E-04	2.26	0.75	1.40E-05	3.73	0.91	1.40E-01	1.36	0.66
hsa-mir-557	390	1100	150	210	6.30E-06	3.66	0.79	3.20E-03	2.72	0.79	3.00E-01	1.39	0.61
hsa-mir-193b	3900	1800	1200	670	2.60E-05	3.2	0.8	6.80E-02	2.2	0.68	3.00E-01	1.74	0.6
hsa-mir-365	2700	890	830	500	2.60E-04	2.49	0.78	9.20E-04	3.08	0.81	2.60E-02	1.67	0.7
hsa-mir-126	21000	14000	29000	4200	4.90E-03	1.68	0.66	3.30E-03	1.57	0.81	5.00E-09	6.81	0.95
hsa-mir-139	790	100	120	50	2.70E-04	6.81	0.76	8.60E-05	7.75	0.87	1.60E-01	2.38	0.73
hsa-mir-222	52000	73000	5200	7500	4.10E-15	8.24	0.92	3.80E-03	1.42	0.74	6.30E-02	1.45	0.74
hsa-mir-221	58000	81000	4000	8000	4.40E-17	10.95	0.93	1.90E-02	1.39	0.74	1.10E-02	2	0.81
hsa-mir-221	800	630	50	50	1.10E-17	14.39	0.94	1.30E-01	1.27	0.69	1.10E-01	1	0.6
hsa-mir-10a	37000	24000	6100	14000	9.00E-07	4.16	0.86	9.20E-02	1.53	0.73	5.70E-03	2.24	0.84
hsa-mir-30b	45000	59000	13000	19000	5.10E-11	2.69	0.9	2.80E-01	1.32	0.63	5.20E-03	1.5	0.76
hsa-mir-182	1400	1500	50	580	1.10E-06	5.8	0.81	8.10E-01	1.03	0.55	5.00E-04	11.66	0.81
hsa-mir-187	400	720	50	50	4.30E-06	9.13	0.81	4.90E-02	1.82	0.68	9.50E-01	1	0.51
hsa-mir-551b	1100	50	50	1300	2.80E-01	5.31	0.56	1.10E-02	21.1	0.75	2.10E-06	25.16	0.86
hsa-mir-138	50	50	70	790	3.90E-04	8.42	0.75	4.80E-01	1	0.6	1.70E-04	11.27	0.83
hsa-mir-31	50	330	250	14000	2.50E-06	29.31	0.81	1.50E-02	6.63	0.73	2.50E-06	56.37	0.89
hsa-mir-196b	430	210	370	1100	9.10E-02	1.53	0.63	4.10E-01	2.05	0.58	7.00E-02	2.81	0.72
hsa-mir-200a	1600	5500	3200	11000	3.50E-02	1.74	0.66	1.20E-02	3.38	0.82	8.00E-04	3.44	0.9
hsa-mir-200b	2000	8200	2800	15000	9.50E-02	1.85	0.63	2.20E-03	4.13	0.81	3.30E-05	5.17	0.91
hsa-mir-192	50	220	5200	1600	4.60E-08	21.24	0.84	5.40E-01	4.44	0.61	6.50E-02	3.28	0.74
hsa-mir-194	58	160	4200	2300	1.20E-07	20.63	0.83	4.20E-01	2.69	0.62	2.10E-01	1.87	0.69
hsa-mir-455	120	98	1500	1200	1.80E-13	11.42	0.92	2.30E-01	1.27	0.58	2.00E-01	1.27	0.63
hsa-mir-146a	350	310	1400	1900	3.40E-12	4.98	0.92	7.00E-01	1.13	0.55	2.80E-01	1.38	0.64
hsa-mir-204	50	50	1700	2700	5.10E-10	48.33	0.87	9.90E-01	1	0.53	4.90E-02	1.59	0.71
hsa-mir-210	280	370	11000	3300	1.20E-10	15.79	0.89	9.20E-01	1.32	0.52	8.40E-03	3.38	0.89
hsa-mir-21	20000	21000	110000	180000	2.70E-10	7.79	0.88	4.40E-01	1.06	0.56	1.20E-01	1.56	0.68
hsa-mir-21	50	66	800	2000	1.40E-12	28.66	0.91	4.30E-01	1.32	0.63	6.90E-02	2.45	0.78
hsa-mir-146b	77	160	1700	1200	6.50E-12	10.4	0.9	5.00E-01	2.01	0.55	3.70E-01	1.38	0.58
hsa-mir-155	77	83	1300	600	9.20E-09	9.65	0.85	9.50E-01	1.08	0.5	5.40E-02	2.23	0.72
