Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.19409.1.S1_at	0.011575803	COL4A2	collagen, type IV, alpha 2
Gga.256.1.S2_at	0.187614679	TPD52L1	Tumor protein D52-like 1
Gga.3402.1.S2_at	0.224765582	OLFM1	olfactomedin 1
Gga.3219.1.S1_at	0.230029661	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
GgaAffx.25896.1.S1_at	0.243559349	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3
Gga.9276.2.S1_s_at	0.262420837	LOC772074	Hypothetical protein LOC772074
Gga.2533.1.S1_s_at	0.280720038	GSTA1	glutathione S-transferase A1
Gga.2551.2.S1_s_at	0.287133072	LTF	lactotransferrin
Gga.15354.1.S1_at	0.323745764	UGCG	UDP-glucose ceramide glucosyltransferase
GgaAffx.24937.1.S1_s_at	0.372372372	MCPH1	microcephaly, primary autosomal recessive 1
Gga.12965.1.S1_s_at	0.372755807	C21orf45	chromosome 21 open reading frame 45
Gga.2551.2.S1_a_at	0.384975451	LTF	lactotransferrin
GgaAffx.21046.1.S1_at	0.396576055	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
Gga.5890.1.S1_at	0.402557545	WDR77	WD repeat domain 77
Gga.3743.1.S1_at	0.410174315	TRIP13	thyroid hormone receptor interactor 13
Gga.12177.2.S1_a_at	0.412580318	IWS1	IWS1 homolog (S. cerevisiae)
Gga.805.1.S1_at	0.443612654	EPHA3	EPH receptor A3
Gga.10898.1.S1_s_at	0.457090126	MTIF2	mitochondrial translational initiation factor 2
GgaAffx.5621.1.S1_at	0.46285492	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)
Gga.7672.3.S1_s_at	0.470528661	RCJMB04_2j4	SAPS domain family, member 3
GgaAffx.12087.1.S1_s_at	0.472039196	CENPL	centromere protein L
GgaAffx.12469.1.S1_at	0.478577044	RCJMB04_16d24	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
Gga.15741.1.S1_at	0.480960466	GAS2	growth arrest-specific 2
Gga.5246.2.S1_a_at	0.48126266	---	---
GgaAffx.24520.2.S1_s_at	0.487195903	SFRS12	splicing factor, arginine/serine-rich 12
GgaAffx.7711.1.S1_at	0.49112628	KIF18A	kinesin family member 18A
