Probe Set ID	Unigene(Avadis)	Gene Title	Gene Symbol	Fold change	p-value
240287_at	Hs.160789	similar to immune-responsive gene 1	LOC341720	198.8634	0.007139718
205207_at	Hs.512234	interleukin 6 (interferon, beta 2)	IL6	135.70616	0.003929756
208173_at	Hs.93177	interferon, beta 1, fibroblast	IFNB1	132.38754	0.007416943
1554997_a_at	Hs.196384	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	PTGS2	131.57361	0.010937545
210163_at	Hs.518814	chemokine (C-X-C motif) ligand 11	CXCL11	98.58559	0.005970059
206157_at	Hs.546280	pentaxin-related gene, rapidly induced by IL-1 beta	PTX3	94.179306	0.01369786
217502_at	Hs.437609	interferon-induced protein with tetratricopeptide repeats 2	IFIT2	68.12015	0.004104682
204614_at	Hs.514913	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	SERPINB2	62.903423	0.039082047
205476_at	Hs.75498	chemokine (C-C motif) ligand 20	CCL20	53.276676	0.024483705
227099_s_at	Hs.530443	hypothetical LOC387763	LOC387763	46.791355	0.021245
209774_x_at	Hs.75765	chemokine (C-X-C motif) ligand 2	CXCL2	43.400738	0.002417526
207850_at	Hs.89690	chemokine (C-X-C motif) ligand 3	CXCL3	43.100185	0.002156699
1552496_a_at	Hs.99141	cordon-bleu homolog (mouse)	COBL	40.71295	0.004577816
201668_x_at	Hs.519909	myristoylated alanine-rich protein kinase C substrate	MARCKS	37.397507	0.01651277
204533_at	Hs.413924	chemokine (C-X-C motif) ligand 10	CXCL10	34.7982	0.009603373
235737_at	Hs.389874	thymic stromal lymphopoietin	TSLP	32.55277	0.015026021
207113_s_at	Hs.241570	tumor necrosis factor (TNF superfamily, member 2)	TNF	26.711922	0.03055299
210797_s_at	Hs.118633	2-5-oligoadenylate synthetase-like	OASL	26.255037	0.004652737
220054_at	Hs.98309	interleukin 23, alpha subunit p19	IL23A	24.989655	0.024285454
242271_at	Hs.164073	solute carrier family 26, member 9	SLC26A9	23.662825	0.01342174
205067_at	Hs.126256	interleukin 1, beta	IL1B	20.24797	0.011633464
229316_at	Hs.369785	hypothetical protein MGC2749	MGC2749	18.884766	0.007974785
203153_at	Hs.20315	interferon-induced protein with tetratricopeptide repeats 1 /// interferon-induced protein with tetratricopeptide repeats 1	IFIT1	18.756468	0.002300295
205818_at	Hs.532316	deleted in bladder cancer 1	DBC1	18.00017	0.01549686
