Gene symbol	Name	Fold change	Score
PLAC9	Placenta-specific 9	1.5	2.79E-13
DLC1	Deleted in liver cancer 1	1.4	5.54E-13
NPAS1	Neuronal PAS domain protein 1	1.4	2.91E-12
BCYRN1	Brain cytoplasmic RNA 1 (nonprotein coding)	1.4	3.51E-12
FAM129A	Family with sequence similarity 129, member A	1.4	7.43E-12
TXNIP	Thioredoxin interacting protein	1.4	1.12E-11
PSAT1	Phosphoserine aminotransferase 1	1.4	2.20E-11
HEY2	Hairy/enhancer-of-split related with YRPW motif 2	1.4	3.45E-11
ABI3BP	ABI family, member 3 (NESH) binding protein	1.3	1.02E-10
KCTD12	Potassium channel tetramerization domain 12	1.2	1.34E-10
SUSD2	Sushi domain containing 2	1.4	2.20E-10
CCDC80	Coiled-coil domain containing 80	1	2.54E-10
SDF2L1	Stromal cell-derived factor 2-like 1	1.3	2.59E-10
OSBPL1A	Oxysterol binding protein-like 1A	1.3	3.01E-10
FCRLB	Fc receptor-like B	1.3	3.85E-10
TDP1	Tyrosyl-DNA phosphodiesterase 1	1.3	4.17E-10
FBLN2	fibulin 2	1.3	6.53E-10
FICD	FIC domain containing	1.3	6.76E-10
RBM39	RNA binding motif protein 39	1.3	7.40E-10
NQO1	NAD(P)H dehydrogenase, quinone 1	1.2	1.12E-09
