Probe ID	Gene Symbol	Description	Fold Change	p-value
204956_at	MTAP	methylthioadenosine phosphorylase	-21.45	0.000313
213591_at	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	-17.96	0.03159
220751_s_at	C5orf4	chromosome 5 open reading frame 4	-9.63	0.048167
205141_at	ANG	angiogenin, ribonuclease, RNase A family, 5	-8.29	0.017799
211776_s_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	-6.19	0.001039
216685_s_at	MTAP	methylthioadenosine phosphorylase	-4.45	0.0162
212413_at	SEPT6	septin 6	-3.52	0.03155
212414_s_at	SEPT6	septin 6	-3.28	0.01448
205355_at	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain	-2.55	0.012808
200982_s_at	ANXA6	annexin A6	-2.55	0.02244
214194_at	DIS3	DIS3 mitotic control homolog (S. cerevisiae)	-2.22	0.032932
218285_s_at	BDH2	3-hydroxybutyrate dehydrogenase, type 2	-2.18	0.025738
218032_at	SNN	stannin	-1.84	0.040979
209267_s_at	SLC39A8	solute carrier family 39 (zinc transporter), member 8	-1.81	0.046411
218297_at	C10orf97	chromosome 10 open reading frame 97	-1.76	0.008879
221772_s_at	PPP2R2D	protein phosphatase 2, regulatory subunit B, delta isoform	-1.64	0.023009
209317_at	POLR1C	polymerase (RNA) I polypeptide C, 30kDa	1.85	0.013822
202528_at	GALE	UDP-galactose-4-epimerase	1.9	0.038323
209433_s_at	PPAT	phosphoribosyl pyrophosphate amidotransferase	2.11	0.038043
213256_at	MARCH3	membrane-associated ring finger (C3HC4) 3	2.32	0.016431
202533_s_at	DHFR	dihydrofolate reductase	2.44	0.04377
215321_at	RUNDC3B	RUN domain containing 3B	2.49	0.031176
204747_at	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	2.73	0.002046
204315_s_at	GTSE1	G-2 and S-phase expressed 1	2.76	0.030091
211791_s_at	KCNAB2	K voltage-gated channel, shaker-related subfamily, ?2	3.03	0.009423
209383_at	DDIT3	DNA-damage-inducible transcript 3	4.09	0.0085
205588_s_at	FGFR1OP	FGFR1 oncogene partner	4.88	0.001522
