Curated Gene Symbol	Gene with decreased expression	logFC	Adjusted P
ADD1	ADD1	?.37	0.03
ARAP1	ARAP1	?.30	0.03
THEMIS2	C1orf38	?.97	0.05
CTNND1	CTNND1	?.36	0.02
EDEM2	EDEM2	?.37	0.05
EHBP1L1	EHBP1L1	?.44	0.05
FLII	FLII	?.47	0
FLNA	FLNA	?.63	0.03
GALNT10	GALNT10	?.48	0.02
GSDMD	GSDMD	?.30	0.02
VPS37A	HCRP1	?.41	0.04
IDUA	IDUA	?.33	0.04
INPP1	INPP1	?.52	0.03
ITGAL	ITGAL	?.66	0.02
MACF1	MACF1	?.64	0.02
MVP	MVP	?.59	0.03
MYH9	MYH9	?.50	0.02
NOTCH2NL	NOTCH2NL	?.68	0.04
NPDC1	NPDC1	?.47	0.02
NRBP1	NRBP1	?.44	0
PARP12	PARP12	?.65	0.05
PIP5K1C	PIP5K1C	?.41	0.03
PLEKHO2	PLEKHO2	?.54	0.02
PPAP2B	PPAP2B	?.82	0.03
PSEN2	PSEN2	?.55	0.02
PSTPIP1	PSTPIP1	?.53	0.05
SELPLG	SELPLG	?.72	0.04
SHC1	SHC1	?.37	0.02
SLC25A44	SLC25A44	?.32	0.02
SNTB2	SNTB2	?.44	0.04
ST3GAL1	ST3GAL1	?.25	0.04
TGOLN2	TGOLN2	?.42	0.04
TNFRSF1A	TNFRSF1A	?.51	0.03
FAS	TNFRSF6	?.89	0.04
TRADD	TRADD	?.31	0.04
TRPV2	TRPV2	?.49	0.02
SUN2	UNC84B	?.36	0.05
UPP1	UPP1	?.63	0.02
ZDHHC18	ZDHHC18	?.30	0.04
ZZEF1	ZZEF1	?.32	0.02
