Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P422751	Clca3	chloride channel calcium activated 3	-8.566342028	-6.866571429	0.801575679	60.06006	0.031841991
AGI_MM_OLIGO_A_51_P453909	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	-10.21341668	-5.346	0.523429149	44.32624	0.031841991
AGI_MM_OLIGO_A_51_P168894	Tmem16a	transmembrane protein 16A	-15.46225242	-5.192285714	0.335803968	36.61662	0.031841991
AGI_MM_OLIGO_A_51_P231103	Defb1	defensin beta 1	-8.342792175	-4.550571429	0.545449453	26.43405	0.031841991
AGI_MM_OLIGO_A_51_P494125	Akp2	alkaline phosphatase 2, liver	-13.12432589	-4.825714286	0.367692354	25.9538	0.031841991
AGI_MM_OLIGO_A_51_P426270	Mgp	matrix Gla protein	-5.409207254	-3.76	0.695111099	21.2766	0.031841991
AGI_MM_OLIGO_A_51_P499698	2300003P22Rik	RIKEN cDNA 2300003P22 gene	-13.66456283	-4.303714286	0.314954407	21.07926	0.031841991
AGI_MM_OLIGO_A_51_P241740	Pyy	peptide YY	-14.86126488	-4.382285714	0.294879726	20.24701	0.031841991
AGI_MM_OLIGO_A_51_P418029	Mum1l1	melanoma associated antigen (mutated) 1-like 1	-8.607901093	-4.306285714	0.500271282	18.75469	0.031841991
AGI_MM_OLIGO_A_51_P113585	Oit1	oncoprotein induced transcript 1	-8.992684298	-3.850571429	0.428189326	16.39344	0.031841991
AGI_MM_OLIGO_A_51_P371867	3830417A13Rik	RIKEN cDNA 3830417A13 gene	-7.098380214	-4.762857143	0.670978026	16.34788	0.031841991
AGI_MM_OLIGO_A_51_P501299	Rhox2	reproductive homeobox 2	-7.415345812	-4.036571429	0.544353767	16.31055	0.031841991
AGI_MM_OLIGO_A_51_P290826	Calca	calcitonin/calcitonin-related polypeptide, alpha	-2.822155713	-2.641142857	0.935860075	16.18385	0.054950542
AGI_MM_OLIGO_A_51_P362176	Fgg	fibrinogen, gamma polypeptide	-5.355088995	-3.862	0.721183159	15.03986	0.031841991
AGI_MM_OLIGO_A_51_P246345	Myl7	myosin, light polypeptide 7, regulatory	-11.62082389	-3.867714286	0.332826168	14.43626	0.031841991
AGI_MM_OLIGO_A_51_P482128	Krt1-15	keratin complex 1, acidic, gene 15	-11.58984295	-3.786285714	0.326689993	13.33689	0.031841991
AGI_MM_OLIGO_A_51_P335460	Scin	scinderin	-8.406244695	-3.479142857	0.413875991	12.94163	0.031841991
AGI_MM_OLIGO_A_51_P147984	Itlna	intelectin a	-6.381033201	-3.282285714	0.514381545	12.07438	0.031841991
AGI_MM_OLIGO_A_51_P287418	Man1a	mannosidase 1, alpha	-9.378406915	-3.544571429	0.37795027	11.86099	0.031841991
AGI_MM_OLIGO_A_51_P452711	Kcnmb4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	-20.77061697	-3.565142857	0.17164357	11.80916	0.031841991
AGI_MM_OLIGO_A_51_P338040	AW146242	expressed sequence AW146242	-11.72408179	-3.468	0.295801416	10.93374	0.031841991
AGI_MM_OLIGO_A_51_P276305	Stra8	stimulated by retinoic acid gene 8	-9.075941814	-3.428857143	0.37779629	10.79564	0.031841991
AGI_MM_OLIGO_A_51_P240501	4930583H14Rik	RIKEN cDNA 4930583H14 gene	-8.284865631	-3.274	0.395178407	10.74691	0.031841991
AGI_MM_OLIGO_A_51_P409349	Trim29	tripartite motif protein 29	-12.5784563	-3.410285714	0.271121164	10.42753	0.031841991
AGI_MM_OLIGO_A_51_P383407	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	-2.456201175	-2.191428571	0.892202395	10.30397	0.260119369
AGI_MM_OLIGO_A_51_P404875	Dmn	desmuslin	-5.041134834	-3.082571429	0.61148363	10.13582	0.031841991
AGI_MM_OLIGO_A_51_P371942	Pcolce	procollagen C-endopeptidase enhancer protein	-7.996720339	-3.136571429	0.392232227	9.139932	0.031841991
AGI_MM_OLIGO_A_51_P362661	9630042H07Rik	RIKEN cDNA 9630042H07 gene	-13.10073174	-3.152285714	0.240619057	9.093389	0.031841991
AGI_MM_OLIGO_A_51_P489367	Cyp3a25	cytochrome P450, family 3, subfamily a, polypeptide 25	-5.449393869	-3.648	0.66943225	8.826125	0.031841991
AGI_MM_OLIGO_A_51_P178131	1110008I14Rik	RIKEN cDNA 1110008I14 gene	-5.3486419	-2.837428571	0.530495147	8.817564	0.031841991
AGI_MM_OLIGO_A_51_P194415	Slco3a1	solute carrier organic anion transporter family, member 3a1	-10.63267301	-3.140285714	0.295343016	8.432414	0.031841991
AGI_MM_OLIGO_A_51_P121159	Bmyc	brain expressed myelocytomatosis oncogene	-11.78668921	-3.087428571	0.261941968	8.415383	0.031841991
AGI_MM_OLIGO_A_51_P101474	Trfr2	transferrin receptor 2	-9.937196668	-2.986571429	0.300544663	8.259002	0.031841991
AGI_MM_OLIGO_A_51_P489452	Cdo1	cysteine dioxygenase 1, cytosolic	-12.61219944	-3.028857143	0.240152969	8.14664	0.031841991
AGI_MM_OLIGO_A_51_P274461	Ott	ovary testis transcribed	-9.66489526	-3.032857143	0.313801346	8.101758	0.031841991
AGI_MM_OLIGO_A_51_P117226	Zdhhc2	zinc finger, DHHC domain containing 2	-8.356255014	-2.887714286	0.345575175	7.724393	0.031841991
