Functional classification	Gene name	Gene symbol	Fold change APB	Fold change PPB
Actin cytoskeleton organization and development	Phosphodiesterase 4d interacting protein (myomegalin)	PDE4DIP	1.3	1.9
Apoptosis	Diablo homolog (drosophila)	DIABLO	-1.25	-2.18
Apoptosis	Inhibitor of growth family, member 4	ING4	-1.23	-1.59
Apoptosis	B-cell receptor-associated protein 31	BCAP31	-1.47	-1.8
Apoptosis	Autophagy related 12 homolog (s. Cerevisiae)	ATG12	-1.08	-1.42
Apoptosis	Mitochondrial ribosomal protein S30	MRPS30	1.63	1.56
Apoptosis	Zinc finger, DHHC-type containing 16	ZDHHC16	-1.45	-1.31
Apoptosis	TIMP metallopeptidase inhibitor 3	TIMP3	1.36	1.9
Carcinogenesis	Melanoma antigen family d, 2	MAGED2	-1.53	-1.8
Cell adhesion	Heparan sulfate proteoglycan 2	HSPG2	-1.36	-1.95
Cell adhesion	Digeorge syndrome critical region protein 6	DGCR6	-1.63	-1.84
Cell adhesion	Endoglin (osler-rendu-weber syndrome 1)	ENG	-2.85	-3.61
Cell aging	LIM and senescent cell antigen-like domains 1	LIMS1	1.31	3.13
Cell cycle	Transforming growth factor, beta 1	TGFB1	-1.54	-2.12
Cell cycle	Y-box protein ZONAB-A	ZONAB	1.39	1.24
Cell cycle	Septin 11	11-Sep	2.52	3.79
Cell cycle	Stromal interaction molecule 1	STIM1	-1.6	-1.95
Cell development	Dystrophin (muscular dystrophy, Duchenne and Becker types)	DMD	2.11	2.6
Cell growth	Myotrophin	MTPN	1.51	1.88
Cell motility	Dynein, axonemal, heavy polypeptide 9 isoform 2	DNAH9	-1.18	-1.62
Cell proliferation	Arginine/serine-rich coiled-coil 2	RSRC2	1.83	4.62
Cell proliferation	RAS homolog gene family, member g (rho g)	RHOG	-1.04	-1.65
Cell proliferation	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	SERPINF1	-2.28	-1.84
Cell signaling	Cerebral cavernous malformation 2	CCM2	-1.41	-1.45
Cell survival	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member b	ANP32B	1.43	1.74
Cell survival	Hcls1 associated protein x-1	HAX1	-1.56	-1.8
Cellular copper homeostasis	Metallothionein 2A	MT2A	18.51	3.4
Chromsome organization	Structural maintenance of chromosomes 5	SMC5	1.18	3.17
Cytokinesis	Myosin-10 (cellular myosin heavy chain, type b)	MYH10	3.19	6.22
Cytoskeletal organization	Actin binding lim protein 1	ABLIM1	2.23	3.17
Cytoskeleton organization	hook homolog 2 (Drosophila)	HOOK2	-2.02	-1.21
