Symbol	UniGene	TaqMan assay	Day	Model	Pearson r	P-value
RGS1	Hs.75256	Hs0017526_m1	3	ClaNC	0.8924	0.0005
CD69	Hs.208854	Hs0015399_m1	3	ClaNC	0.8837	0.0007
ALDH3B1	Hs.523841	Hs00997594_m1	3	ClaNC	0.8117	0.0002
CXCR7	Hs.471751	Hs00664172_s1	3	ClaNC	0.788	0.0068
C1QB	Hs.8986	Hs00608019_m1	3	ClaNC	0.7803	0.0077
ASGR2	Hs.16247	Hs00154160_m1	7	ClaNC	0.7202	0.0025
JUN	Hs.525704	Hs99999141_s1	3	ClaNC	0.7184	0.0193
CXCR7	Hs.471751	Hs00664172_s1	7	ClaNC	0.7078	0.0032
ATP6V1E1	Hs.517338	Hs00762211 S1	3	ClaNC	0.6841	0.0049
ASGR2	Hs.16247	Hs00154160 m1	3	ClaNC	0.6056	0.0167
SLC2A6	Hs.244378	Hs00214042_m1	7	ClaNC, DAMIP	0.5494	0.0339
MEF2A	Hs.268675	Hs00271535_m1	7	ClaNC	0.5423	0.0368
CTBP1	Hs.208597	Hs00179922_m1	7	DAMIP	0.4634	0.0819
ITGAL	Hs.174103	Hs00158238_m1	7	DAMIP	0.4517	0.091
EIF2AK4	Hs.412102	Hs00383836_m1	7	ClaNC, DAMIP	0.4124	0.1266
