Genes	Gene Symbol	Dox	EZ	EZ+DOX	Function
C-Myc	AJ315134	2.53	4.47	3.99	Cell Cycle
Cyclin D1	CCND1	1.41	3.3	3.31	Cell Cycle
Cyclin G2	CCNG2	0.67	0.35	0.39	Cell Cycle
Cyclin L1	CCNL1	0.82	1	1.11	Cell Cycle
Cyclin T2	CCNT2	0.78	0.62	0.7	Cell Cycle
p21, Cip1	CDKN1A	0.84	0.91	1.01	Cell Cycle
p27, Kip1	CDKN1B	0.75	0.46	0.45	Cell Cycle
Rb	RB1	0.95	0.63	0.6	Cell Cycle
p130	RBL2	0.69	0.65	0.72	Cell Cycle
p57, Kip2	CDKN1C	0.91	0.89	0.88	Cell Cycle
FOXA1	FOXA1	0.73	0.64	0.57	Cell differentiation
FOXE3	FOXE3	0.75	0.78	0.77	Cell differentiation
GATA3	GATA3	0.59	0.92	0.92	Cell differentiation
E-cadherin	CDH1	0.86	1.1	1.15	Cell differentiation
KAP10	KRTAP10-10ELN	0.97	0.66	0.62	Cell differentiation
ELN	ELN	1.06	0.98	0.99	Cell differentiation
PPARgamma	PPARG	0.88	0.45	0.53	Cell differentiation
MAZ	MAZ	0.87	1.17	0.87	Cell differentiation
