Gene Symbol	Gene name
AP3B2	Adaptor-related protein complex 3, beta 2 subunit
BSN	Bassoon (presynaptic cytomatrix protein)
CHGB	Chromogranin B (secretogranin 1)
CPLX1	Complexin 1
CPLX2	Complexin 2
DISP2	Dispatched homolog 2 (Drosophila)
GOLGA7B	Golgi Autoantigen 7B
HBA1	Hemoglobin alpha 1
HBA2	Hemoglobin alpha 2
KCNB1	Potassium voltage-gated channel, Shab-related subfamiliy, member 1
MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2
MMP24	Matrix metallopeptidase 24 (membrane-inserted)
PGBD5	PiggyBac transposable element derived 5
RLTPR	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing
RTN2	Reticulon 2
RUNDC3A	RUN domain containing 3A
SCAMP5	Secretory carrier membrane protein 5
SCGB1D2	Secretoglobin, family 1D, member 2 (Lipiphilin B)
SNAP25STMN3	Synaptosomal-associated protein, 25kDa
STMN3	Stathmin-like 3
SYP	Synaptophysin
TMEM145	Transmembrane protein 145
TMEM198	Transmembrane protein 198
VGF	VGF nerve growth factor inducible
