Probe ID	Gene Title	Gene Symbol	Ratio of expression
209467_s_at	MAP kinase interacting serine/threonine kinase 1	MKNK1	1.610096373
203276_at	lamin B1	LMNB1	0.287978249
217842_at	LUC7-like 2 (S. cerevisiae)	LUC7L2	0.355038966
213295_at	cylindromatosis (turban tumor syndrome)	CYLD	3.150753337
202318_s_at	SUMO1/sentrin specific peptidase 6	SENP6	0.3873717
221193_s_at	zinc finger, CCHC domain containing 10	ZCCHC10	0.452436301
44146_at	glucocorticoid modulatory element binding protein 2	GMEB2	0.438941469
217950_at	nitric oxide synthase interacting protein	NOSIP	1.878847461
209746_s_at	coenzyme Q7 homolog, ubiquinone (yeast)	COQ7	0.424871037
218645_at	zinc finger protein 277	ZNF277	2.046824315
202581_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	2.581629646
204203_at	CCAAT/enhancer binding protein (C/EBP), gamma	CEBPG	0.656970406
218134_s_at	RNA binding motif protein 22	RBM22	0.586819952
218670_at	pseudouridylate synthase 1	PUS1	0.584527179
213689_x_at	family with sequence similarity 69, member A	FAM69A	3.019102469
209024_s_at	synaptotagmin binding, cytoplasmic RNA interacting protein	SYNCRIP	0.640297594
206689_x_at	K(lysine) acetyltransferase 5	KAT5	0.40930389
214141_x_at	splicing factor, arginine/serine-rich 7, 35kDa	SFRS7	0.519444612
207941_s_at	RNA binding motif protein 39	RBM39	0.480845368
203583_at	unc-50 homolog (C. elegans)	UNC50	0.553135954
219798_s_at	methylphosphate capping enzyme	MEPCE	0.290018392
201773_at	activity-dependent neuroprotector homeobox	ADNP	0.305736281
210820_x_at	coenzyme Q7 homolog, ubiquinone (yeast)	COQ7	0.449425706
222251_s_at	glucocorticoid modulatory element binding protein 2	GMEB2	0.415528503
221865_at	chromosome 9 open reading frame 91	C9orf91	0.340641759
202396_at	transcription elongation regulator 1	TCERG1	0.560185654
213376_at	zinc finger and BTB domain containing 1	ZBTB1	0.289696574
41160_at	methyl-CpG binding domain protein 3	MBD3	0.486022538
218470_at	tyrosyl-tRNA synthetase 2, mitochondrial	YARS2	0.29649799
219966_x_at	BTG3 associated nuclear protein	BANP	0.381597258
209192_x_at	K(lysine) acetyltransferase 5	KAT5	0.402191575
209049_s_at	zinc finger, MYND-type containing 8	ZMYND8	0.363871485
203848_at	A kinase (PRKA) anchor protein 8	AKAP8	0.317261433
203514_at	mitogen-activated protein kinase kinase kinase 3	MAP3K3	1.89776599
201101_s_at	BCL2-associated transcription factor 1	BCLAF1	0.540618062
202519_at	MLX interacting protein	MLXIP	1.86514167
204618_s_at	GA binding protein transcription factor, beta subunit 1	GABPB1	0.361730256
202606_s_at	tousled-like kinase 1	TLK1	0.538060249
204547_at	RAB40B, member RAS oncogene family	RAB40B	2.190346752
203660_s_at	pericentrin	PCNT	0.450891508
222103_at	activating transcription factor 1	ATF1	0.39474757
208765_s_at	heterogeneous nuclear ribonucleoprotein R	HNRNPR	0.609885139
217437_s_at	transforming, acidic coiled-coil containing protein 1	TACC1	2.287161488
212721_at	splicing factor, arginine/serine-rich 12	SFRS12	0.472597678
208151_x_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	DDX17	0.557657468
205633_s_at	aminolevulinate, delta-, synthase 1	ALAS1	1.873912125
220661_s_at	zinc finger protein 692	ZNF692	0.382387627
203855_at	WD repeat domain 47	WDR47	2.79470431
203847_s_at	A kinase (PRKA) anchor protein 8	AKAP8	0.463195236
210596_at	---	---	1.89623715
218381_s_at	U2 small nuclear RNA auxiliary factor 2	U2AF2	0.505907567
202692_s_at	upstream binding transcription factor, RNA polymerase I	UBTF	0.375160568
209679_s_at	small trans-membrane and glycosylated protein	SMAGP	0.445428395
214258_x_at	K(lysine) acetyltransferase 5	KAT5	0.423809622
207541_s_at	exosome component 10	EXOSC10	0.472019978
38269_at	protein kinase D2	PRKD2	1.974590411
220761_s_at	TAO kinase 3	TAOK3	2.477963935
220643_s_at	Fas apoptotic inhibitory molecule	FAIM	0.312408816
214499_s_at	BCL2-associated transcription factor 1	BCLAF1	0.47791626
212429_s_at	general transcription factor IIIC, polypeptide 2, beta 110kDa	GTF3C2	0.634383713
220099_s_at	LUC7-like 2 (S. cerevisiae)	LUC7L2	0.394724179
203432_at	thymopoietin	TMPO	0.57956079
213552_at	glucuronic acid epimerase	GLCE	2.734489089
213528_at	chromosome 1 open reading frame 156	C1orf156	0.494484342
212675_s_at	centrosomal protein 68kDa	CEP68	3.2268369
209927_s_at	chromosome 1 open reading frame 77	C1orf77	0.521516472
221816_s_at	PHD finger protein 11	PHF11	0.42281245
218968_s_at	zinc finger protein 64 homolog (mouse)	ZFP64	0.350070585
209798_at	nuclear protein, ataxia-telangiectasia locus	NPAT	1.90303966
208922_s_at	nuclear RNA export factor 1	NXF1	2.642847972
202153_s_at	nucleoporin 62kDa	NUP62	0.425701614
208786_s_at	microtubule-associated protein 1 light chain 3 beta	MAP1LC3B	2.845593726
209568_s_at	ral guanine nucleotide dissociation stimulator-like 1	RGL1	4.335833093
200800_s_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	2.843613675
203679_at	transmembrane emp24 protein transport domain containing 1	TMED1	0.508929345
217923_at	penta-EF-hand domain containing 1	PEF1	0.522354371
218300_at	chromosome 16 open reading frame 53	C16orf53	0.480565428
204366_s_at	general transcription factor IIIC, polypeptide 2, beta 110kDa	GTF3C2	0.598242343
218032_at	stannin	SNN	3.006519199
203090_at	stromal cell-derived factor 2	SDF2	1.550034378
205807_s_at	tuftelin 1	TUFT1	3.78546294
208720_s_at	RNA binding motif protein 39	RBM39	0.5151991
207830_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 8	PPP1R8	0.549887857
217844_at	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	CTDSP1	0.461317352
202294_at	stromal antigen 1	STAG1	0.472582881
201395_at	RNA binding motif protein 5	RBM5	0.530602448
200911_s_at	transforming, acidic coiled-coil containing protein 1	TACC1	1.845772702
203367_at	dual specificity phosphatase 14	DUSP14	1.527653595
208620_at	poly(rC) binding protein 1	PCBP1	0.530848507
202113_s_at	sorting nexin 2	SNX2	1.704499778
218238_at	GTP binding protein 4	GTPBP4	0.575248044
201662_s_at	acyl-CoA synthetase long-chain family member 3	ACSL3	1.987375874
208939_at	selenophosphate synthetase 1	SEPHS1	0.416884628
209567_at	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	RRS1	0.556104516
