Gene name	Gene symbol	Accession no.	Fold change	Factor
Matrix metalloproteinase 9	MMP9	NM_004994	1001.5	Genes up-regulated > 5-fold by KLF5
Interleukin 1, beta	IL1B	NM_000576	87.91	Genes up-regulated > 5-fold by KLF5
Prostaglandin-endoperoxide synthase 1	PTGS1	NM_000962	16.7	Genes up-regulated > 5-fold by KLF5
Chemokine (C-X-C motif) ligand 1	CXCL1	NM_001511	13.9	Genes up-regulated > 5-fold by KLF5
Platelet factor 4	PF4	NM_002619	9	Genes up-regulated > 5-fold by KLF5
Stabilin 1	STAB1	NM_015136	6.7	Genes up-regulated > 5-fold by KLF5
Placental growth factor, vascular endothelial growth factor-related protein	PGF	NM_002632	6.2	Genes up-regulated > 5-fold by KLF5
Integrin, beta 3	ITGB3	NM_000212	5.9	Genes up-regulated > 5-fold by KLF5
Tissue inhibitor of metalloproteinase 3	TIMP3	NM_000362	5.7	Genes up-regulated > 5-fold by KLF5
Chemokine (C-X-C motif) ligand 10	CXCL10	NM_001565	-6.3	Gene down-regulated < 1/5-fold by KLF5
Vascular endothelial growth factor A	VEGFA	NM_003376	1.5	Other angiogenic factors
Vascular endothelial growth factor C	VEGFC	NM_005429	1.5	Other angiogenic factors
Vascular endothelial growth factor D	VEGFD	NM_004469	1.4	Other angiogenic factors
Hepatocyte growth factor	HGF	NM_000601	-1.5	Other angiogenic factors
Fibroblast growth factor 1	FGF1	NM_000800	1.1	Other angiogenic factors
Fibroblast growth factor 2	FGF2	NM_002006	-1.1	Other angiogenic factors
