Gene Name	Expression
nuclear factor of kappa light	No expression
protein tyrosine phosphatase	Up-Regulated
nuclear factor of kappa light	Up-Regulated
BCL2-related protein A1	Up-Regulated
cytochrome c, somatic	Up-Regulated
nuclear factor of kappa light	Up-Regulated
TNF receptor-associated factor	Up-Regulated
caspase 7, apoptosis-related c	Up-Regulated
TNF receptor-associated factor	Up-Regulated
TNF receptor-associated factor	Up-Regulated
Fas (TNFRSF6)-associated via d	Up-Regulated
splicing factor, arginine/seri	Up-Regulated
splicing factor, arginine/seri	Up-Regulated
TNFRSF1A-associated via death	Up-Regulated
caspase 4, apoptosis-related c	Up-Regulated
caspase 9, apoptosis-related c	Up-Regulated
receptor (TNFRSF)-interacting	Up-Regulated
BCL2-antagonist of cell death	Up-Regulated
caspase 1, apoptosis-related c	Up-Regulated
BCL2-antagonist of cell death	Up-Regulated
BCL2-associated X protein	Up-Regulated
DNA fragmentation factor, 40kD	Up-Regulated
B-cell CLL/lymphoma 2	Up-Regulated
myeloid cell leukemia sequence	Up-Regulated
myeloid cell leukemia sequence	Up-Regulated
caspase 1, apoptosis-related c	Up-Regulated
caspase 1, apoptosis-related c	Up-Regulated
caspase 1, apoptosis-related c	Up-Regulated
myeloid cell leukemia sequence	Up-Regulated
caspase 4, apoptosis-related c	Up-Regulated
caspase 9, apoptosis-related c	Up-Regulated
tumor necrosis factor receptor	Up-Regulated
CASP2 and RIPK1 domain contain	Up-Regulated
caspase 3, apoptosis-related c	Up-Regulated
caspase 6, apoptosis-related c	Up-Regulated
BCL2-like 2	Up-Regulated
BCL2-associated X protein	Up-Regulated
death-associated protein 6	Up-Regulated
BCL2-like 1	Up-Regulated
nuclear factor of kappa light	Up-Regulated
nuclear factor of kappa light	Up-Regulated
lymphotoxin beta (TNF superfam)	Up-Regulated
caspase 2, apoptosis-related c	Up-Regulated
caspase 2, apoptosis-related c	Up-Regulated
caspase 2, apoptosis-related c	Up-Regulated
caspase 6, apoptosis-related c	Up-Regulated
tumor necrosis factor receptor	Up-Regulated
splicing factor, arginine/seri	Up-Regulated
tumor necrosis factor receptor	Up-Regulated
tumor necrosis factor receptor	Up-Regulated
caspase 8, apoptosis-related c	Up-Regulated
caspase 10, apoptosis-related c	Up-Regulated
tumor necrosis factor receptor	Up-Regulated
tumor necrosis factor receptor	Up-Regulated
myeloid cell leukemia sequence	Up-Regulated
DNA fragmentation factor, 45kD	Up-Regulated
myeloid cell leukemia sequence	Up-Regulated
apoptotic protease activating	Up-Regulated
