Gene name	Symbol	Acc. number	Array cell	Fold change	SD	Cell stress and toxicity function
Serine (or cysteine) peptidase inhibitor, clade E, member 1	Serpine1	NM_008871	G01	3.73	0.29	Inflammation
Interleukin 1 beta	Il1b	NM_008361	E11	3.69	0.82	Inflammation
Transformed mouse 3T3 cell double minute 2	Mdm2	NM_010786	F02	3.34	0.15	Growth arrest and senescence
Cytochrome P450, family 2, subfamily a, polypeptide	Cyp2a5	NM_007812	B08	2.92	0.48	Oxidative or metabolic stress
Fas ligand (TNF superfamily, member 6)	Fasl	NM_010177	C11	2.62	0.71	Apoptosis signaling
Bcl2-like 1	Bcl2l1	NM_009743	A04	-2.11	0.25	Apoptosis signaling
Cyclin C	Ccnc	NM_016746	A10	-2.44	0.46	Proliferation and carcinogenesis
Chemokine (C-C motif) ligand 21b	Ccl21b	NM_011124	A07	-3.37	0.25	Inflammation
Chemokine (C-C motif) ligand 4	Ccl4	NM_013652	A09	-3.86	0.4	Inflammation
Annexin A5	Anxa5	NM_009673	A01	-4	1.5	Apoptosis signaling
Ataxia telangiectasia mutated homolog (human)	Atm	NM_007499	A02	-4.99	0.7	DNA damage and repair
Caspase 1	Casp1	NM_009807	A05	-6.81	7.58	Apoptosis signaling
Cytochrome P450, family 3, subfamily a, polypeptide 11	Cyp3a11	NM_007818	B12	-8.6	0.52	Oxidative or metabolic stress
Chemokine (C-C motif) ligand 3	Ccl3	NM_011337	A08	-9.5	2.39	Inflammation
