Description	GenBank	Additional Functional Information	Swiss-Prot	ln(ratio)	SD	Function
ESTs, similar to mouse tousled-like kinase 2	AA819648	Chromatin assembly	Q86UE8	-0.29	0.13	Cell cycle and proliferation
ESTs, similar to mouse MOV-10	AI453858	Cell proliferation	P23249	-0.19	0.06	Cell cycle and proliferation
Cyclin G-associated kinase	AI071179			-0.19	0.08	Cell cycle and proliferation
ESTs, similar to mouse proliferation-associated protein 2G4	AA955880		Q9UQ80	0.14	0.04	Cell cycle and proliferation
Progestin induced protein	AA955278	mRNA maturation; cell cycle	O95071	0.28	0.08	Cell cycle and proliferation
ESTs, similar to mouse Ran binding protein 1	AA957425	Cell cycle, signaling	P34022	0.28	0.11	Cell cycle and proliferation
ESTs, similar to mouse dynactin 3	AA819405		Q9Z0Y1	0.34	0.05	Cell cycle and proliferation
Splicing factor, arginine/serine-rich 5	AI028992	G1/S; mRNA splicing	Q09167	0.34	0.15	Cell cycle and proliferation
Prohibitin	AA866323	Inhibit DNA synthesis	P24142	0.37	0.15	Cell cycle and proliferation
Cyclin G1	AA899938	G2/M arrest	P39950	0.42	0.18	Cell cycle and proliferation
Dihydrofolate reductase 1 (active)	AA900413	Essential for DNA precursor synthesis	P00374	0.42	0.1	Cell cycle and proliferation
Lamina associated polypeptide 2	AA925840	Nuclear reassembly		0.42	0.13	Cell cycle and proliferation
ESTs, similar to human replication factor C 37-kDa subunit	AA819500	DNA replication	P35249	0.43	0.05	Cell cycle and proliferation
Lamin A	AI070773		P48679	0.43	0.14	Cell cycle and proliferation
ESTs, similar to mouse paxillin-like protein (Hic5)	AA900090	TGFb1, H2O2-inducible, growth inhibition (senescence)	Q62219	0.45	0.11	Cell cycle and proliferation
Cyclin B1	AA998164		P30277	0.66	0.16	Cell cycle and proliferation
ESTs, similar to human histone H3.3	AA899072	Nucleosome formation	P06351	0.77	0.12	Cell cycle and proliferation
Proliferating cell nuclear antigen	AA858643	DNA replication	P04961	0.8	0.17	Cell cycle and proliferation
Cyclin B1	AA998164	G2/M transition	P30277	0.82	0.19	Cell cycle and proliferation
Cell division cycle 42 homolog (S. cerevisiae)	AA925473			0.84	0.21	Cell cycle and proliferation
ESTs, similar to mouse splicing factor, arginine/serine-rich 2	AA819369	Cell cycle; mRNA splicing	Q62093	0.9	0.18	Cell cycle and proliferation
Kinesin light chain 1	AA899876		P37285	0.28	0.08	Cytoskeleton
Afadin	AA819503	Actin-binding, cell adhesion	O35889	0.31	0.07	Cytoskeleton
ESTs, similar to mouse actin cross-linking family protein 7	AA858740			0.32	0.12	Cytoskeleton
ESTs, similar to mouse alpha-parvin mRNA	AA964535	Cell adhesion	Q9EPC1	0.34	0.09	Cytoskeleton
ESTs, similar to mouse vinculin	AA900065	Cell adhesion	Q64727	0.39	0.09	Cytoskeleton
Rattus norvegicus mRNA for class I beta-tubulin, complete cds	AA819803			0.52	0.24	Cytoskeleton
ESTs, similar to human microtubule-associated protein EB1	AA925661		Q15691	0.55	0.21	Cytoskeleton
ESTs, similar to human ARP2/3 complex 21-kDa subunit	AA899189		O15145	0.66	0.31	Cytoskeleton
ESTs, similar to mouse actin cross-linking family protein 7	AI072264		Q9UPN3	0.67	0.27	Cytoskeleton
ESTs, similar to mouse ARP2 actin-related protein 2 homolog	AA875408		O15142	0.77	0.12	Cytoskeleton
ESTs, similar to rat destrin	AI113089		P18282	0.89	0.18	Cytoskeleton
?-Tubulin	AI713807			1.26	0.24	Cytoskeleton
