Fold Change	Gene Title_Affymetrix	Gene Symbol_Affymetrix	Entez Gene
210.57	steroidogenic acute regulatory protein	Star	20845
41.79	myeloid ecotropic viral integration site-related gene 1	Mrg1	17536
35.94	chemokine (C-C motif) ligand 19	Ccl19	24047
31.84	ferredoxin reductase	Fdxr	14149
31.23	ferredoxin 1	Fdx1	14148
28.76	ATP-binding cassette, sub-family A (ABC1), member 8a	Abca8a	217258
24.11	c-fos induced growth factor	Figf	14205
22.86	aldehyde dehydrogenase family 1, subfamily A7	Aldh1a7	26358
20.22	scavenger receptor class B, member 1	Scarb1	20778
16.92	HtrA serine peptidase 3	Htra3	78558
16.73	potassium channel, subfamily K, member 3	Kcnk3	16527
16.21	transmembrane protein with EGF-like and two follistatin-like domains 2	Tmeff2	56363
15.26	tissue inhibitor of metalloproteinase 3	Timp3	21859
15.01	lysyl oxidase-like 1	Loxl1	16949
14.53	myosin, light polypeptide 9, regulatory	Myl9	98932
14.47	BAI1-associated protein 3	Baiap3	545192
14.46	endothelial-specific receptor tyrosine kinase	Tek	21687
14.19	nuclear factor I/B	Nfib	18028
13.26	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	H6pd	100198
13.18	protease, serine, 11 (Igf binding)	Prss11	56213
12.59	leucine-rich alpha-2-glycoprotein 1	Lrg1	76905
12.33	hydroxysteroid 11-beta dehydrogenase 1	Hsd11b1	15483
11.14	connective tissue growth factor	Ctgf	14219
10.82	ELOVL family member 5, elongation of long chain fatty acids (yeast)	Elovl5	68801
10.79	proprotein convertase subtilisin/kexin type 5	Pcsk5	18552
9.65	growth differentiation factor 10	Gdf10	14560
9.40	chemokine (C-X-C motif) ligand 12	Cxcl12	20315
9.29	malic enzyme, supernatant	Mod1	17436
9.19	aminolevulinic acid synthase 1	Alas1	11655
9.04	procollagen C-proteinase enhancer protein	Pcolce	18542
8.89	RNA binding protein gene with multiple splicing	Rbpms	19663
8.73	reversion induced LIM gene	Ril	30794
8.35	retinoic acid induced 14	Rai14	75646
8.32	FXYD domain-containing ion transport regulator 1	Fxyd1	56188
8.12	biglycan	Bgn	12111
7.42	pyruvate carboxylase	Pcx	18563
7.42	insulin-like growth factor binding protein 7	Igfbp7	29817
7.08	secreted acidic cysteine rich glycoprotein	Sparc	20692
7.03	septin 4	12:00 AM	18952
6.91	serum deprivation response	Sdpr	20324
6.82	interleukin 6 signal transducer	Il6st	16195
6.78	synaptotagmin-like 4	Sytl4	27359
6.53	complement component factor h	Cfh	12628
6.37	procollagen, type VI, alpha 1	Col6a1	12833
6.36	interferon induced transmembrane protein 3	Ifitm3	66141
6.31	reduced expression 3	Rex3	19716
6.25	chemokine (C-C motif) ligand 27	Ccl27	20301
6.13	calponin 3, acidic	Cnn3	71994
5.91	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	Slc6a4	15567
5.84	proline arginine-rich end leucine-rich repeat	Prelp	116847
5.83	Anthrax toxin receptor 2	Antxr2	71914
5.59	matrix gamma-carboxyglutamate (gla) protein	Mglap	17313
5.35	glucokinase	Gck	103988
5.34	myosin ID	Myo1d	338367
5.28	hippocalcin	Hpca	15444
5.27	endothelin converting enzyme 1	Ece1	230857
5.26	sulfotransferase family 1A, phenol-preferring, member 1	Sult1a1	20887
5.22	zinc finger and BTB domain containing 16	Zbtb16	235320
5.08	transforming growth factor, beta induced	tgfbi	21810
4.97	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	Galnt10	171212
4.95	opioid receptor, sigma 1	Oprs1	18391
4.90	aldo-keto reductase family 1, member B8	Akr1b8	14187
4.90	antigen identified by monoclonal antibody MRC OX-2	Mox2	17470
4.87	pleckstrin homology domain containing, family B (evectins) member 1	Plekhb1	27276
4.79	propionyl-Coenzyme A carboxylase, alpha polypeptide	Pcca	110821
4.76	endoglin	Eng	13805
4.71	integrin alpha 9	Itga9	104099
4.53	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1	Galntl1	108760
4.51	phenylethanolamine-N-methyltransferase	Pnmt	18948
4.50	AXL receptor tyrosine kinase	Axl	26362
4.49	clusterin	Clu	12759
4.49	procollagen, type V, alpha 1	Col5a1	12831
4.45	FXYD domain-containing ion transport regulator 6	Fxyd6	59095
4.43	CDC42 effector protein (Rho GTPase binding) 1	Cdc42ep1	104445
4.42	glutathione S-transferase, alpha 4	Gsta4	14860
4.42	cholinergic receptor, nicotinic, alpha polypeptide 3	Chrna3	110834
4.38	Hermansky-Pudlak syndrome 3 homolog (human)	Hps3	12807
4.32	NifU-like N-terminal domain containing	Nifun	66383
