Location	Fold Change	ProbeSet ID	UniGene ID	Gene Symbol	Gene Name
Extracellular Space	3.7	209277_at	Hs.438231	TFPI2	tissue factor pathway inhibitor 2
Extracellular Space	3.6	228885_at	Hs.547172	MAMDC2	MAM domain containing 2
Extracellular Space	3	208791_at	Hs.436657	CLU	clusterin
Extracellular Space	3	205174_s_at	Hs.79033	QPCT (includes EG:25797)	glutaminyl-peptide cyclotransferase
Extracellular Space	2.8	1552457_a_at	Hs.522019	ADAMTSL1	ADAMTS-like 1
Extracellular Space	2.7	214913_at	Hs.590919	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3
Extracellular Space	2.6	218454_at	Hs.131933	PLBD1	phospholipase B domain containing 1
Extracellular Space	2.6	201348_at	Hs.386793	GPX3	glutathione peroxidase 3 (plasma)
Extracellular Space	2.6	209278_s_at	Hs.438231	TFPI2	tissue factor pathway inhibitor 2
Extracellular Space	2.5	220176_at	Hs.288981	NUBPL	nucleotide binding protein-like
Extracellular Space	2.4	37547_at	Hs.372360	BBS9	Bardet-Biedl syndrome 9
Extracellular Space	2.4	209676_at	Hs.516578	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
Extracellular Space	2.2	216598_s_at	Hs.303649	CCL2	chemokine (C-C motif) ligand 2
Extracellular Space	2.2	1558692_at	Hs.202522	C1ORF85	chromosome 1 open reading frame 85
Extracellular Space	2.1	211596_s_at	Hs.518055	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1
Extracellular Space	2	229461_x_at	Hs.146542	NEGR1	neuronal growth regulator 1
Extracellular Space	2	1558279_a_at	Hs.74050	KDSR	3-ketodihydrosphingosine reductase
Plasma Membrane	4.6	218309_at	Hs.197922	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1
Plasma Membrane	4	1554062_at	Hs.179675	XG	Xg blood group
Plasma Membrane	3.8	229151_at	Hs.101307	SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
Plasma Membrane	3.8	205856_at	Hs.101307	SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
Plasma Membrane	3.6	231775_at	Hs.591834	TNFRSF10A (includes EG:8797)	tumor necrosis factor receptor superfamily, member 10a
Plasma Membrane	3.6	210286_s_at	Hs.250072	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7
Plasma Membrane	3.6	202920_at	Hs.620557	ANK2	ankyrin 2, neuronal
Plasma Membrane	3.4	34031_i_at	Hs.531987	KRIT1	KRIT1, ankyrin repeat containing
Plasma Membrane	3.3	1554557_at	Hs.478429	ATP11B	ATPase, class VI, type 11B
Plasma Membrane	3.2	242963_at	Hs.595423	SGMS2	sphingomyelin synthase 2
Plasma Membrane	3.2	220254_at	Hs.654804	LRP12	low density lipoprotein-related protein 12
Plasma Membrane	3.1	224341_x_at	Hs.174312	TLR4	toll-like receptor 4
Plasma Membrane	3	232068_s_at	Hs.174312	TLR4	toll-like receptor 4
Plasma Membrane	2.9	211136_s_at	Hs.444441	CLPTM1	cleft lip and palate associated transmembrane protein 1
Plasma Membrane	2.9	220076_at	Hs.156727	ANKH	ankylosis, progressive homolog (mouse)
Plasma Membrane	2.8	211343_s_at	Hs.695934	COL13A1	collagen, type XIII, alpha 1
Plasma Membrane	2.8	222088_s_at	Hs.419240	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
Plasma Membrane	2.8	218451_at	Hs.476093	CDCP1	CUB domain containing protein 1
Plasma Membrane	2.6	203508_at	Hs.256278	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B
Plasma Membrane	2.5	213413_at		STON1	stonin 1
Plasma Membrane	2.4	229176_at	Hs.156727	ANKH	ankylosis, progressive homolog (mouse)
Plasma Membrane	2.4	232060_at	Hs.654491	ROR1	receptor tyrosine kinase-like orphan receptor 1
Plasma Membrane	2.3	226358_at	Hs.532698	APH1B	anterior pharynx defective 1 homolog B (C. elegans)
Plasma Membrane	2.3	214374_s_at	Hs.172445	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)
Plasma Membrane	2.3	205579_at	Hs.1570	HRH1	histamine receptor H1
Plasma Membrane	2.3	228239_at	Hs.656195	FAM165B	family with sequence similarity 165, member B
Plasma Membrane	2.3	204396_s_at	Hs.524625	GRK5	G protein-coupled receptor kinase 5
Plasma Membrane	2.3	242317_at	Hs.7917	HIGD1A	HIG1 domain family, member 1A
Plasma Membrane	2.3	225571_at	Hs.133421	LIFR	leukemia inhibitory factor receptor alpha
Plasma Membrane	2.2	220253_s_at	Hs.654804	LRP12	low density lipoprotein-related protein 12
Plasma Membrane	2.2	205003_at	Hs.654652	DOCK4	dedicator of cytokinesis 4
Plasma Membrane	2.1	215991_s_at	Hs.439200	KIAA0090	KIAA0090
