Gene Name	Symbol	Accesion No.	Log (base 2)	FDR
3-oxoacid CoA transferase 1	Oxct1	AY724483	1.308	0.049
aarF domain containing kinase 1	Adck1	AW916730	0.6	0.042
abhydrolase domain containing 5	Abhd5	NM_212524	1.125	0.042
activin A receptor, type IC	Acvr1c	NM_139090	1.6	0.04
acyl-Coenzyme A dehydrogenase family, member 11	Acad11	XM_236582	1.55	0.037
ADAM metallopeptidase domain 18	Adam18	XM_341456	1.026	0.036
ADAM metallopeptidase domain 32	Adam32	AJ131563	0.619	0.043
adducin 2 (beta)	Add2	NM_012491	1.147	0.036
adenosine deaminase, RNA-specific, B1	Adarb1	NM_012894	0.655	0.046
adenylate cyclase 2 (brain)	Adcy2	NM_031007	1.361	0.036
adenylate kinase 1	Ak1	NM_024349	1.182	0.036
ADP-dependent glucokinase	Adpgk	XM_236306	0.776	0.045
ADP-ribosylation factor-like 5A	Arl5a	NM_053979	0.589	0.044
ADP-ribosylation factor-like 5B	Arl5b	NM_001015031	0.87	0.043
ADP-ribosyltransferase 2b	Art2b	AJ297708	0.616	0.048
adrenergic, alpha-1B-, receptor	Adra1b	NM_016991	0.718	0.036
adrenergic, beta-3-, receptor	Adrb3	NM_013108	0.952	0.041
adrenomedullin	Adm	NM_012715	0.879	0.046
aldehyde dehydrogenase 6 family, member A1	Aldh6a1	NM_031057	1.784	0.044
aldo-keto reductase family 1, member C-like 2	Akr1cl2	NM_001008342	1.349	0.036
aldolase A, fructose-bisphosphate	Aldoa	NM_012495	1.502	0.036
aminolevulinate, delta-, synthase 2	Alas2	NM_013197	0.642	0.046
androgen receptor	Ar	NM_012502	1.219	0.036
angel homolog 1 (Drosophila)	Angel1	CB544326	1.149	0.041
angiopoietin 4	Angpt4	AW920282	2.111	0.036
ankyrin repeat domain 5	Ankrd5	XM_215854	1.333	0.037
annexin A1	Anxa1	NM_012904	0.882	0.036
apelin	Apln	NM_031612	0.633	0.048
arachidonate lipoxygenase 3	Aloxe3	XM_213336	0.631	0.041
arrestin 3, retinal (X-arrestin)	Arr3	XM_343796	0.624	0.046
aryl hydrocarbon receptor nuclear translocator-like	Arntl	NM_024362	1.694	0.041
arylsulfatase family, member I	Arsi	CB545903	1.027	0.037
aspartoacylase	Aspa	NM_024399	2.323	0.038
ATP synthase mitochondrial F1 complex assembly factor 1	Atpaf1	CB544926	0.67	0.037
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	Atp5g3	NM_053756	0.894	0.044
ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	Atp2a2	NM_017290	0.601	0.046
ATPase, class V, type 10D	Atp10d	XM_341209	0.718	0.037
ATPase, Na+/K+ transporting, alpha 2 polypeptide	Atp1a2	NM_012505	0.995	0.037
ATP-binding cassette, sub-family A (ABC1), member 7	Abca7	NM_207598	0.825	0.047
ATP-binding cassette, sub-family A (ABC1), member 8	Abca8	XM_221074	1.44	0.036
ATP-binding cassette, sub-family A (ABC1), member 8a	Abca8a	BF564460	1.253	0.046
ATP-binding cassette, sub-family D (ALD), member 2	Abcd2	NM_033352	1.814	0.039
ATP-binding cassette, sub-family G (WHITE), member 4	Abcg4	XM_236186	1.29	0.036
BCL2/adenovirus E1B interacting protein 3	Bnip3	NM_053420	1.712	0.036
BCL2-associated athanogene 4	Bag4	NM_001025130	0.755	0.037
bone morphogenetic protein receptor, type IA	Bmpr1a	NM_030849	0.823	0.037
cache domain containing 1	Cachd1	BF567204	0.6	0.047
calcium binding protein p22	Chp	NM_024139	1.446	0.037
carbonic anhydrase 7	Car7	XM_226204	1.893	0.037
