Gene Symbol	Gene Title	Avg FC	FC range
CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta 3 subunit	4569	9962 - 2006
LOC645682	similar to POU domain, class 5	1276	4070 - 34
LOC153469	hypothetical protein LOC153469	429	806 - 89
FLJ90231	hypothetical protein FLJ90231	386	761 - 69
NANOG	nanog homeobox	337	733 - 123
TDGF1	teratocarcinoma-derived growth factor 1	313	736 - 123
POU5F1	POU domain, class 5, transcription factor 1	237	327 - 77
LEFTY1	left-right determination factor 1	220	286 - 115
INDO	indoleamine-pyrrole 2,3 dioxygenase	198	593 - 33
ZNF206	zinc finger protein 206	149	293 - 60
DPPA4	developmental pluripotency associated 4	141	211 - 61
SCGB3A2	secretoglobin, family 3A, member 2	138	199 - 85
LECT1	leukocyte cell derived chemotaxin 1	124	213 - 51
L1TD1	LINE-1 type transposase domain containing 1	72	109 - 52
USP44	ubiquitin specific peptidase 44	61	131 - 21
SCG3	secretogranin III	59	98 - 23
ZIC3	zic family member 3 heterotaxy 1	54	138 - 13
CDA	cytidine deaminase	43	68 - 12
OTX2	orthodenticle homolog 2 (Drosophila)	42	83 - 18
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	41	49 - 34
SMPDL3B	sphingomyelin phosphodiesterase, acid-like 3B	38	97 - 11
DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	37	42 - 23
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	37	60 - 22
SOX2	SRY (sex determining region Y)-box 2	32	48 - 20
PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	29	53 - 13
FLJ30707	hypothetical protein FLJ30707	28	58 - 15
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	26	32 - 17
POLR3G	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	23	40 - 9
LOC645321	hypothetical protein LOC645321	23	37 - 14
ADD2	adducin 2 (beta)	18	23 - 14
C1orf187	chromosome 1 open reading frame 187	18	25 - 13
GPC4	glypican 4	17	22 - 10
SALL3	sal-like 3 (Drosophila)	16	18 - 12
GPR64	G protein-coupled receptor 64	16	25 - 12
SLC7A3	solute carrier family 7, member 3	15	17 - 12
TNRC9	trinucleotide repeat containing 9	14	16 - 11
RARRES2	retinoic acid receptor responder (tazarotene induced) 2	13	20 - 9
RASGEF1A	RasGEF domain family, member 1A	12	17 - 9
CCKBR	cholecystokinin B receptor	11	17 - 8
TERF1	telomeric repeat binding factor (NIMA-interacting) 1	9	10 - 9
