Gene Symbol	Gene Description	Function
CDKN1A 	"Cyclin-dependent kinase inhibitor 1a (p21, Cip1, Waf1) "	"Cell cycle, proliferation"
CDKN1B 	"Cyclin-dependent kinase inhibitor 1b (p27, Kip1) "	"Cell cycle, proliferation"
GADD45A 	"gadd45alpha, growth arrest and DNA-damage-induciblealpha "	"Cell cycle, proliferation"
GADD45B 	"gadd45beta, growth arrest and DNA-damage-induciblebeta"	"Cell cycle, proliferation"
MAD1L1 	"Mitotic arrest-deficient 1, yeast, homolog-like 1 "	"Cell cycle, proliferation"
MAD2L1 	"Mitotic arrest-deficient 2, S. cerevisiae, homolog-like 1 "	"Cell cycle, proliferation"
MKI67 	Proliferation-related Ki-67 antigen 	"Cell cycle, proliferation"
RB1 	Retinoblastoma 1 	"Cell cycle, proliferation"
SFN 	Stratifin (14.3.3.sigma) 	"Cell cycle, proliferation"
NEK2 	Never in mitosis gene a-related kinase 2 	"Cell cycle, proliferation"
PCNA 	Proliferating cell nuclear antigen 	"Cell cycle, proliferation"
TTK 	TTK protein kinase 	"Cell cycle, proliferation"
VEGFD 	Vascular endothelial growth factor D 	"Cell cycle, proliferation"
AURKA 	Aurora kinase a (serine/threonine protein kinase a) 	"Cell division, ploidy"
AKIP 	Aurora-a kinase interacting protein 	"Cell division, ploidy"
BUB1B 	"Budding uninhibited by benzimidazoles 1, S. cerevisiae, homolog of, beta"	"Cell division, ploidy"
CENPE 	Centromeric protein E 	"Cell division, ploidy"
CEP2 	Centrosomal protein 2 	"Cell division, ploidy"
PLK1 	Polo-like kinase (serine/threonine protein kinase 13; STPK13) 	"Cell division, ploidy"
STK6 	Serine/threonine protein kinase 6 (aurora/ipl1-like kinase; AIK) 	"Cell division, ploidy"
TNFSF6 	"Tumor necrosis factor ligand superfamily, member 6 (fas ligand; FASL) "	"Cell division, ploidy"
EREG 	Epiregulin 	Growth factors
CXCL1 	"chemokine, c-x-c motif, ligand 1 (oncogene GRO1) "	Growth factors
IGFBF2 	Insulin-like growth factor binding protein 2 	Growth factors
IGFBP5 	Insulin-like growth factor binding protein 5 	Growth factors
IGFBP6 	Insulin-like growth factor binding protein 6 	Growth factors
KISS1 	Kiss-1 metastasis-suppressor 	Growth factors
DLK1 	"delta, drosophila, homolog-like 1 "	Growth factors
ERBB2 	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2 (HER2/neu) 	Growth factor receptors
GPR54 	G protein-coupled receptor 54 	Growth factor receptors
MET 	Oncogene met (hepatocyte growth factor receptor; HGFR) 	Growth factor receptors
PDGFRA 	"Platelet-derived growth factor receptor,O polypeptide "	Growth factor receptors
PTCH 	"Patched, drosophila, homolog of "	Growth factor receptors
PTCH2 	"Patched, drosophila, homolog of 2 "	Growth factor receptors
RET 	Rearranged during transfection proto-oncogene 	Growth factor receptors
DDR1 	"Discoidin domain receptor family, member 1 "	Growth factor receptors
NRP2 	Neuropilin 2 (vascular endothelial growth factor-165 receptor 2) 	Growth factor receptors
SPARC 	"Secreted protein, acidic, cysteine-rich (osteonectin) "	Extracellular matrix
MMP11 	Matrix metalloproteinase 11 	Proteinases and enzymes of extracellular matrix
MMP14 	Matrix metalloproteinase 14 (membrane-type matrix metalloproteinase 1)  	Proteinases and enzymes of extracellular matrix
MMP9 	Matrix metalloproteinase 9 	Proteinases and enzymes of extracellular matrix
HYAL1 	Hyaluronoglucosaminidase 1 	Proteinases and enzymes of extracellular matrix
HYAL2 	Hyaluronoglucosaminidase 2 	Proteinases and enzymes of extracellular matrix
HYAL3 	"	Hyaluronoglucosaminidase 3 	 "	Proteinases and enzymes of extracellular matrix
TIMP2 	Tissue inhibitor of metalloproteinase 2 	Inhibitors of proteinases of extracellular matrix
PPARG 	"Peroxisome proliferative activated receptor, gamma "	Nuclear receptors
DNMT1 	DNA-methyltransferase 1 	Enzymes 
DNMT3B 	DNA-methyltransferase 3 beta	Enzymes 
GSTM1 	Glutathione s-transferase M1 	Enzymes 
GSTP1 	Glutathione s-transferase P1 	Enzymes 
HDAC1 	Histone deacetylase 1 	Enzymes 
TERT 	Telomerase reverse transcriptase 	Enzymes 
HAS3 	Hyaluronan synthase 3 	Enzymes 
NAT1 	n-Acetyltransferase 1 (arylamine n-Acetyltransferase) 	Enzymes 
AKT1 	v-akt Murine thymoma viral oncogene homolog 1 	Apoptose 
BAK1 	bcl2 Antagonist killer-1 	Apoptose 
BAX 	bcl2-associated x protein 	Apoptose 
BCL2 	b-Cell cll/lymphoma 2 	Apoptose 
BCL2A1 	bcl2-Related protein a1 	Apoptose 
BCLG 	Apoptosis regulator bclg 	Apoptose 
BCL-XL 	"bcl2-Like 1, long isoform 2 "	Apoptose 
BCL-XS 	"bcl2-Like 1, short isoform 1 "	Apoptose 
BID 	BH3-interacting domain death agonist 	Apoptose 
BIRC5 	Baculoviral IAP repeat-containing protein 5 (survivin; apoptosis inhibitor 4) 	Apoptose 
HDAC1 	Histone deacetylase 1 	Apoptose 
HSPCA 	"Heat shock 90kda protein 1, alpha"	Apoptose 
SPP1 	Secreted phosphoprotein 1 (osteopontin) 	Apoptose 
TNFRSF10A 	"Tumor necrosis factor receptor superfamily, member 10a "	Apoptose 
TNFRSF10B 	"Tumor necrosis factor receptor superfamily, member 10b "	Apoptose 
TNFRSF1A 	"Tumor necrosis factor receptor superfamily, member 1a "	Apoptose 
TNFRSF1B 	"Tumor necrosis factor receptor superfamily, member 1b "	Apoptose 
GJA1 	"gap junction protein, alpha 1 (connexin 43) "	Apoptose 
GJB1 	"gap Junction protein, beta 1 (connexin 32) "	Apoptose 
IGF2 	Insulin-like growth factor II 	"Cell adhesion, cell junction, motility, intercellular signal"
GJB2 	"gap Junction protein, beta 2 (connexin 26) "	"Cell adhesion, cell junction, motility, intercellular signal"
ITGB4 	"Integrin, beta 4 "	"Cell adhesion, cell junction, motility, intercellular signal"
HMMR 	Hyaluronan-mediated motility receptor (RHAMM) 	"Cell adhesion, cell junction, motility, intercellular signal"
AMFR 	Autocrine motility factor receptor 	"Cell adhesion, cell junction, motility, intercellular signal"
XLKD1 	Extracellular link domain containing 1 	"Cell adhesion, cell junction, motility, intercellular signal"
UPK1B 	Uroplakin 1b 	"Cell adhesion, cell junction, motility, intercellular signal"
UPK2 	Uroplakin 2 	"Cell adhesion, cell junction, motility, intercellular signal"
CXCL12 	"Chemokine, CXC motif, ligand 12 (stromal cell-derived factor 1; SDF1) "	"Cell adhesion, cell junction, motility, intercellular signal"
ZYX 	Zyxin 	"Cell adhesion, cell junction, motility, intercellular signal"
ARHA 	"ras homolog gene family, member a (RHOA) Caveolin 1 "	Signal transduction
CAV1 	Caveolin 1 	Signal transduction
CAV2 	Caveolin 2 	Signal transduction
CD9 	cd9 Antigen (p24) 	Signal transduction
MUC1 	"Mucin 1, transmembrane "	Signal transduction
NF2 	Neurofibromin 2 	Signal transduction
RAC1 	ras-related c3 botulinum toxin substrate 1 (small gtp-binding protein rac1) 	Signal transduction
RAF1 	v-raf-1 Murine leukemia viral oncogene homolog 1 	Signal transduction
STMN1 	Stathmin 1 (leukemia-associated phosphoprotein p18; LAP18) 	Signal transduction
CDC25B 	Cell division cycle 25b 	Signal transduction
GAS6 	Growth arrest-specific 6 	Signal transduction
MAS1 	mas1 Oncogene 	Signal transduction
MTSR1 	Macrophage stimulating 1 receptor (ron protein tyrosine kinase; RON) 	Signal transduction
RET 	Rearranged during transfection protooncogene 	Signal transduction
SHH 	Sonic hedgehog 	Signal transduction
TIAM1 	t-Cell lymphoma invasion and metastasis 1 	Signal transduction
SNAI2 	"Snail, drosophila, homolog of, 2 "	Transcriptionnal factors 
NFKB1 	"Nuclear factor kappa-b, subunit 1 "	Transcriptionnal factors 
SLC9A1 	"Solute carrier family 9, isoform a1 "	Transcriptionnal factors 
OLFM4 	Olfactomedin 4 (GW112) 	Others 
H19 	"h19, Imprinted maternally expressed untranslated mRNA "	Others 
MST1 	Macrophage stimulating 1 (hepatocyte growth factor-like protein) 	Others 
IFI27 	Interferon-alpha-inducible protein 27 	Others 
IFITM1 	Interferon induced transmembrane protein 1 	Others 
KRT7 	Keratin 7 (sarcolectin) 	Others 
ABCB1 	"ATP-binding cassette, subfamily b, member 1 (MDR1) "	Others 
CA2 	Carbonic anhydrase II 	Others 
		 
