Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P422751	Clca3	chloride channel calcium activated 3	-7.685471507	-7.186071429	0.935020242	77.94232	0.039932606
AGI_MM_OLIGO_A_51_P168894	Tmem16a	transmembrane protein 16A	-10.40861277	-5.2195	0.501459716	36.7242	0.039932606
AGI_MM_OLIGO_A_51_P489367	Cyp3a25	cytochrome P450, family 3, subfamily a, polypeptide 25	-7.335776756	-5.5625	0.758270076	32.89474	0.039932606
AGI_MM_OLIGO_A_51_P453909	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	-6.898782723	-4.43	0.64214227	25.56891	0.039932606
AGI_MM_OLIGO_A_51_P371867	3830417A13Rik	RIKEN cDNA 3830417A13 gene	-6.220996073	-4.448857143	0.715135822	24.64268	0.039932606
AGI_MM_OLIGO_A_51_P418029	Mum1l1	melanoma associated antigen (mutated) 1-like 1	-6.031348571	-4.192642857	0.695141859	20.85071	0.039932606
AGI_MM_OLIGO_A_51_P287418	Man1a	mannosidase 1, alpha	-11.41931267	-4.366071429	0.382341	20.3252	0.039932606
AGI_MM_OLIGO_A_51_P494125	Akp2	alkaline phosphatase 2, liver	-9.988071908	-4.415714286	0.442098768	19.8059	0.039932606
AGI_MM_OLIGO_A_51_P499698	2300003P22Rik	RIKEN cDNA 2300003P22 gene	-13.10753217	-4.145714286	0.316284884	18.43318	0.039932606
AGI_MM_OLIGO_A_51_P241740	Pyy	peptide YY	-9.98326799	-4.149285714	0.415623994	18.08645	0.039932606
AGI_MM_OLIGO_A_51_P501299	Rhox2	reproductive homeobox 2	-8.209634345	-4.243071429	0.516840489	17.10864	0.039932606
AGI_MM_OLIGO_A_51_P338040	AW146242	expressed sequence AW146242	-10.86182877	-3.9175	0.360666706	15.15381	0.039932606
AGI_MM_OLIGO_A_51_P335460	Scin	scinderin	-6.84575877	-3.649642857	0.533124666	15.11944	0.039932606
AGI_MM_OLIGO_A_51_P482128	Krt1-15	keratin complex 1, acidic, gene 15	-10.29660204	-3.924285714	0.381124346	14.70588	0.039932606
AGI_MM_OLIGO_A_51_P277005	Chst8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	-8.937816072	-3.566785714	0.399066806	12.85017	0.039932606
AGI_MM_OLIGO_A_51_P113585	Oit1	oncoprotein induced transcript 1	-10.0251548	-3.546071429	0.353717374	12.18472	0.039932606
