Gene Description	DU145	PC3	Function
Human neuronal membrane glycoprotein M6b	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Human heparan sulfate proteoglycan (HSPG2)	-	-	Cytoskeleton/membrane-associated protein/receptor
Solute carrier family 2 (facilitated glucose transporter)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Collagen, type II, alpha 1	+	+	Cytoskeleton/membrane-associated protein/receptor
Cholinergic receptor, nicotinic, beta polypeptide 1	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Human beta-tubulin. (clone D-beta-1)	-	-	Cytoskeleton/membrane-associated protein/receptor
Human GP36b glycoproteina	ND	ND	Cytoskeleton/membrane-associated protein/receptor
Human leukocyte-associated Ig-like receptor-2 (LAIR-2)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Human transmembrane protein P63	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Fibroblast growth factor receptor 3	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Low-affinity immunoglobulin gamma fc receptor II	NA	NA	Cytoskeleton/membrane-associated protein/receptor
hCPE-R for CPE-receptor	-	-	Cytoskeleton/membrane-associated protein/receptor
Putative monocarboxylate transporter MCT	-	+	Cytoskeleton/membrane-associated protein/receptor
Solute carrier family 9 (sodium/hydrogen exchanger), form 1 (antiporter, Na+/H, amiloride sensitive)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Microtubule-associated protein tau	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Insulin receptor	-	-	Cytoskeleton/membrane-associated protein/receptor
Coagulation factor II (thrombin) receptor	NA	NA	Cytoskeleton/membrane-associated protein/receptor
ER lumen protein retaining receptor 1	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Cell surface glycoprotein A15	NA	NA	Cytoskeleton/membrane-associated protein/receptor
CD36 antigen (collagen type I receptor)	-	-	Cytoskeleton/membrane-associated protein/receptor
Peroxisomal membrane protein 1 (70kD)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Insulin-like growth factor-binding protein 4	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Troponin T, fast skeletal muscle isoform  beta	+	+	Cytoskeleton/membrane-associated protein/receptor
Collagen, type I, alpha 1	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Human Toll-like receptor 3 (TLR3)	-	-	Cytoskeleton/membrane-associated protein/receptor
Human activin type II receptor	ND	ND	Cytoskeleton/membrane-associated protein/receptor
Human YMP	NA	NA	Cytoskeleton/membrane-associated protein/receptor
GTPase-activating protein (SIPA1)	NA	NA	Regulatory protein/second messenger/interactor
Human 20-kD myosin light chain (MLC-2)	NA	NA	Regulatory protein/second messenger/interactor
Phosphatidylinositol transfer protein	-	+	Regulatory protein/second messenger/interactor
ERK2	+	-	Regulatory protein/second messenger/interactor
Apolipoprotein F	-	-	Regulatory protein/second messenger/interactor
FK506-binding protein 3 (25 kD)	+	+	Regulatory protein/second messenger/interactor
Human insulinoma rig-analog mRNA encoding	-	-	Regulatory protein/second messenger/interactor
DNA-binding protein			Regulatory protein/second messenger/interactor
S-100P protein	NA	NA	Regulatory protein/second messenger/interactor
Heat shock factor protein 1	NA	NA	Regulatory protein/second messenger/interactor
Antileukoproteinase 1 precursor	NA	NA	Regulatory protein/second messenger/interactor
CAMP responsive element modulator	NA	NA	Regulatory protein/second messenger/interactor
TIA1 cytotoxic granule-associated	+	+	Regulatory protein/second messenger/interactor
RNA-binding protein-like 1			Regulatory protein/second messenger/interactor
LDL-related protein-associated protein 1	NA	NA	Regulatory protein/second messenger/interactor
Human CIRP	ND	ND	Regulatory protein/second messenger/interactor
Protein kinase, cAMP-dependent, regulatory, type II, beta	+	+	Regulatory protein/second messenger/interactor
Proliferation-associated gene A (natural killer-enhancing factor A)	NA	NA	Regulatory protein/second messenger/interactor
alpha-1-antichymotrypsin	NA	NA	Regulatory protein/second messenger/interactor
Spi-B transcription factor	NA	NA	Regulatory protein/second messenger/interactor
Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2)	NA	NA	Regulatory protein/second messenger/interactor
Bone morphogenetic protein 4	+	-	Regulatory protein/second messenger/interactor
High-mobility group (nonhistone chromosomal) protein	-	+	Regulatory protein/second messenger/interactor
Human nuclear factor I-B2 (NFIB2)	-	+	Regulatory protein/second messenger/interactor
Interleukin enhancer-binding factor	-	+	Regulatory protein/second messenger/interactor
V-myc avian myelocytomatosis viral oncogene homolog	NA	NA	Regulatory protein/second messenger/interactor
JNK kinase 2 (JNKK2)	NA	NA	Regulatory protein/second messenger/interactor
14-3-3 protein tau	-	-	Regulatory protein/second messenger/interactor
Human neuronal PAS2 (NPAS2)	NA	NA	Regulatory protein/second messenger/interactor
