Gene	Acc. #	1 A549	2 HTB177	3 CRL5807	4 CRL5876	Ratio
AGR2	NM_006408	2124	2053	3082	38	960
S100P	NM_005980	242	2522	2673	4819	754
CK19	NM_002276	27	935	1995	810	589
NQO1	NM_000903	1375	1858	982	315	404
MET	NM_000245	1420	790	2429	378	348
MAGE-A6	NM_005363	73	37	3004	4475	311
XAGE-1	NM_020411	471	2	2322	3	250
KRTHB1	NM_002281	2822	31	221	3	208
MAGE-A3	NM_005362	116	29	4055	5107	178
MAP7	NM_003980	455	466	381	930	116
AKR1B10	NM_020299	11662	10603	17	75	101
CK7 related	NM_005556	537	21	1319	463	96
EpCAM2	NM_002353	2	3	8146	2342	94
EpCAM1	NM_002354	278	15	4430	3244	91
P-cadherin	NM_001793	2	3	1319	1274	87
