Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.28	3519840	0	SLITRK6	SLIT and NTRK-like family, member 6	84189	13q31.1	Q9H5Y7
0.31	3876084	0	C20orf103	chromosome 20 open reading frame 103	24141	20p12	Q9UJQ1
0.31	2855818	4.8	FGF10	fibroblast growth factor 10	2255	5p13-p12	O15520
0.33	3428333	4.4	ANO4	anoctamin 4	121601	12q23.1	Q32M45
0.34	3113352	4.4	COL14A1	collagen, type XIV, alpha 1	7373	8q23	Q05707
0.36	2448710	0	FAM5C	family with sequence similarity 5, member C	339479	1q31.1	Q76B58
0.37	3443348	9.5	A2M	alpha-2-macroglobulin	2	12p13.3-p12.3	P01023
0.38	3898355	0	FLRT3	fibronectin leucine rich transmembrane protein 3	23767	20p11	Q9NZU0
0.41	3129065	0	CLU	clusterin	1191	8p21-p12	P10909
0.41	3729910	4.8	TBX4	T-box 4	9496	17q21-q22	P57082
0.41	2701109	7.7	IGSF10	immunoglobulin superfamily, member 10	285313	3q25.1	Q6WRI0
0.43	3481410	0	TNFRSF19	tumor necrosis factor receptor superfamily, member 19	55504	13q12.11-q12.3	Q9NS68
0.44	3792656	5.4	CCDC102B	coiled-coil domain containing 102B	79839	18q22.1	Q68D86
0.45	3337749	4.4	GAL	galanin prepropeptide	51083	11q13.3	P22466
0.46	3398328	0	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8	11095	11q25	Q9UP79
0.46	4019160	0	KLHL13	kelch-like 13 (Drosophila)	90293	Xq23-q24	Q9P2N7
0.46	2642720	0	ACPP	acid phosphatase, prostate	55	3q21-q23	P15309
0.46	3321512	0	PDE3B	phosphodiesterase 3B, cGMP-inhibited	5140	11p15.1	Q13370
0.47	3181240	0	TMOD1	tropomodulin 1	7111	9q22.3	P28289
0.47	3482845	0	RASL11A	RAS-like, family 11, member A	387496	13q12.2	Q6T310
0.48	3598267	5.6	OSTbeta	organic solute transporter beta	123264	15q22.31	Q3SYF5
0.49	3558745	0	NOVA1	neuro-oncological ventral antigen 1	4857	14q	P51513
0.49	2928461	5.6	GPR126	G protein-coupled receptor 126	57211	6q24.1	Q86SQ4
0.49	3565206	9.5	BMP4	bone morphogenetic protein 4	652	14q22-q23	P12644
