Gene Symbol	PSGL1hiLy6C(hi) Compared to PSGL1(hi)Ly6Clo	PSGL1hiLy6C(hi) Compared to Naive	PSGL1(hi)Ly6Clo Compared to Naive
Ly6c1	78.19	4.8	15.26
Cx3cr1	8.7	22.95	2.64
Itgad	7.08	18.35	2.59
Il18rap	5.38	23.31	4.34
Gzmm	4.79	8.74	1.77
Irak3	4.36	7.93	1.82
Ifng	4.36	95.63	24.03
Ccr5	3.72	18.7	5.03
Tbx21	3.14	58.36	18.62
Il12rb2	2.67	3.45	1.29
Il21	1.49	4.3	6.39
Bcl6	1.74	1.1	1.59
Cd200	1.99	1.43	1.4
Il2	2.62	2.3	6.03
Serpina3f	3.46	3.97	13.12
Ccr7	3.88	12.96	3.34
Cxcr5	4.31	3.25	13.59
Il4	6.43	1.08	5.93
Il6ra	6.84	10.85	1.59
Serpina3g	7.72	4.44	34.24
Ccr6	8.03	2.56	20.55
Igf1r	9.14	3.81	2.4
Folr4	10.06	5.7	1.59
Cd81	13	3.1	4.19
Sell	10.82	7.84	1.38
Nt5e	11.85	67.43	5.69
Cd83	14.15	1.58	8.96
Itgae	14.46	1.17	16.87
Nrn1	18.36	1.87	9.8
Foxp3	29.56	4.37	4.87
