Gene name	GenBank no.	Function	Score (d)	Change (n fold)	q (%)	Category
Metallothionein I activator	S63758	DNA-dependent RNA polymerase	7.60	1.95	2.76	Up-regulated genes
Karyopherin (importin) beta 1	D45836	Nuclear protein import	6.79	1.18	2.76	Up-regulated genes
Alpha-2-macroglobulin	M93264	Proteinase inhibitor	5.59	1.76	2.76	Up-regulated genes
SAA3	X03479	Acute phase response	5.36	1.63	2.76	Up-regulated genes
SRY box containing gene 7	AB023419	Transcription factor	5.29	1.84	2.76	Up-regulated genes
SAA1	M11131	Acute phase response	5.24	1.46	2.76	Up-regulated genes
Tumor necrosis factor superfamily member 11	AF019048	Augmentation of dendritic cell stimulation of T cells	5.07	1.50	2.76	Up-regulated genes
IFN- -inducible protein 47 kDa	M63630	Gene regulation/protein trafficking	4.95	1.83	2.76	Up-regulated genes
Peptidoglycan recognition protein	AF076482	Binding of peptidoglycan/innate immunity	4.49	1.34	2.76	Up-regulated genes
MHC-II Ia-associated invariant chain	X05430	Antigen presentation	4.41	2.78	2.76	Up-regulated genes
Coagulation factor II (thrombin) receptor-like 1	Z48043	Trypsin receptor	4.34	1.22	2.76	Up-regulated genes
Insulin-like growth factor binding protein 4 precursor	X81582	Cell growth	4.23	1.39	2.76	Up-regulated genes
Caveolin; 22-kDa caveolar protein	U07645	Scaffolding protein	4.16	1.88	2.76	Up-regulated genes
Fibroblast growth factor 9	D38258	Cell growth/tissue repair	4.15	1.76	2.76	Up-regulated genes
Macrophage migration inhibitory factor	Z23048	Macrophage regulation	4.15	1.47	2.76	Up-regulated genes
Muscarinic acetylcholine receptor Mm3	S74908	Cholinergic receptor	4.12	1.43	2.76	Up-regulated genes
Solute carrier family 34 member 1	L33878	Phosphate transportation	4.08	1.67	2.76	Up-regulated genes
Coagulation factor VIII	L05573	Blood coagulation factor	4.04	1.38	2.76	Up-regulated genes
CD38 antigen	L11332	Synthesis/hydrolysis of cyclic ADP-ribose	4.04	2.41	2.76	Up-regulated genes
Solute carrier family 8 member 1	U70033	Calcium transport	4.03	1.55	2.76	Up-regulated genes
Complement component 1 q subcomponent beta polypeptide	M22531	Complement activation, classical pathway	3.96	2.40	2.76	Up-regulated genes
Calbindin-D9K	AF028071	Calcium binding	3.90	3.74	2.76	Up-regulated genes
Coagulation factor XIII beta subunit	D10071	Blood coagulation factor	3.85	1.34	2.76	Up-regulated genes
Myelin-associated glycoprotein	M31811	Cell adhesion	3.84	1.29	2.76	Up-regulated genes
Nonmuscle myosin light chain 3	U04443	Cytoskeleton organization	3.80	1.40	2.76	Up-regulated genes
MIP-1 	M23447	Chemotaxis/cell activation	3.61	2.27	4.84	Up-regulated genes
Thyroid-stimulating hormone receptor	U02601	Control of thyroid cell metabolism	3.59	1.47	4.84	Up-regulated genes
Growth differentiation factor 5	U08337	Bone growth	3.33	1.24	4.84	Up-regulated genes
Apolipoprotein H	D10056	Heparin binding	3.32	1.39	4.84	Up-regulated genes
MIG	M34815	Lymphocyte activation/inflammatory	3.19	1.74	6.45	Up-regulated genes
Low-affinity immunoglobulin G Fc receptor II beta	M16367	Antibody-dependent cellular cytotoxicity	3.12	1.77	6.45	Up-regulated genes
Alcohol dehydrogenase 1 complex	M11307	Alcohol dehydrogenase, zinc dependent	6.45	0.65	2.76	Down-regulated genes
Mitochondrial aldehyde dehydrogenase 2	U07235	Aldehyde dehydrogenase (NAD )	5.90	0.47	2.76	Down-regulated genes
