Gene name	Full name	PAM CV [%]	SAM Rank
PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	100	1
NTRK1	Neurotrophic tyrosine kinase, receptor, type 1	100	2
PSMA6	Proteasome subunit, alpha type, 6	100	3
AHCY	S-adenosylhomocysteine hydrolase	100	4
SCG2	Secretogranin 2	100	5
NXPH1	Neurexophilin 1	100	7
CAMK2B	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	100	8
WSB1	WD repeat and SOCS box-containing 1	100	9
PRKCZ	Protein kinase C, zeta	100	10
CCNB1	Cyclin B1	100	11
ATIC	5-Aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	100	12
PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit	100	13
PCNA	Proliferating cell nuclear antigen	100	14
CLSTN1	Calsyntenin 1	100	15
hfl-B5	Dendritic cell protein, GA17	100	17
NME1	Non-metastatic cells protein1	100	19
ECEL1	Endothelin converting enzyme-like 1	100	20
TNFRSF25	Tumor necrosis factor receptor superfamily, member 25	100	22
cDNA DKFZp564N1116		100	23
DPYSL3	Dihydropyrimidinase-like 3	100	25
NME2	Non-metastatic cells protein1	100	26
EFNB2	Ephrin-B2	100	38
ARGBP2	Arg/Abl-interacting protein ArgBP2	100	42
S100B	S100 Calcium binding protein, beta (neural)	100	55
	cDNA FLJ11723 fis, clone HEMBA1005314	99	31
TOP2A	Topoisomerase (DNA) II alpha 170kDa	99	48
DIRAS3	Ras homolog gene family, member I	99	59
BTBD3		99	63
TFAP2B	Transcription factor AP-2 beta	99	75
MYCN	v-myc Myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	98	79
ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	97	70
E2F1	E2F transcription factor 1	96	24
TKT	Transketolase	96	40
DDC	Dopa decarboxylase	96	71
NCYM	v-myc Myelocytomatosis viral related oncogene, neuroblastoma derived (avian) opposite strand	96	73
GAL	Galanin	93	94
COX8	Cytochrome C oxidase subunit 8	90	30
XAGE1	X antigen family, member 1	90	117
