Gene	Changes vs. day 0, fold
   Aggrecan 1	17.9
   beta 1-catenin	4.7
   Biglycan	5.7
   Bullous pemphigoid antigen 1	16.4
   CD4 antigen	4
   COL11A1	11.4
   COL11A2	17.2
   COL16A1	3.3
   Contactin	23.2
   Decorin	12.2
   Envoplakin	7.5
   Ephrin type B receptor 1	10.4
   Insulin-like growth factor binding protein 5	8.9
  alpha L integrin; CD11a antigen	71.2
  beta1 integrin	8.4
   Jagged homolog 1	13.2
   Manic fringe homolog	18.2
   Matrix metalloproteinase 13	78.6
   Matrix metalloproteinase 17	8.3
   COL2A1	15.4
   Protein tyrosine phosphatase receptor type F	7.9
   Rho-associated coiled-coil containing protein kinase	7.2
   Secreted protein, acidic, cysteine-rich; osteonectin	4.6
   Wingless-type MMTV integration site 8B protein	5.4
   Wingless-type MMTV integration site 13 protein	29.2
