Probe set ID	Corrected p value	Regulation ((PF) vs. (SP))	Regulation ((PF) vs. (ST))	Regulation ((SP) vs. (ST))	Gene symbol
208510_s_at	4.58E-07	Up	Up	Up	PPARG
204379_s_at	1.02E-06	Up	Down	Down	FGFR3
204380_s_at	2.69E-04	Up	Down	Down	FGFR3
204813_at	2.64E-05	Up	Up	Up	MAPK10
206797_at	0.001860389	Down	Up	Up	NAT2
213060_s_at	0.002203304	Up	Up	Down	CHI3L2
239782_at	0.003380862	Up	Up	Up	RBP1
203423_at	0.019743502	Down	Up	Up	RBP1
208436_s_at	0.007062891	Down	Down	Up	IRF7
226602_s_at	0.011980913	Up	Up	Up	BCR///FLJ42953///LOC100133163/// LOC728468
213441_x_at	0.012686884	Up	Up	Down	SPDEF
214403_x_at	0.040593553	Up	Up	Down	SPDEF
213442_x_at	0.048410457	Up	Up	Down	SPDEF
214404_x_at	0.038640525	Up	Up	Down	SPDEF
205738_s_at	0.013991439	Up	Down	Down	FABP3
238877_at	0.037761625	Down	Up	Up	EYA4
208568_at	0.039600316	Up	Up	Down	MC2R
205168_at	0.040356502	Up	Down	Down	DDR2
