Probe_ID	Control signal	Treatment signal	Log2 (treatment/control)	Fold change	P-value
hsa-miR-365	394.04	208.43	?0.83	?1.89	2.06E?03
hsa-miR-374b	1,116.20	688.88	?0.76	?1.62	1.21E?04
hsa-miR-30a	626.23	421.31	?0.57	?1.49	2.93E?04
hsa-miR-15a	1,433.70	1,018.10	?0.50	?1.41	1.06E?03
hsa-miR-197	1,231.67	906.19	?0.44	?1.36	1.46E?03
hsa-miR-27a	4,197.58	3,093.67	?0.44	?1.36	1.43E?08
hsa-miR-21	57,202.28	44,077.27	?0.38	?1.30	0.00E?+?00
hsa-miR-26b	8,444.64	6,784.69	?0.33	?1.24	3.51E?06
hsa-miR-203	5,749.60	4,644.42	?0.27	?1.24	1.78E?03
hsa-miR-1280	3,838.92	3,152.21	?0.21	?1.22	4.02E?04
hsa-miR-454	4,618.90	3,860.29	?0.25	?1.20	7.08E?04
hsa-miR-200b	8,059.98	6,745.94	?0.24	?1.19	7.45E?05
hsa-miR-7	3,475.24	2,930.62	?0.25	?1.19	2.78E?03
hsa-miR-27b	4,034.72	3,443.66	?0.21	?1.17	1.81E?03
hsa-let-7g	7,585.57	6,538.32	?0.23	?1.16	2.50E?04
hsa-let-7e	13,719.05	12,008.35	?0.25	?1.14	1.57E?04
hsa-miR-25	8,505.37	7,512.26	?0.18	?1.13	1.03E?03
hsa-miR-24	4,427.72	3,926.62	?0.17	?1.13	1.31E?03
hsa-miR-125a-5p	11,138.55	10,205.68	?0.13	?1.09	4.05E?03
