GeneName	Description	FoldChange
DEFB1	Defensinbeta1	37.50
NOS2A	Nitricoxidesynthase2,inducible,macrophage	19.60
CHF	Complementfactorh	10.08
ADA	Adenosinedeaminase	9.16
CXCL16	Chemokine(C-X-Cmotif)ligand1(melanomagrowthstimulatingactivity,alpha)	5.66
CXCL2(MIP2)	Chemokine(C-X-Cmotif)ligand2	5.05
SAA2	SerumamyloidA2	5.04
SAA3	SerumamyloidA3	4.25
IL1RN	Interleukin1receptorantagonist	3.35
POU2F2	POUclass2homeobox2	3.31
CD14	CD14molecule	3.19
C3	Complementcomponent3	3.06
LTIRB3	Leukocyteimmunoglobulin-likereceptor,subfamilyB(withTMandITIMdomains),member3	3.05
OLR1	Oxidizedlowdensitylipoprotein(lectin-like)receptor1	2.91
CCL20	Chemokine(C-Cmotif)ligand20	2.85
GZMA	GranzymeA(granzyme1,cytotoxicT-lymphocyte-associatedserineesterase3)	2.81
TNFRSF1B	Tumornecrosisfactorreceptorsuperfamily,member1b	2.75
MAF	Avianmusculoaponeuroticfibrosarcoma(v-maf)AS42oncogenehomolog	2.71
OTUB1	OTUdomain,ubiquitinaldehydebinding1	2.71
INDO	Indoleamine-pyrrole2,3dioxygenase	2.70
FCER1G	Fcreceptor,IgE,highaffinityI,gammapolypeptide	2.63
CFB	ComplementfactorB	2.62
CCL8	Chemokine(C-Cmotif)ligand8	2.57
PGLYRP1	Peptidoglycanrecognitionprotein1	2.55
IL1B	Interleukin1beta	2.30
SAA1	SerumamyloidA1	2.30
C3AR1	Complementcomponent3areceptor1	2.26
FCER1A	FcfragmentofIgE,highaffinityI,receptorfor;alphapolypeptide	2.26
CCL28	Chemokine(C-Cmotif)ligand28	2.23
IL2RA	Interleukin2receptor,alpha	2.21
CLEC2H	C-typelectindomainfamily2,memberh	2.20
SYK	Spleentyrosinekinase	2.19
ICOSLG	InducibleT-cellco-stimulatorligand	2.09
CXCL16	Chemokine(C-X-Cmotif)ligand16	2.05
CDKN1A	Cyclin-dependentkinaseinhibitor1A(p21,Cip1)	2.02
H2-T23	Histocompatibility2,Tregionlocus23	2.01
IL18	Interleukin18(interferon-gamma-inducingfactor)	2.01
PAG1	Phosphoproteinassociatedwithglycosphingolipidmicrodomains1	1.95
CCL6	Chemokine(C-Cmotif)ligand6	0.47
CCL9	Chemokine(C-Cmotif)ligand9	0.46
DDX58	DEAD(Asp-Glu-Ala-Asp)boxpolypeptide58	0.44
CD1d1	CD1d1antigen	0.44
THBS1	Thrombospondin1	0.40
FABP4	Fattyacidbindingprotein4,adipocyte	0.12
PNLIPRP2	Pancreaticlipase-relatedprotein2	0.12
ANG4	Angiogenin,ribonucleaseAfamily,member4	0.04
