Curated Gene Symbol	Protein	LNCaP Abbreviation	LNCaP Av	LNCaP SEM	PC3 Av	PC3 SEM	DU145 Av	DU145 SEM
PREP	Prolyl endopeptidase	PREP	455	64	423	144	132	11
FASN	FASN fatty acid synthase	FASN	1850	135	1324	111	1385	170
	Acyl-protein thioesterase 1	LYPLA1a	81	5	21	8	55	1
ABHD10	Abhydrolase domain-containing protein 10	ABHD10	622	132	534	111	252	29
APEH	Acylamino acid-releasing enzyme	APEH	571	45	642	88	196	32
	Probable serine carboxypeptidase CPVL	CPVLa	0	0	27	4	6	1
PAFAH2	Platelet-activating factor acetylhydrolase 2	PAFAH2	19	6	22	4	25	4
PREPL	Prolyl endopeptidase-like isoform C	PREPL	63	13	98	12	145	25
	Acyl-protein thioesterase 2	LYPLA2a	31	15	138	7	106	13
PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit gamma	PAFAH1B3	72	13	0	0	43	17
	Dipeptidyl peptidase 9	DPP9a	50	8	445	45	244	24
PNPLA4	Patatin-like phospholipase domain-containing protein 4	PNPLA4	49	14	42	3	15	3
PPME1	Protein phosphatase methylesterase 1	PPME1	63	5	48	12	14	3
	Palmitoyl-protein thioesterase 2	PPT2a	3	2	22	8	42	5
ABHD12	Uncharacterized protein ABHD12	ABHD12	109	23	107	19	107	19
PAFAH1B2	Platelet-activating factor acetylhydrolase IB	PAFAH1B2	60	23	101	14	66	31
	Abhydrolase domain-containing protein 11	ABHD11a	258	26	136	17	89	17
SCPEP1	Retinoid-inducible serine carboxypeptidase	SCPEP1	121	33	47	14	63	5
	Arylacetamide deacetylase-like 1 (KIAA1363)	AADACL1a	58	15	373	59	593	107
ABHD6	Abhydrolase domain-containing protein 6	ABHD6	55	11	62	9	81	11
TPP2	Tripeptidyl peptidase II	TPP2	4	2	10	1	3	1
PRCP	Prolylcarboxypeptidase	PRCP	77	13	49	27	33	9
	Retinoblastoma-binding protein 9	RBB9	9	5	10	3	1	0
DPP8	Dipeptidyl peptidase 8	DPP8	9	3	16	3	23	11
CTSA	Cathepsin A	CTSA	12	5	8	0	17	2
FAM108A1	Abhydrolase domain-containing protein FAM108A1	FAM108A1	7	3	8	2	31	9
	Neuropathy target esterase	PNPLA6a	46	11	211	27	106	22
LYPLAL1	Lysophospholipase-like protein 1	LYPLAL1	73	21	25	11	27	7
PARL	Presenilins-associated rhomboid-like protein	PARL	8	3	8	1	9	2
FAM108B1	Abhydrolase domain-containing protein FAM108B1	FAM108B1	12	6	31	10	51	9
ABHD16A	BAT5	BAT5	28	7	20	3	20	3
ABHD3	Abhydrolase domain-containing protein 3	ABHD3	2	1	7	2	9	4
	Sialate O-acetylesterase	SIAEa	94	20	10	1	7	0
IAH1	Isoamyl acetate-hydrolyzing esterase 1	IAH1	2	1	5	1	1	1
DAGLB	Sn1-specific diacylglycerol lipase beta	DAGLB	6	2	20	1	10	1
	Monoglyceride lipase (MAGL)	MGLLa	11	2	54	14	116	24
CES2	Carboxylesterase 2	CES2	18	4	9	2	10	3
PNPLA8	PNPLA8 89 kDa protein	PNPLA8	15	3	11	2	2	0
ABHD4	Abhydrolase domain-containing protein 4	ABHD4	27	7	5	1	6	1
BCHE	Butyrylcholinesterase	BCHE	10	4	0	0	0	0
LACTB	Uncharacterized protein LACTB	LACTB	2	1	2	1	5	1
LONP1	Lon protease	LONP1	48	4	34	9	14	2
	Fatty acid amide hydrolase 1	FAAHa	181	56	0	0	9	2
PLAU	Urokinase plasminogen activator	PLAU	0	0	1	0	16	4
	Similar to Dipeptidyl-peptidase 2 precursor	DPP7a	170	48	14	1	8	2
DPP4	Dipeptidyl peptidase 4	DPP4	38	7	89	9	1	0
ACHE	Acetylcholinesterase	ACHE	0	0	4	1	1	1
ABHD2	Abhydrolase domain-containing protein 2	ABHD2	22	7	0	0	0	0
FAAH2	Fatty acid amide hydrolase 2	FAAH2	6	2	0	0	0	0
PLAT	Isoform 1 of Tissue-type plasminogen activator	PLAT	0	0	9	2	0	0
