Gene Symbol	Fold Change (MDA-MB-231 control/MDA-MB-231-anti-miR210)
CCL2	0.209338562
ITGB2	0.495559434
KRTAP2-1	0.429705456
HSPA1A	0.489516706
BST2	0.482332524
EFEMP1	0.44598899
EFEMP1	0.418126098
NEDD9	0.237444131
MATN2	0.432514379
FGF1	0.496374188
PDE9A	0.427782687
MAGEB2	0.457600331
APOBEC3B	0.491427331
ABAT	0.444544577
LOC221362	0.499812885
KRT81	0.42647409
CCL2	0.209338562
GRAMD3	0.420349132
TNFSF18	0.448605745
EHF	0.440306486
COL8A1	0.496539364
WDR72	0.496078384
CACNA2D4	0.44197602
PLEKHA7	0.498429029
NANOS1	0.484685222
F2RL2	0.43709234
LOC283278	0.48650954
AQP3	0.418894835
