ProbeSet ID	Entrezgene ID	Cytoband	Gene Symbol	Gene Description	Score	p-Value
218409_s_at	3983	10q25	ABLIM1	actin binding LIM protein 1	5.46	0
222620_s_at	4714	10q23.2-q23.33	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	5.19	0
222621_at	648	10p11.23	BMI1	BMI1 polycomb ring finger oncogene	4.92	0
218048_at	55719	10q24.31	FAM178A	family with sequence similarity 178, member A	4.93	0
202265_at	55719	10q24.31	FAM178A	family with sequence similarity 178, member A	4.95	0
210033_s_at	5305	10p12.2	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	9.35	0
210032_s_at	2674	10q26.11	GFRA1	GDNF family receptor alpha 1	6.86	0
205570_at	2662	10q11.22	GDF10	growth differentiation factor 10	0.15	0.816
212829_at	5076	10q24	PAX2	paired box 2	1.82	0.022
229713_at	5076	10q24	PAX2	paired box 2	1.06	0.167
240275_at	94134	10pter-cen	ARHGAP12	Rho GTPase activating protein 12	-0.7	0.07
229743_at	7479	10q24	WNT8B	wingless-type MMTV integration site family, member 8B	0.33	0.572
244752_at	953	10q24	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	0.29	0.525
229090_at	953	10q24	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	2.87	0
239952_at	953	10q24	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	1.19	0.006
212764_at	25956	10q24.31	SEC31B	SEC31 homolog B (S. cerevisiae)	2.77	0
212758_s_at	9576	10p12.2	SPAG6	sperm associated antigen 6	2.1	0.004
210875_s_at	9576	10p12.2	SPAG6	sperm associated antigen 6	2.2	0.003
207606_s_at	5949	10q11.2	RBP3	retinol binding protein 3, interstitial	-1.06	0.1
210318_at	3983	10q25	ABLIM1	actin binding LIM protein 1	0.04	0.906
221136_at	6935	10p11.2	ZEB1	zinc finger E-box binding homeobox 1	-0.31	0.547
206159_at	6935	10p11.2	ZEB1	zinc finger E-box binding homeobox 1	3.52	0
231106_at	6935	10p11.2	ZEB1	zinc finger E-box binding homeobox 1	0.16	0.758
238924_at	5305	10p12.2	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	0.36	0.438
224736_at	26033	10q26	ATRNL1	attractin-like 1	2.62	0.001
224737_x_at	26033	10q26	ATRNL1	attractin-like 1	2.09	0.001
239014_at	4714	10q23.2-q23.33	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	1.91	0.002
