Accession ID	Gene Symbol	Gene Name	Fold Change
NM_002421	MMP1	matrix metalloproteinase 1	29.53
NM_002961	S100A4	S100 calcium-binding protein A4	15.18
NM_002165	ID1	inhibitor of DNA binding 1	7.75
NM_002276	KRT19	keratin 19	6.83
NM_000210	ITGA6	integrin, alpha 6	6.69
NM_000582	SPP1	secreted phosphoprotein 1	5.77
NM_004878	PTGES	prostaglandin E synthase	5.63
NM_014624	S100A6	S100 calcium-binding protein A6 (calcyclin)	4.73
M62403	IGFBP4	insulin-like growth factor binding protein 4	4.34
NM_001657	AREG	amphiregulin (schwannoma-derived growth factor)	3.83
NM_001153	ANXA4	annexin A4	3.47
NM_003810	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	3.35
NM_001432	EREG	epiregulin	3.33
NM_004433	ELF3	E74-like factor 3 (ets domain transcription factor)	3.26
NM_000596	IGFBP1	insulin-like growth factor binding protein 1	3.19
NM_001831	CLU	clusterin	3.18
NM_003236	TGFA	transforming growth factor, alpha	3.09
NM_004945	DNM2	dynamin 2	2.82
NM_000612	IGF2	insulin-like growth factor 2	2.81
NM_001066	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	2.77
NM_000177	GSN	gelsolin (amyloidosis, Finnish type)	2.69
NM_003811	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	2.63
NM_002429	MMP19	matrix metalloproteinase 19	2.6
