Accession #	Gene Symbol	Gene Name	Fold Change	P-Value
NM_001901.2	CTGF	Connective tissue growth factor	6.09	6.90E-04
NM_182908.3	DHRS2	Dehydrogenase/reductase member 2	4.78	1.70E-04
NM_003378.2	VGF	VGF nerve growth factor inducible	4.74	1.00E-04
NM_183376.1	ARRDC4	Arrestin domain containing 4	4.15	6.90E-04
NM_173798.2	ZCCHC12	Zinc finger, CCHC domain containing 12	4.13	1.80E-05
NM_006865.2	LILRA3	Leukocyte immunoglobulin-like receptor, subfamily A, member 3	3.94	7.20E-05
NM_033184.2	KRTAP2-4	Keratin associated protein 2-4	3.61	7.20E-04
NM_000558.3	HBA1	Hemoglobin, alpha 1	3.6	3.20E-04
NM_016352.3	CPA4	Carboxypeptidase A4	3.47	2.70E-04
NM_001554.4	CYR61	Cysteine-rich, angiogenic inducer, 61	3.44	2.70E-05
NM_005319.3	HIST1H1C	Histone 1, H1c	3.37	9.90E-05
NM_138720.1	HIST1H2BD	Histone 1, H2bd	3.35	2.20E-04
NM_031476.1	CRISPLD2	Cysteine-rich secretory protein LCCL domain containing 2	3.26	8.40E-05
NM_139072.2	DNER	Delta-notch-like EGF repeat-containing transmembrane	3.21	1.50E-03
NM_005061.2	RPL3L	Ribosomal protein L3-like	3.08	2.50E-05
NM_013233.2	STK39	Serine threonine kinase 39	-2.91	8.20E-04
NM_004091.2	E2F2	E2F transcription factor 2	-2.93	2.40E-04
NM_003302.1	TRIP6	Thyroid hormone receptor interactor 6	-2.99	7.30E-04
NM_005733.2	KIF20A	Kinesin family member 20A	-3	2.20E-05
NM_005329.2	HAS3	Hyaluronan synthase 3	-3.02	4.10E-05
NM_145810.1	CDCA7	Cell division cycle associated 7	-3.06	2.40E-03
NM_005434.4	MALL	Mal, T-cell differentiation protein-like	-3.07	2.80E-04
NM_002129.2	HMGB2	High-mobility group box 2	-3.13	3.60E-03
NM_018649.2	H2AFY2	H2A histone family, member Y2	-3.28	8.70E-04
NM_001038.5	SCNN1A	Sodium channel, nonvoltage-gated 1	-3.59	6.60E-04
NM_004217.2	AURKB	Aurora kinase B	-3.61	5.40E-04
NM_001237.3	CCNA2	Cyclin A2	-3.72	2.90E-05
NM_001071.1	TYMS	Thymidylate synthase	-3.88	1.10E-04
NM_181803.1	UBE2C	Ubiquitin-conjugating enzyme E2C	-3.95	2.60E-04
NM_001423.2	EMP1	Epithelial membrane protein 1	-4.17	1.30E-05
NM_001901.2	CTGF	Connective tissue growth factor	4.76	2.00E-05
NM_003378.2	VGF	VGF nerve growth factor inducible	4.35	1.80E-03
NM_182908.3	DHRS2	Dehydrogenase/reductase member 2	4.05	6.20E-04
NM_183376.1	ARRDC4	Arrestin domain containing 4	3.35	4.40E-04
NM_173798.2	ZCCHC12	Zinc finger, CCHC domain containing 12	3.27	1.70E-06
NM_016352.3	CPA4	Carboxypeptidase A4	2.91	1.00E-03
NM_017445.1	H2BFS	H2B histone family, member S	2.86	2.80E-04
NM_138720.1	HIST1H2BD	Histone 1, H2bd	2.85	1.60E-04
NM_033184.2	KRTAP2-4	Keratin associated protein 2-4	2.81	2.60E-03
NM_001554.4	CYR61	Cysteine-rich, angiogenic inducer, 61	2.73	1.30E-05
NM_139072.2	DNER	Delta-notch-like EGF repeat-containing transmembrane	2.62	2.20E-03
NM_005319.3	HIST1H1C	Histone 1, H1c	2.57	5.40E-04
NM_006865.2	LILRA3	Leukocyte immunoglobulin-like receptor, subfamily A, member 3	2.37	1.20E-03
NM_005952.2	MT1X	Metallothionein 1×	2.37	1.20E-03
NM_080593.1	HIST1H2BK	Histone 1, H2bk	2.36	9.20E-06
NM_005950.1	MT1G	Metallothionein 1G	2.33	7.40E-03
NM_003998.2	NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	-2.04	6.90E-04
NM_018043.5	TMEM16A	Transmembrane protein 16A	-2.05	1.60E-03
NM_003302.1	TRIP6	Thyroid hormone receptor interactor 6	-2.08	6.60E-03
NM_145810.1	CDCA7	Cell division cycle associated 7	-2.08	2.40E-03
NM_004217.2	AURKB	Aurora kinase B	-2.08	1.70E-03
NM_001235.2	SERPINH1	Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1	-2.11	7.40E-05
NM_001425.2	EMP3	Epithelial membrane protein 3	-2.11	1.00E-03
NM_005329.2	HAS3	Hyaluronan synthase 3	-2.11	2.40E-05
NM_001237.3	CCNA2	Cyclin A2	-2.15	1.50E-03
NM_002129.2	HMGB2	High-mobility group box 2	-2.17	1.30E-03
NM_005434.4	MALL	Mal, T-cell differentiation protein-like	-2.17	4.20E-04
NM_001423.2	EMP1	Epithelial membrane protein 1	-2.23	1.60E-04
NM_181803.1	UBE2C	Ubiquitin-conjugating enzyme E2C	-2.31	3.10E-04
NM_018649.2	H2AFY2	H2A histone family, member Y2	-2.51	2.20E-06
NM_001071.1	TYMS	Thymidylate synthase	-2.74	7.40E-06
