Probeset	Genbank	Gene Symbol	Nevi-Mean	Nevi-StdErr	Melanoma-Mean	Melanoma-StdErr	p-value	Description
200601_at	U48734	ACTN4	507.22	37.69	126.67	14.8	3.05E-07	actinin, alpha 4
200819_s_at	NM_001018	RPS15	3484.7	171.23	1321.29	108.41	4.04E-07	ribosomal protein S15
201605_x_at	NM_004368	CNN2	335.6	19.03	173.58	10.47	1.51E-05	calponin 2
204086_at	NM_006115	PRAME	7.54	1.8	40.93	6.11	1.44E-06	preferentially expressed antigen in melanoma
204271_s_at	M74921	EDNRB	385.4	106.32	2757.37	286.01	1.25E-09	endothelin receptor type B
205051_s_at	NM_000222	KIT	111.95	24.27	926.32	91.49	8.58E-09	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
208073_x_at	NM_003316	TTC3	829.04	46.89	2365.96	180.22	3.50E-05	tetratricopeptide repeat domain 3
208073_x_at	NM_003316	TTC3	829.04	46.89	2365.96	180.22	3.50E-05	tetratricopeptide repeat domain 3
209168_at	AW148844	GPM6B	50.25	7.43	175.28	18.56	1.69E-07	glycoprotein M6B
212038_s_at	AL515918	VDAC1	963.19	52.79	1257.05	81.82	1.26E-05	voltage-dependent anion channel 1
216479_at	AL356414	RPL21	26.99	1.11	21.7	0.95	1.56E-04	ribosomal protein L21
217738_at	BF575514	NAMPT	41.75	8.88	175.46	18.24	7.90E-06	nicotinamide phosphoribosyltransferase
221951_at	AI739035	TMEM80	80.82	5.05	44.26	5.65	1.77E-05	transmembrane protein 80
222297_x_at	AV738806	RPL18	52.29	1.66	40.59	1.55	9.57E-06	Ribosomal protein L18
224991_at	AI819630	CMIP	66.89	7.3	26.92	4.93	1.69E-07	c-Maf-inducing protein
228156_at	AW342078	BC020163	53.52	4.05	33.38	6.11	5.60E-05	Homo sapiens, clone IMAGE:4346533, mRNA
244829_at	N44676	MGC40222	23.68	9.23	376.13	45.89	4.60E-11	Hypothetical protein MGC40222
