Gene	Total
BC063132	-3.880184146
C9orf71	-3.880184146
CBWD3	-3.880184146
PGM5	-11.64055244
PIP5K1B	-3.880184146
BC041970	-3.880184146
CNTNAP3	-11.64055244
ALDH1B1	-7.760368293
EXOSC3	-3.880184146
FRMPD1	-7.760368293
GNE	-3.878236309
GRHPR	-7.756472617
MCART1	-3.880184146
MELK	-15.51294523
PAX5	-19.39118154
POLR1E	-7.760368293
RG9MTD3	-11.64055244
RNF38	-11.63470893
SHB	-11.64055244
WDR32	-3.880184146
ZBTB5	-3.880184146
ZCCHC7	-23.26941785
AK001795	-3.878236309
AQP3	-3.878236309
BAG1	-3.878236309
BC037171	-3.878236309
C9orf100	-3.878236309
C9orf127	-7.756472617
C9orf19	-3.878236309
C9orf23	-7.756472617
C9orf24	-3.878236309
C9orf25	-3.878236309
C9orf48	-3.878236309
CA9	-11.63470893
CCDC107	-3.878236309
CCIN	-3.878236309
CCL19	-3.878236309
CCL27	-3.878236309
CD72	-3.878236309
CHMP5	-3.878236309
CLTA	-3.878236309
CNTFR	-3.878236309
CREB3	-11.63470893
D87447	-3.878236309
DCTN3	-7.756472617
DNAI1	-7.756472617
DNAJB5	-7.756472617
FANCG	-11.63470893
GALT	-3.878236309
GBA2	-7.756472617
HINT2	-7.756472617
IL11RA	-7.756472617
KIAA1539	-11.63470893
NFX1	-7.756472617
NOL6	-7.756472617
NPR2	-3.878236309
NUDT2	-3.878236309
OPRS1	-3.878236309
PIGO	-3.878236309
RECK	-7.756472617
RUSC2	-3.878236309
SPAG8	-3.878236309
SPINK4	-3.878722993
STOML2	-3.878236309
TESK1	-3.878236309
TLN1	-3.878236309
TPM2	-3.878236309
UBAP1	-3.878236309
UBAP2	-11.63470893
UBE2R2	-11.63470893
UNC13B	-19.39118154
VCP	-7.756472617
WDR40A	-3.878236309
X71345	-7.756472617
APTX	-7.760368293
B4GALT1	-7.760368293
DDX58	-7.760368293
DNAJA1	-11.64055244
NDUFB6	-3.880184146
SMU1	-7.760368293
TAF1L	-3.880184146
TOPORS	-7.760368293
TEK	-3.880372982
AK022705	-4.086136834
AK094553	-4.086136834
GNA14	-20.43068417
GNAQ	-16.34454733
KIAA0367	-4.086136834
PRUNE2	-8.172273667
PSAT1	-8.172273667
VPS13A	-12.2584105
AB011166	-4.086136834
APBA1	-19.40092073
C9orf135	-3.880184146
C9orf61	-11.64055244
FXN	-7.760368293
KLF9	-8.172273667
MAMDC2	-11.64055244
PIP5K1B	-19.40092073
PRKACG	-3.880184146
SMC5	-4.086136834
TJP2	-7.760368293
TRPM3	-28.60295783
AL136545	-8.172273667
TRPM3	-12.2584105
AK095210	-4.086136834
AL136545	-4.086136834
ALDH1A1	-8.172273667
ANXA1	-4.086136834
AY196293	-4.086136834
BC043560	-4.086136834
BC043649	-4.086136834
C9orf40	-4.086136834
C9orf41	-4.086136834
C9orf77	-8.172273667
C9orf85	-8.172273667
C9orf95	-8.172273667
GCNT1	-8.172273667
GDA	-12.2584105
OSTF1	-4.086136834
PCSK5	-16.34454733
RFK	-8.172273667
RORB	-16.34454733
TMC1	-20.43068417
TMEM2	-12.2584105
TRPM6	-20.43068417
ZFAND5	-12.2584105
TLE4	-16.34454733
AK097447	-4.086136834
C9orf103	-4.086136834
C9orf64	-8.172273667
FRMD3	-20.43068417
GKAP1	-8.172273667
HNRPK	-4.086136834
KIF27	-16.34454733
RASEF	-12.2584105
RMI1	-8.172273667
TLE1	-16.34454733
UBQLN1	-8.172273667
AGTPBP1	-24.516821
BC027471	-4.086136834
C9orf153	-4.086136834
CTSL	-4.086136834
DAPK1	-12.2584105
GAS1	-4.086136834
GOLPH2	-8.172273667
HBLD2	-4.086136834
MAK10	-16.34454733
NTRK2	-28.60295783
SLC28A3	-8.172273667
ZCCHC6	-4.086136834
C9orf121	-8.172273667
C9orf47	-8.172273667
C9orf79	-4.086136834
CCRK	-4.086136834
CR614956	-4.086136834
EDG3	-4.086136834
SHC3	-12.2584105
SPIN1	-16.34454733
C9orf164	-4.086136834
CKS2	-8.172273667
GADD45G	-4.086136834
SECISBP2	-8.172273667
SEMA4D	-12.2584105
MLANA	-3.878236309
ANKRD15	-7.760368293
DMRT1	-7.760368293
DMRT2	-3.880184146
DMRT3	-11.64055244
SMARCA2	-15.51489307
