Gene symbol	Fold change	Regulation	Gene annotation
cox5	1.39	down	cytochrome c oxidase subunit V
cox6	1.29	down	cytochrome c oxidase subunit VI
cox13	1.8	down	cytochrome c oxidase subunit VIa
cyt1	1.43	down	cytochrome c1
mas1	1.64	down	mitochondrial processing peptidase complex beta subunit Qcr1
qcr2	1.32	down	ubiquinol-cytochrome-c reductase complex core protein Qcr2
qcr6	1.22	down	ubiquinol-cytochrome-c reductase complex subunit 8
qcr7	1.51	down	ubiquinol-cytochrome-c reductase complex subunit 6
qcr8	1.43	down	ubiquinol-cytochrome-c reductase complex subunit 7
qcr9	1.32	down	ubiquinol-cytochrome-c reductase complex subunit 10
rip1	1.87	down	ubiquinol-cytochrome-c reductase complex subunit 5
