Probe set	Name	Symbol	Unigene Cluster	Chromosomal location	Mean (BSL)	P-Value	qFDR	Fold change PC/BSL	Fold change BM/BSL
211906_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 4	SERPINB4	Hs.123035	18q21.3	11.9	0.0024	0.0002	0.28	0.04
210413_x_at	serpin peptidase inhibitor, clade B (ovalbumin), member 3	SERPINB3	Hs.227948	18q21.3	12.3	0.0019	0.0001	0.33	0.06
232170_at	S100 calcium binding protein A7A	S100A7A	Hs.442337	1q21.3	10.1	0.0015	0.0001	0.25	0.07
209719_x_at	serpin peptidase inhibitor, clade B (ovalbumin), member 3	SERPINB3	Hs.227948	18q21.3	12.5	0.0094	0.0002	0.4	0.1
204580_at	matrix metallopeptidase 12 (macro phage elastase)	MMP12	Hs.1695	11q22.3	10.3	0	0.0004	0.27	0.1
202018_s_at	lactotransferrin	LTF	Hs.529517	3p21.31	9.9	0.0071	0.0001	0.41	0.18
223541_at	hyaluronan synthase 3	HAS3	Hs.592069	16q22.1	9.9	0.0005	0.0008	0.34	0.2
204858_s_at	thymidine phosphorylase	TYMP	Hs.592212	22q13	8.1	0.0022	0.0004	0.47	0.26
207861_at	chemokine (C-C motif) ligand 22	CCL22	Hs.534347	16q13	8.4	0.0004	0.0016	0.45	0.26
203747_at	aquaporin 3 (Gill blood group)	AQP3	Hs.234642	9p13	10.5	0.0016	0.0004	0.55	0.29
213060_s_at	chitinase 3-like 2	CHI3L2	Hs.514840	1p13.3	8.2	0.0042	0.0016	0.43	0.3
217497_at	thymidine phosphorylase	TYMP	Hs.592212	22q13	8.5	0.0001	0.0007	0.49	0.31
221009_s_at	angiopoietin-like 4	ANGPTL4	Hs.9613	19p13.3	8.5	0.0031	0.0005	0.5	0.33
209803_s_at	pleckstrin homology-like domain, family A, member 2	PHLDA2	Hs.154036	11p15.5	9.1	0.0073	0.0038	0.55	0.33
39249_at	aquaporin 3 (Gill blood group)	AQP3	Hs.234642	9p13	11.7	0.009	0.0002	0.64	0.33
218810_at	zinc finger CCCH-type containing 12A	ZC3H12A	Hs.656294	1p34.3	8.7	0.0035	0.0005	0.61	0.33
38037_at	heparin-binding EGF-like growth factor	HBEGF	Hs.799	5q23	7.6	0.0094	0.0043	0.62	0.33
216834_at	regulator of G-protein signaling 1	RGS1	Hs.75256	1q31	7.3	0.0005	0.0019	0.45	0.34
211361_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 13	SERPINB13	Hs.241407	18q21.3-q22	8.7	0.0046	0.0018	0.59	0.34
214226_at	protease, serine, 53	PRSS53	Hs.569575	16p11.2	8.2	0	0.0001	0.46	0.35
